,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,25013,35891,20618,36148,24016,19412,24933,26403,22144,8137,18136,20656
Msn2_6_69,21625,29628,16295,29255,15700,16952,18135,20749,15905,5154,12319,11018
Msn2_11_74,22004,32857,17073,31352,16485,16816,19946,23123,17595,4956,12747,14344
Msn2_16_79,21222,30688,18369,30812,18160,17998,22129,23828,17220,6750,13733,15050
Msn2_21_84,23986,33966,18732,35368,20409,20765,22197,23723,19680,6042,15150,15162
Msn2_26_89,24838,35249,20381,34939,19885,20655,21197,25102,20533,5378,17235,21735
Msn2_31_94,14741,23760,14094,24801,14604,15042,16395,17961,13215,5195,10573,11726
Msn2_36_99,14483,20105,11650,22827,9477,12908,14291,14811,11847,6529,8007,10459
Msn2_41_104,22534,32603,21700,34785,21187,18677,24165,26172,19555,10016,17412,17054
Msn2_46_109,18008,22789,14822,28026,14777,10505,17673,17721,14248,10276,10838,11676
Msn2_51_114,16584,24718,13813,27340,14080,14434,16981,17974,13653,8770,9246,9460
Msn2_56_119,25694,35891,19116,37345,23020,18720,26490,26805,19912,13166,17708,17761
Msn2_61_124,17263,27272,14339,26554,15322,13473,20098,19399,13305,15369,10653,9509
Msn2_66_129,16473,23600,13625,26861,14802,12114,19298,18566,13680,14716,10274,9353
Msn2_71_134,28205,40567,22816,40054,21723,21127,35254,30396,21439,24967,15985,18193
Msn2_76_139,23434,33319,19547,37457,21001,21602,26332,26090,19325,18912,16057,13773
Msn2_81_144,23988,34301,17997,38201,22576,20320,27911,26033,21149,19176,16693,15684
Msn2_86_149,27659,41020,22795,42303,19538,21092,31923,31185,24164,18571,15791,18643
Msn2_91_154,18462,27279,16371,31388,15263,13337,19973,21326,15209,12139,13146,14756
Msn2_96_159,14455,22054,11950,22526,11633,12236,16469,17498,11414,8529,9285,8944
Msn2_101_164,17608,25456,15748,25365,14110,14579,18282,19070,15546,7277,11701,10767
Msn2_106_169,16823,25417,14123,25086,16050,12358,18082,20134,14425,5860,11888,11062
Msn2_111_174,27226,39268,23113,43359,28849,20539,31020,32462,23356,12653,18341,19487
Msn2_116_179,28707,40782,24785,43384,22757,24581,34918,34864,23477,25780,16143,17971
Msn2_121_184,27404,40148,18810,34751,22325,19356,31558,29010,18906,17531,20780,14540
Msn2_126_189,11588,16574,8487,15703,8978,6225,11952,13209,7714,7336,5898,6917
Msn2_131_194,20221,26627,14504,25567,17898,14048,20615,21423,13080,11556,10617,13287
Msn2_136_199,21678,32103,14813,29620,18369,13474,22879,21266,14660,11363,10444,13668
Msn2_141_204,20519,27309,13872,23384,15445,17809,21751,19614,11433,11054,11307,13093
Msn2_146_209,36923,50888,31004,56908,29986,28386,42220,40575,30432,25902,27323,25508
Msn2_151_214,27088,39126,23238,39362,20674,21145,30478,30154,20419,20335,18037,18328
Msn2_156_219,19826,29032,18597,30962,21224,19604,22115,22286,16856,11132,11995,10565
Msn2_161_224,21462,30591,20324,32977,18770,18077,20318,22557,17915,7574,13367,17202
Msn2_166_229,22542,32842,17285,35205,17601,16135,22358,22892,17664,10850,13424,16251
Msn2_171_234,17846,27756,16869,28272,17102,17479,18234,19972,15113,9021,14023,15520
Msn2_176_239,23287,30906,19225,34091,17525,17519,21970,22680,18197,10086,12623,15240
Msn2_181_244,17470,26167,15023,28925,13809,15329,19618,19335,14097,10736,13850,13543
Msn2_186_249,21093,31155,16942,32931,15039,17201,22229,22167,16560,12807,12944,17945
Msn2_191_254,30600,38435,23378,46274,20997,23231,28666,27890,24621,16365,19830,19488
Msn2_196_259,17643,26569,16447,30154,18103,17294,20392,19872,15151,10267,13078,13287
Msn2_201_264,21859,32431,19909,37706,19197,17762,22537,22702,18596,13288,17525,17436
Msn2_206_269,37020,49710,33002,62621,36447,37869,37798,39999,33267,19323,26892,28699
Msn2_211_274,31599,43313,29304,49847,29686,28558,32352,34366,29364,15995,27291,26635
Msn2_216_279,29116,37026,26272,44015,26756,24592,27607,29009,25496,10568,21702,22741
Msn2_221_284,30048,41053,27846,51077,30265,25714,29147,30357,28182,12165,27814,22983
Msn2_226_289,23515,33098,20967,38034,19493,20705,22885,24460,20835,10812,16613,18789
Msn2_231_294,31437,42751,28441,45860,27877,26053,32092,34430,30609,13699,22665,25258
Msn2_236_299,33185,48309,31235,53427,31940,30355,36335,37141,29912,18507,26548,24552
Msn2_241_304,31635,42882,28368,51948,29270,28593,32209,33526,29018,16727,23398,24788
Msn2_246_309,32776,47160,28647,52511,30780,32375,35579,35733,28205,15700,26177,23555
Msn2_251_314,38676,55668,34381,63936,35222,34972,44862,44309,36181,23066,28764,28648
Msn2_256_319,31273,43373,29438,51953,25369,29012,37221,35792,28446,22678,19510,24633
Msn2_261_324,18673,24827,14984,28099,15334,16265,18057,19223,14602,9611,14028,12162
Msn2_266_329,16361,23617,14149,24670,13598,15164,18000,18930,13814,10020,12602,14785
Msn2_271_334,19451,26602,16898,29773,19105,15308,19179,21044,15130,10197,12626,11593
Msn2_276_339,15988,23371,15125,24967,16288,15828,17479,18210,13377,10009,8364,10828
Msn2_281_344,28517,40458,21696,41050,19102,22853,30872,31620,20963,16578,18657,17936
Msn2_286_349,19304,27013,14900,25309,16217,14830,19606,20323,12880,10521,12888,10055
Msn2_291_354,10092,16218,7504,14879,7776,9040,11225,10161,6363,6066,4797,6200
Msn2_296_359,15188,22255,11966,21155,13917,11688,15739,15482,11884,6184,11210,10258
Msn2_301_364,11558,17129,10526,19043,11650,9714,11856,12759,8996,5187,8276,8025
Msn2_306_369,12413,17785,8515,17043,9375,8272,13153,14061,8061,5124,9133,8538
Msn2_311_374,14097,18471,11112,19463,9635,12764,12938,13766,12171,4866,9338,10719
Msn2_316_379,10248,15250,9046,15858,7561,8684,9879,10756,8353,3316,6930,8378
Msn2_321_384,8986,12422,7697,11627,6632,6218,8208,9119,7396,2317,7181,6233
Msn2_326_389,16523,23309,14860,26652,15588,14643,17434,17194,16403,9262,8960,10375
Msn2_331_394,6702,10558,5516,11534,5143,7484,8561,8766,7091,5096,5573,3927
Msn2_336_399,20263,27885,17289,32097,17152,18615,22140,21172,15794,14230,11576,12116
Msn2_341_404,10711,14128,7356,13475,10149,7568,10221,10296,6321,5284,6630,5759
Msn2_346_409,13002,17921,11283,20689,9978,10412,13928,14580,11768,8377,12155,8953
Msn2_351_414,9434,13071,7721,15887,8444,6397,10932,11070,7409,5766,5498,5662
Msn2_356_419,9366,13197,7592,15108,8316,8627,8973,9473,7704,4565,4959,7469
Msn2_361_424,9420,12429,7936,15143,10142,8641,10238,9357,7587,5964,7844,6580
Msn2_366_429,24410,33268,22192,38178,21879,21816,26126,26950,20553,13479,22065,17904
Msn2_371_434,9633,15187,9284,15145,9742,10027,10581,10472,7715,4474,6743,8542
Msn2_376_439,15566,23651,14481,25630,17033,19772,17505,17893,12833,13672,12516,14095
Msn2_381_444,25418,38657,21775,40010,27807,21933,36695,30309,22057,36293,19171,18630
Msn2_386_449,19217,26306,15745,29843,14291,15849,21732,21581,16538,19795,9193,12892
Msn2_391_454,23428,36006,21903,42689,24142,22417,30665,27764,21384,25357,18870,17680
Msn2_396_459,29544,45851,27878,53610,33117,30558,35366,34984,27280,27356,24599,21446
Msn2_401_464,30850,40413,24960,44983,26763,25052,33970,33838,25836,27990,22182,19848
Msn2_406_469,22617,31609,19702,37937,22526,21456,27641,25704,19920,22118,16149,19415
Msn2_411_474,22965,35397,21911,34846,18498,20088,28753,26801,20996,24942,17506,16264
Msn2_416_479,26345,37199,22108,43394,24539,25616,33145,30277,24364,28849,17306,20660
Msn2_421_484,30870,48583,28179,55158,26673,29764,39628,38638,29103,30866,24644,25262
Msn2_426_489,24105,34719,20678,40353,24796,19024,25570,25570,22552,15518,15510,19054
Msn2_431_494,40913,56335,35933,63210,34345,32731,47824,46602,37493,36707,32249,29897
Msn2_436_499,21382,30009,15616,33482,15586,20538,22666,22109,18536,16283,15389,13258
Msn2_441_504,33106,47299,29581,55320,29683,28810,38676,36444,29896,26655,21626,22326
Msn2_446_509,20277,24674,14987,30318,17088,14647,20685,20067,14064,15727,11768,13184
Msn2_451_514,30557,42942,23546,48311,22307,26369,36991,35473,25239,24522,20958,21114
Msn2_456_519,20395,28121,15678,30991,20243,17943,23249,21493,15457,17018,14181,13175
Msn2_461_524,13856,21179,12398,24233,13814,12124,17436,15380,12572,13796,9518,9432
Msn2_466_529,18319,27223,15479,30103,14012,20304,21355,20165,14416,18240,10500,10615
Msn2_471_534,29700,41303,24266,47531,24961,25388,37532,33374,28555,27649,24677,21132
Msn2_476_539,30754,43608,27005,50262,28024,24908,36593,35124,29162,26741,22589,25454
Msn2_481_544,23877,34207,19679,38354,21766,18618,26633,24767,19254,21015,14043,15885
Msn2_486_549,43546,65326,39161,74891,37861,36787,54443,49684,39096,46207,28114,30064
Msn2_491_554,38450,56281,34533,62673,36388,33130,50559,47587,34637,41009,27965,27543
Msn2_496_559,16842,23662,12966,26567,14826,15011,20578,17866,12277,19920,9898,8345
Msn2_501_564,41266,58939,34641,64111,31720,31150,51640,44769,32149,44077,26478,23461
Msn2_506_569,29506,41811,24448,44038,27747,25946,35438,34363,22534,29128,17660,15958
Msn2_511_574,28887,46264,25096,49634,24950,27185,38621,37182,24815,33280,22014,20643
Msn2_516_579,38319,50320,33654,60171,33417,28959,44839,43314,33757,38176,24931,24495
Msn2_521_584,32215,46183,30275,55147,30658,28809,42780,38906,28463,29059,22320,22397
Msn2_526_589,52863,79863,53094,95360,51889,51827,68340,62927,50496,63792,38765,37785
Msn2_531_594,57299,80441,49204,93346,52669,48620,74592,69976,50389,67034,35490,38887
Msn2_536_599,42967,60015,39476,76100,39627,34380,55156,49756,37616,48266,33489,28198
Msn2_541_604,31974,48623,25830,53190,26609,27804,40759,38157,27104,35272,25268,19608
Msn2_546_609,41666,61621,34761,64798,31756,34524,50085,47790,35250,41462,30959,24804
Msn2_551_614,35064,49828,30031,49964,28252,29429,42580,41215,30114,33570,23135,26240
Msn2_556_619,25602,35457,22719,43250,18631,21262,31670,29661,21795,23511,18741,18699
Msn2_561_624,21489,29810,19203,36145,19414,17511,25699,24715,19196,16130,15276,14958
Msn2_566_629,20228,29677,17662,33981,16867,19849,25293,23626,19794,17616,17070,16771
Msn2_571_634,18784,26909,16686,32128,16824,20354,22466,22639,16635,14111,15796,12965
Msn2_576_639,12702,15985,9108,17227,12043,10216,12928,13625,9490,7460,8099,7989
Msn2_581_644,14753,20919,11980,23915,13000,12797,14854,15279,11458,5976,10329,8174
Msn2_586_649,16558,21642,14133,24548,11068,14564,17480,17583,14301,5958,11797,10077
Msn2_591_654,27026,38981,24235,40383,24716,23589,25264,27414,23651,7455,21920,19783
Msn2_596_659,17890,25443,16123,30513,16187,17592,19266,19466,18207,8109,12363,14562
Msn2_601_664,14276,20953,12587,21725,11397,11052,15938,17733,12503,12504,8156,8620
Msn2_606_669,11737,16273,9666,17964,8114,10886,12913,12387,9044,11661,10223,7521
Msn2_611_674,17329,24460,14814,27885,14203,15698,19185,18394,14888,14217,8765,11525
Msn2_616_679,11947,17058,9816,19824,12316,8865,15631,14834,10298,11554,8993,6610
Msn2_621_684,17219,26294,16830,29637,18579,15212,20495,19705,15794,14082,11394,13859
Msn2_626_689,23752,32709,19918,37922,19471,21485,27083,25766,19421,17882,15880,15694
