,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Tec1_1_64,33724,33300,16886,16008,10062,11146,31772,38659,19680,14857,1694,10233
Tec1_6_69,26080,27655,30057,34525,25427,30979,34547,39029,37420,30469,2683,32461
Tec1_11_74,61964,62361,46872,54571,42906,36819,59593,71419,54762,43392,3953,41201
Tec1_16_79,89244,91894,69799,79530,85541,63758,90847,105515,83261,66968,6375,64603
Tec1_21_84,69737,75142,65393,66263,74328,71540,71660,80925,77904,63623,5567,68867
Tec1_26_89,66196,70331,43806,38492,27826,27248,63906,71775,44537,30474,3680,24134
Tec1_31_94,74262,81673,73705,64446,71029,71658,78457,92936,89124,63883,5908,65327
Tec1_36_99,13398,13876,11652,12955,13093,21469,12675,15021,14238,15831,1369,18617
Tec1_41_104,48045,52425,25655,24787,12200,17283,49675,56122,26746,18647,2739,14252
Tec1_46_109,18528,18076,17564,16142,24828,22089,16606,22060,18191,18898,1953,19155
Tec1_51_114,13118,15730,10826,16059,18988,23003,12806,15195,14760,10065,1525,21159
Tec1_56_119,21599,22741,21403,15954,36452,25050,22738,25827,21735,19445,2311,22341
Tec1_61_124,51043,55102,49169,48200,63271,51051,47733,54332,49546,41195,4167,40531
Tec1_66_129,42345,42693,32780,39287,31285,33461,36060,47107,36665,34951,4100,42970
Tec1_71_134,33119,33625,29718,30795,29069,32884,29070,34163,31182,29251,3254,32197
Tec1_76_139,13074,14600,11507,15492,27656,21106,15566,16419,12948,12562,1674,19709
Tec1_81_144,26321,29081,24533,26999,32401,30913,21664,29123,27066,28230,2413,33659
Tec1_86_149,31143,33363,31392,34633,35035,48412,28619,37332,35338,32016,3711,43635
Tec1_91_154,13681,14499,11992,12608,22528,23323,14724,20600,15008,15515,1746,25487
Tec1_96_159,9995,9970,9498,11585,25205,12207,9048,13298,9753,7341,1118,10803
Tec1_101_164,44667,46236,34844,35275,20556,28388,40824,51185,33203,30972,2989,29137
Tec1_106_169,33204,37285,29320,38180,46321,40602,34932,39334,37339,34251,3354,36457
Tec1_111_174,35159,40887,37201,33969,47140,59920,34337,38211,43021,41924,3671,50078
Tec1_116_179,24986,23531,22236,30263,37043,40016,20058,28168,22838,29601,2911,37107
Tec1_121_184,19809,19727,20055,19992,29395,26469,15250,23307,23075,25816,2303,26832
Tec1_126_189,17820,19760,17333,16302,24936,39061,18372,22948,16980,17817,2350,28158
Tec1_131_194,21272,23530,17343,24634,40312,40203,20428,27854,21648,27076,2821,39247
Tec1_136_199,4531,6960,4952,5986,13010,7965,9415,9490,8166,9876,930,13377
Tec1_141_204,25167,25468,19002,25817,47090,39929,22364,29520,23976,29555,2940,43519
Tec1_146_209,37717,39080,28662,37214,76348,67930,34299,41596,32247,42223,4384,58427
Tec1_151_214,31218,30542,26891,31079,47601,38014,28815,37871,34738,36316,2763,41046
Tec1_156_219,15014,17221,12800,19519,24074,19326,13898,16649,12505,18753,1522,24355
Tec1_161_224,22187,21048,18956,20845,28066,29395,23943,27554,24409,27243,2989,32294
Tec1_166_229,21422,22161,22073,25438,33794,34346,21099,25079,20460,23571,2420,32474
Tec1_171_234,39137,39357,32419,33582,51232,46006,35433,46672,35641,36654,3680,41330
Tec1_176_239,24849,25711,18482,23339,35200,35351,19246,28918,27488,25241,2424,35938
Tec1_181_244,20077,21399,16692,18288,28211,28883,17759,23098,19582,21205,2024,25560
Tec1_186_249,94847,95983,93078,95181,136778,138704,78372,96153,103165,98957,10211,122847
Tec1_191_254,17151,18027,14242,10669,17939,20446,15840,19328,15595,15431,1642,20775
Tec1_196_259,86250,91100,80658,86090,92321,114857,84521,98618,99078,84841,8623,94499
Tec1_201_264,24060,21852,19400,27045,40527,33543,21281,26956,29062,26992,2267,34709
Tec1_206_269,64046,61346,57327,57830,66940,74088,56598,72909,65580,58121,6107,63060
Tec1_211_274,31574,33198,29921,29623,32895,41872,33257,40478,36361,32381,3455,44051
Tec1_216_279,25276,31548,27729,25983,40727,39497,32422,37412,34860,33264,3312,48729
Tec1_221_284,24175,24295,20980,27257,24534,22523,22488,29695,24277,25882,2066,25404
Tec1_226_289,25583,25261,23719,27459,34097,25974,23762,29549,27793,28153,2564,31642
Tec1_231_294,26377,29828,29154,29971,29237,37472,32052,35189,32462,27995,2954,36751
Tec1_236_299,49745,55375,44386,44692,44257,35442,48803,58748,48309,33354,2889,36192
Tec1_241_304,33940,35542,30600,37212,60059,44223,35565,40240,40273,32058,3950,41266
Tec1_246_309,14443,14255,12899,14595,21918,26379,13025,16636,16535,13384,1895,22723
Tec1_251_314,33901,43074,36085,37629,66336,63868,38007,42756,42671,42509,4358,60113
Tec1_256_319,16989,19359,14794,14620,19696,23909,16435,18217,16844,18250,1718,25371
Tec1_261_324,17867,19348,10127,18266,23944,30379,17642,21758,16590,17074,1663,28358
Tec1_266_329,53234,54630,49786,58084,67412,62894,51552,62665,52287,54393,5006,60913
Tec1_271_334,38002,38117,36973,35115,57962,51790,39918,47437,41398,42298,4084,51619
Tec1_276_339,46114,42518,34916,32816,36190,37531,40061,52012,43041,35391,2836,29039
Tec1_281_344,23118,22883,19736,23873,21850,18266,24871,31472,26013,24322,1818,23845
Tec1_286_349,36331,41435,34044,38477,60638,54598,34846,40539,44688,32787,3452,37004
Tec1_291_354,14273,15247,11902,15029,19384,21331,13560,18774,12959,15453,1476,19963
Tec1_296_359,36055,39167,27819,28618,33538,28829,34241,45076,38350,34652,2620,29615
Tec1_301_364,36455,35846,23280,26226,15082,17491,35956,44588,28890,20081,2564,17462
Tec1_306_369,30246,33433,25614,25715,29020,23584,33449,38298,26230,25423,2537,21154
Tec1_311_374,12802,14463,13240,14899,19909,17388,14227,18497,14162,14557,1322,17066
Tec1_316_379,32166,29700,15610,14103,9750,10571,28592,42622,16873,15114,1560,13464
Tec1_321_384,31745,34295,11840,12036,15307,11059,34835,40323,16104,11680,1662,9727
Tec1_326_389,15925,13542,9514,9923,14907,12290,11528,18530,11752,15010,1148,12967
Tec1_331_394,18705,17155,11666,17470,13897,13635,16683,22904,18565,13514,1540,17523
Tec1_336_399,19349,20040,17281,20849,10759,19566,21903,26579,18683,19258,1663,17961
Tec1_341_404,22453,21972,16147,15709,11121,15308,23117,26900,20151,18550,2043,17840
Tec1_346_409,9683,9401,8628,9861,17846,11875,10057,10873,7733,6710,1375,9660
Tec1_351_414,17788,15351,12512,14002,14810,17016,15881,17506,13899,14973,1455,18068
Tec1_356_419,10933,13172,11252,11381,10311,11560,11443,16590,12908,12559,983,14489
Tec1_361_424,42307,43205,29029,29377,23223,29939,35803,45465,33092,26825,3117,24658
Tec1_366_429,12538,12531,10325,9788,8962,12200,12558,14851,11648,8944,1192,11861
