,1_1_1,1_1_2,1_1_3,1_2_1,1_2_2,1_2_3,1_3_1,1_3_2,1_3_3,1_4_1,1_4_2,1_4_3,1_5_1,1_5_2,1_5_3,1_6_1,1_6_2,1_6_3,1_7_1,1_7_2,1_7_3,1_8_1,1_8_2,1_8_3
ABF1_1_64,0,0,152,0,0,1,1,0,0,0,0,0,1017,1,1429,107,1920,261,3073,1726,876,101,4434,0
ABF1_12_75,330,0,0,255,1,1252,1418,751,398,142,773,490,965,354,1706,311,1350,370,0,0,0,0,0,0
ABF1_23_86,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0
ABF1_34_97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_45_108,0,0,160,0,0,0,0,0,0,0,10,0,0,1132,0,1,0,724,0,0,0,1,0,0
ABF1_56_119,0,61,0,0,188,904,0,0,0,15,147,0,41,465,27,415,225,0,0,0,0,0,0,0
ABF1_67_130,69,35,0,73,0,60,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_78_141,0,0,0,0,0,0,105,0,2,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0
ABF1_89_152,822,419,843,93,87,278,97,0,141,0,0,464,1,0,1,1,0,1,0,0,0,0,0,0
ABF1_100_163,169,34,492,391,231,358,108,148,155,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ABF1_111_174,476,47,336,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABF1_122_185,0,0,0,79,0,5,86,0,36,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ABF1_133_196,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_144_207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_155_218,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_166_229,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_177_240,0,0,0,14,0,1,235,262,0,0,0,0,252,0,1,72,349,0,0,0,0,0,0,0
ABF1_188_251,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
