,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,22059,27608,21806,34924,48712,34382,33868,25571,21743,27868,15185,27650
Msn2_6_69,17049,17346,14676,22280,31565,21007,22242,17217,14657,17728,10499,17004
Msn2_11_74,16281,13139,12517,18980,25863,20214,20257,15047,10786,14554,7465,15525
Msn2_16_79,24082,21012,19687,30272,43327,28422,33556,22633,19713,25025,12426,24654
Msn2_21_84,18183,19654,17495,25723,36473,25533,25591,19125,16109,21157,9759,20041
Msn2_26_89,18274,17760,16691,28068,38916,27762,27599,19804,16672,21981,11094,22872
Msn2_31_94,14622,9262,11329,16408,27601,16239,18772,11496,9554,11587,6656,12430
Msn2_36_99,17137,14612,13850,22359,26136,19201,23420,15371,13850,17505,9104,17949
Msn2_41_104,17670,16403,17165,26298,39903,29047,30059,21144,17198,23331,12559,24987
Msn2_46_109,17060,18499,14119,23240,35557,21550,21578,16226,14238,19718,9928,19314
Msn2_51_114,12699,15561,14251,18919,27378,16835,21252,13758,11081,15454,8578,15938
Msn2_56_119,20568,14847,17469,29514,40999,26783,28149,20161,17912,23346,12682,24293
Msn2_61_124,14638,11007,13364,20400,24863,18094,21733,13962,12970,15422,8941,15858
Msn2_66_129,13085,10222,12043,21379,27562,19578,21931,15571,13225,16905,8652,16562
Msn2_71_134,24709,24754,22456,37353,54379,32576,38334,27577,24867,31625,17178,31905
Msn2_76_139,20518,16454,18652,32071,40321,27023,28250,19833,18078,22271,13289,25586
Msn2_81_144,16970,17952,17133,28071,41524,28601,27333,20735,16372,21672,10417,22185
Msn2_86_149,26696,21313,22233,35924,51751,32185,32659,22770,22445,28215,14548,29683
Msn2_91_154,18256,20682,17112,25496,37979,26410,28107,19190,15222,20301,9909,20723
Msn2_96_159,16170,11066,13675,21895,30691,21087,24611,16576,13667,18347,9002,18597
Msn2_101_164,23808,11244,16677,29401,39703,25613,24995,17457,16276,21458,10408,21886
Msn2_106_169,17809,14271,14469,21895,30439,21640,25069,17827,13457,18090,9314,16889
Msn2_111_174,22765,18662,18581,32368,47198,30661,33252,22766,16922,21610,12560,22751
Msn2_116_179,25633,22092,21590,30419,42245,31957,35111,25134,19694,25022,14115,26287
Msn2_121_184,23136,19836,18003,30675,39561,28402,29749,22671,18082,22297,11603,22869
Msn2_126_189,11020,7570,7103,11140,14784,10524,12450,9141,7536,9331,4177,9638
Msn2_131_194,15284,11914,11914,18524,24256,14734,19789,12113,12008,15240,7282,14822
Msn2_136_199,17372,15354,13865,21411,29182,21950,22313,16109,13564,18276,8733,18172
Msn2_141_204,18569,16757,14017,21411,28721,19710,21681,16371,14377,18213,8840,21207
Msn2_146_209,23342,17578,19871,31735,47547,30841,33941,24663,20320,25320,13191,26787
Msn2_151_214,27468,18617,17955,29522,33821,28379,28660,21489,19071,24316,12312,24806
Msn2_156_219,16828,16301,15836,29143,34200,24506,25514,18408,16694,21078,11176,23694
Msn2_161_224,18628,23333,18372,28723,37496,26323,28305,18894,17633,22430,10939,22348
Msn2_166_229,22969,20332,19724,32686,44746,30593,31408,23796,20678,24941,12999,26311
Msn2_171_234,16037,20400,15731,25373,37562,25661,26747,19122,15726,21970,11859,22041
Msn2_176_239,20080,16871,16247,26654,36367,26126,26589,18578,17229,21365,11990,24470
Msn2_181_244,18699,11151,15069,24412,35268,21909,25721,17338,15616,18649,10934,21865
Msn2_186_249,16617,12944,15536,25650,33118,27473,24667,18976,16769,22327,11107,21817
Msn2_191_254,25228,25761,21076,37432,54963,35428,34428,23682,22488,29043,16137,31315
Msn2_196_259,18189,12134,17357,24876,39973,25217,23398,18183,15994,19617,12930,20941
Msn2_201_264,24500,21532,16410,27982,40172,27210,26059,20169,18009,22124,11551,25723
Msn2_206_269,38340,26850,30567,56131,76450,51338,46344,34344,29386,40180,21557,40447
Msn2_211_274,32586,26609,27591,43677,72701,45138,47732,35960,28543,38641,20909,37965
Msn2_216_279,21812,18715,20735,37200,51906,33500,32402,24413,20675,25750,13478,27523
Msn2_221_284,19143,19071,20091,27460,42281,28879,28996,19463,17300,22571,12840,22971
Msn2_226_289,16614,13001,16045,27278,35828,27517,24645,19146,16635,20743,11059,21919
Msn2_231_294,23800,15544,19804,30962,42633,28708,30525,21590,19286,23407,13292,26726
Msn2_236_299,27190,22584,22652,35849,54513,34998,34396,25370,23367,29355,16347,31277
Msn2_241_304,30598,27713,23430,38426,61237,35593,37303,29045,23602,31926,15712,31932
Msn2_246_309,32125,17085,25053,43194,59361,41454,41918,29975,26287,31953,15969,30974
Msn2_251_314,33831,23264,27651,48796,72733,45236,51078,35271,27358,36849,18833,37206
Msn2_256_319,25690,27130,24502,42669,54058,39570,40082,29699,23528,32820,15265,33932
Msn2_261_324,17070,14262,14519,25717,30697,21411,22389,17681,15198,20404,10418,19350
Msn2_266_329,23164,17499,15986,28568,38126,27959,24948,20026,15839,19116,11256,20276
Msn2_271_334,16182,14047,16351,25059,31335,24099,24440,15352,15322,20334,10125,20612
Msn2_276_339,18469,15013,12394,19397,28478,22495,19891,14269,13357,15631,8265,17117
Msn2_281_344,24144,16438,21868,30535,44621,28819,34633,24324,18173,23065,11795,23476
Msn2_286_349,17691,14940,14390,22268,32692,19673,23826,16300,13670,16682,9251,17218
Msn2_291_354,10747,7544,9379,12494,16708,12039,14837,10190,8878,11320,5878,12027
Msn2_296_359,20798,19008,15054,22875,33922,20414,20661,17214,14236,18464,9243,20292
Msn2_301_364,9242,5404,7710,14046,19692,14108,15384,9152,8289,11457,4920,11272
Msn2_306_369,11340,9273,9321,15347,22502,14348,15589,11670,10618,12598,5593,12855
Msn2_311_374,13749,11664,10879,21455,25070,19437,19929,12618,12897,15286,7652,17354
Msn2_316_379,16635,11516,12212,20070,33892,20593,21171,15251,13170,16702,8807,16020
Msn2_321_384,5931,6406,9538,14030,20858,15387,14999,9104,8426,10656,5613,11184
Msn2_326_389,16218,11565,13665,25051,31691,25356,22331,14660,13310,17005,8166,19283
Msn2_331_394,9334,8351,10026,14831,21556,15152,14992,10148,9152,11040,6353,12000
Msn2_336_399,19973,16139,15497,27659,33777,27137,29480,19163,16073,21133,10741,20938
Msn2_341_404,14772,10495,12314,18912,22969,15451,18248,13251,10665,14044,7369,13628
Msn2_346_409,14686,7425,12205,20001,31152,18770,19248,12504,12748,16370,7939,15428
Msn2_351_414,14317,12995,12236,17727,25606,16602,16987,12465,10618,13793,7198,15701
Msn2_356_419,12065,10888,10050,16250,19392,13763,15149,10543,8883,12299,6719,12502
Msn2_361_424,11292,11480,9013,15266,22044,14906,14349,10624,8544,11638,7092,12674
Msn2_366_429,26239,24967,20446,34452,44466,31816,34321,25753,20204,24524,13751,25525
Msn2_371_434,10780,10943,7901,12452,15422,11085,11639,8717,7985,9207,5803,10398
Msn2_376_439,14349,12708,10501,16834,23364,17577,17657,12390,9085,13097,8747,13922
Msn2_381_444,24595,20834,20248,33724,42625,30820,29680,22451,19504,26052,14684,27244
Msn2_386_449,16463,14813,12220,21853,30651,20073,19940,13638,12571,15475,6629,16731
Msn2_391_454,26248,17455,20558,32519,50788,32804,32140,21163,19624,25581,13834,27371
Msn2_396_459,23391,28048,24560,42776,56333,38018,37232,28318,23626,31549,16159,34410
Msn2_401_464,26771,16786,23651,40076,48049,35962,34951,25289,22285,29023,15444,31214
Msn2_406_469,19439,15674,16640,25813,40647,24733,27184,21099,17035,20724,11847,19393
Msn2_411_474,17985,23834,15701,27558,35689,24162,25587,18593,15419,21659,10008,23855
Msn2_416_479,23724,19584,20022,36451,41692,29769,34207,23710,21585,28467,12756,29009
Msn2_421_484,25435,22974,23246,42639,49255,33034,37609,27315,22509,28965,14264,33118
Msn2_426_489,21408,21983,17048,28293,38280,29148,28737,21420,18206,24119,12414,23320
Msn2_431_494,35089,26910,26018,43650,58080,41232,41170,31801,25944,31876,18025,35837
Msn2_436_499,20785,19457,15277,23648,36150,24122,22436,15496,14835,16693,9571,17622
Msn2_441_504,26426,27671,23650,38337,56274,34634,41332,26703,23071,28704,16134,28689
Msn2_446_509,14903,9913,13862,23492,29866,21946,23988,18250,13107,16746,8320,17899
Msn2_451_514,19944,23650,17826,31644,44713,27827,31790,23870,17748,23292,10980,23715
Msn2_456_519,17111,20858,15758,24159,29047,21363,25982,18067,15229,19153,10113,20627
Msn2_461_524,14945,8091,11792,20655,29359,18214,18296,12798,10948,15195,7420,15854
Msn2_466_529,21252,18285,16575,28446,33363,28198,26718,20249,16138,20596,11293,19828
Msn2_471_534,23309,11937,21198,38045,45558,33608,33574,23901,19718,26592,13411,27639
Msn2_476_539,29170,27133,25631,44770,59156,40367,40937,31748,26474,36309,19312,37204
Msn2_481_544,16185,22828,18408,30354,40225,26474,31720,21234,18135,23879,11885,26070
Msn2_486_549,27747,23459,24798,39224,49204,38482,41379,29907,23837,29425,15449,32706
Msn2_491_554,30248,27111,26380,42450,69136,40243,46075,33178,25645,32992,17854,35334
Msn2_496_559,21549,16471,15644,25349,33183,24606,25356,19255,15822,20514,10094,20478
Msn2_501_564,33531,30099,27580,50162,64731,43392,50857,35068,27498,35652,20532,37608
Msn2_506_569,27907,25011,18753,33838,42855,30930,34750,25905,21529,26010,12409,28750
Msn2_511_574,25716,23692,19992,31524,41654,31504,34926,25498,21480,25956,14138,27462
Msn2_516_579,28051,25141,25981,45513,60201,39844,41532,32162,24050,33046,15106,33158
Msn2_521_584,25710,22524,23768,39553,50491,34655,32591,26353,20723,26977,14791,27992
Msn2_526_589,46717,34708,39566,59110,82653,61001,59707,41240,34116,44615,23205,46449
Msn2_531_594,34192,22938,26273,40092,54460,38456,43796,31858,23302,31212,17796,30671
