,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Cyc8_1_64,2806,211,100,238,15,22,7116,52,443,378,400,339
Cyc8_6_69,439,63,48,108,2,4,1550,3,117,93,8127,51
Cyc8_11_74,10309,524,266,508,22,39,5945,82,679,530,44182,715
Cyc8_16_79,2487,157,127,219,11,17,3583,54,289,269,9868,149
Cyc8_21_84,11000,284,133,219,20,19,7476,88,489,474,835,492
Cyc8_26_89,8537,688,547,1107,45,69,5071,78,730,695,18379,807
Cyc8_31_94,702,142,150,275,12,19,1684,98,229,173,8993,248
Cyc8_36_99,1599,143,108,249,7,27,868,41,163,178,7684,193
Cyc8_41_104,6331,406,346,691,28,65,2473,84,649,534,11161,637
Cyc8_46_109,2718,159,152,314,9,31,2335,38,207,217,7291,220
Cyc8_51_114,728,246,281,502,15,31,3497,54,376,336,30394,314
Cyc8_56_119,2951,166,163,276,6,20,2220,36,365,255,333,175
Cyc8_61_124,1754,58,72,88,3,2,455,19,101,110,168,78
Cyc8_66_129,1533,198,245,306,11,15,2675,44,357,274,9259,234
Cyc8_71_134,5909,405,399,694,26,48,8367,92,807,698,18934,554
Cyc8_76_139,1458,203,186,439,12,24,3838,84,358,319,15510,352
Cyc8_81_144,4520,370,293,553,23,82,8795,62,502,475,10600,409
Cyc8_86_149,5981,291,281,604,15,32,2561,150,607,577,12733,432
Cyc8_91_154,9111,365,419,822,21,35,4964,73,607,603,19605,518
Cyc8_96_159,4111,231,166,371,16,11,2005,37,322,261,5934,297
Cyc8_101_164,3012,175,157,317,15,27,1026,45,315,258,12695,228
Cyc8_106_169,191,121,115,205,10,27,478,16,201,193,17145,218
Cyc8_111_174,2230,145,127,269,13,21,3906,43,318,229,3796,180
Cyc8_116_179,2208,271,230,449,15,39,3784,151,365,357,14076,313
Cyc8_121_184,6902,420,366,807,26,33,14436,87,821,682,26451,567
Cyc8_126_189,1526,205,251,506,17,33,3023,80,630,547,4653,350
Cyc8_131_194,4802,291,258,456,25,20,1933,116,451,418,9673,384
Cyc8_136_199,405,134,160,318,7,18,372,26,244,234,4765,215
Cyc8_141_204,6018,294,272,504,17,12,3416,46,516,469,20347,382
Cyc8_146_209,4354,212,196,373,11,18,3369,30,369,299,2800,268
Cyc8_151_214,1506,127,118,217,3,16,2282,12,176,201,3949,119
Cyc8_156_219,1014,132,154,224,10,14,3913,25,273,154,11031,162
Cyc8_161_224,3674,231,166,301,10,12,2225,29,290,251,8413,271
Cyc8_166_229,924,88,155,257,5,9,1670,56,209,157,7702,136
Cyc8_171_234,1771,225,203,449,9,21,2502,69,408,349,6902,290
Cyc8_176_239,1274,179,163,345,14,14,3571,26,330,279,389,241
Cyc8_181_244,219,147,159,395,5,13,1607,59,218,281,13688,229
Cyc8_186_249,5270,232,224,484,13,35,4490,92,393,299,13954,304
Cyc8_191_254,5682,312,215,560,13,26,4746,117,558,490,5755,326
Cyc8_196_259,3647,189,191,348,8,20,1462,74,478,269,3834,245
Cyc8_201_264,2233,179,180,343,15,21,3912,34,299,244,19459,238
Cyc8_206_269,1194,213,149,273,22,27,3247,71,203,227,3748,168
Cyc8_211_274,2319,179,140,331,5,24,2086,72,235,260,19640,225
Cyc8_216_279,2863,121,104,226,10,7,1689,38,131,113,1316,105
Cyc8_221_284,232,152,183,379,8,10,2233,64,301,224,5146,259
Cyc8_226_289,783,115,80,164,5,11,936,44,171,173,2188,128
Cyc8_231_294,2265,215,234,411,19,18,2878,62,327,274,8446,279
Cyc8_236_299,3116,323,303,637,17,54,4728,71,505,384,11485,492
Cyc8_241_304,2527,190,192,359,6,6,1532,18,281,245,3989,175
Cyc8_246_309,2012,130,135,321,2,25,287,40,172,145,12494,179
