,1_1_1,1_1_2,1_2_1,1_2_2,1_3_1,1_3_2,1_4_1,1_4_2,1_5_1,1_5_2,1_6_1,1_6_2,1_7_1,1_7_2,1_8_1,1_8_2
Msn2_1_64,10704,689,34934,15076,7928,29814,16221,26565,6,27775,7,16,3,18,107,8
Msn2_6_69,0,1680,1,0,0,0,0,7,0,1,1,4,0,0,25,0
Msn2_11_74,978,1125,1940,1569,1,2,1699,4,1,2,0,9672,0,25,52,1
Msn2_16_79,627,0,1352,0,1,0,2,0,2,0,2,0,0,3,41,6
Msn2_21_84,7,9,12,7,20667,18,25510,47,26247,26473,48235,14237,9,32015,88,16
Msn2_26_89,4,4,1318,9,19833,27,77,12091,1616,36628,17303,15508,5,52,81,10
Msn2_31_94,1,515,18,1,875,1,2440,5164,2798,102,4816,8,1,7,3502,1
Msn2_36_99,0,1,1,4367,7,0,1,12495,1,6,554,0,0,56,102,0
Msn2_41_104,38494,8202,24630,71716,108042,18516,30886,10761,14998,19870,22,13,20,2070,49,26
Msn2_46_109,1524,0,0,1,0,9,1,5,1,6997,4910,3,17,0,78,1
Msn2_51_114,0,2,2,0,0,8,1,9,2,0,0,9,0,0,17,0
Msn2_56_119,33729,11009,47716,49316,21342,18585,24200,38409,84853,1964,60,11,11,22,111,13
Msn2_61_124,5433,6088,26426,17920,34773,31264,14218,63295,16770,23651,37,6,4,16,59,6
Msn2_66_129,0,0,27,1,0,1,624,6,1,2,0,0,0,225,160,0
Msn2_71_134,2312,1966,30355,40749,44927,23047,38511,37140,44669,19959,41,11,34,14,35,7
Msn2_76_139,4,9,17744,7,14670,76027,7616,20,10,18091,7118,14,35,1734,88,6
Msn2_81_144,51,4,4,1052,14953,2,6191,8,14567,16852,2,5614,1,224,44,11
Msn2_86_149,1481,10285,31446,7786,54112,28869,24203,15381,9217,47124,13,11,34154,30,42,22
Msn2_91_154,3,3,17,8,1,1,3682,144,1,4,10237,2,2,20989,148,3
Msn2_96_159,5,3,7,5,3376,3207,10,5792,3292,6,3,4,1,56727,50,2
Msn2_101_164,0,2,1,3,1,3733,2,16,8,8,1962,2,4561,2,116,845
Msn2_106_169,1507,8,41,26984,140,33,13360,16528,12746,82072,2123,10,7,13,52,6
Msn2_111_174,11032,3634,16769,49928,46108,20968,9658,62617,35414,21868,7077,4255,20,47,91,20
Msn2_116_179,26252,14848,145,12977,23825,33157,18825,4802,33958,27531,6,10,11,17,142,19
Msn2_121_184,32076,6025,7841,11648,24990,3,53,11,2,13,5,8,6,14,78,5
Msn2_126_189,0,550,1113,2424,0,1,3,10341,0,1,0,5,0,1,64,0
Msn2_131_194,10889,538,3053,2,28,2,15,75144,2,15,1,12,2,24,57,4
Msn2_136_199,32039,7078,7123,10360,4,14,30,7,4,6,1,7,3,2,94,0
Msn2_141_204,6589,2987,3,631,0,4,1,8,8104,1,2,2,3,0,59,2
Msn2_146_209,61024,18112,39156,33334,7827,9732,5,3639,22,31,1097,14,104,20,75,11
Msn2_151_214,1,616,1503,2,8,1,2,9,1,63217,1,2,107,7,89,28
Msn2_156_219,187,33,68,29,37,30,45,52,9841,70,38,33,87,49,165,815852
Msn2_161_224,45860,2656,16262,15906,21698,30650,18271,34994,7695,9300,40,13,64026,27,82,28
Msn2_166_229,24723,13,48632,12367,5967,55829,18306,8515,6485,10720,10,11,17,31642,71,16
Msn2_171_234,6,4,9,29,5,7983,6567,83,51094,41,24054,38,3630,32944,83,13
Msn2_176_239,5,6,6,19,3779,13,14,96,15106,116585,12452,10773,28532,12573,85,17
Msn2_181_244,6,4,5,33,7,7,9,24,8,35185,5,70622,20048,180,108,12
Msn2_186_249,6,8,1591,6751,24678,3,15438,42708,5,14156,3,6648,3,27,89,8
Msn2_191_254,2,1000,3,3,3,1,9413,4429,20029,20127,4,6731,4,47,106,11
Msn2_196_259,9364,11,18955,6293,30672,9,21933,17749,6310,20,14222,19668,8,52,56,13
Msn2_201_264,7,9,13017,7534,16651,37108,25610,20569,9527,30091,20,928,7710,11,52,17
Msn2_206_269,6878,1565,4933,11118,5308,4155,235,126,1,1,20,0,2,3,105,4
Msn2_211_274,4347,3176,5866,2997,14767,21,866,37,8,49,15,34,18,24,270585,23
Msn2_216_279,19903,4608,21135,11601,8166,16083,1670,16011,24,40,13,25,19,40,234419,10
Msn2_221_284,5790,204,26808,7682,11535,5605,22,9,12,8,14,0,2,4,55,4
Msn2_226_289,5678,1102,13181,7336,44,6,17,46,0,3,6,1,5,2,65,0
Msn2_231_294,1742,1,11642,7347,9192,3744,2081,8292,4602,3,11,1,6,1,72,7
Msn2_236_299,741,1799,4,14809,15817,17,6,7,4180,4312,9,4,3,5,37,2
Msn2_241_304,743,2398,26353,1412,1,6386,1490,18,1,4,2,2,4,1,65,2
Msn2_246_309,16167,6,3323,7074,5374,16150,60,34160,27600,35117,17762,12982,106,43,151,20
Msn2_251_314,826,2432,4160,10235,15858,10367,25389,28316,12633,3474,25,4741,6,21,88,11
Msn2_256_319,4753,1678,5256,31,11506,4853,5819,5505,4,5,7168,9,2,4926,117,6
Msn2_261_324,4,0,24,14,2,7,1796,38,4,14,2231,16168,31550,47,31,7
Msn2_266_329,2,1,10,9,5,3,6,18,10,138733,317,22,15759,14,160,14
Msn2_271_334,4,7,32,22,15,5,2,43,24363,20,2389,25642,7448,17425,32,7
Msn2_276_339,1,0,35,1585,0,0,0,0,5245,1,0,0,2,0,100,11
Msn2_281_344,11278,165,1220,1,1555,2905,2,10619,1,6,1,3,0,2,30,2
Msn2_286_349,8896,655,4,2015,10269,1062,0,3,1,0,0,0,2,2,61,1
Msn2_291_354,1098,0,1,1258,0,1,0,1,6,0,0,0,0,0,35,0
Msn2_296_359,20557,4827,39248,24257,9872,3557,23,2093,26,8,18,7,2,20,61,6
Msn2_301_364,937,2,14874,1,10250,0,2,4,2,1,3,16039,0,41,33,4
Msn2_306_369,10172,675,5531,12939,20266,4845,4492,13,7929,5,6,2,1,8,22,4
Msn2_311_374,3935,2,5,7,15605,25853,6013,13413,30,19434,4451,1,4,1,72,3
Msn2_316_379,1473,894,3233,189,164,1,0,21,1,6,17889,3,1,1,16,3
Msn2_321_384,3075,0,0,2118,2,1,6,0,1,14954,0,1,2,0,23,0
Msn2_326_389,2,1,13343,12584,7038,1282,5641,10779,19,4888,1,0,3,0,42,5
Msn2_331_394,1,2,3,0,1,24785,19831,3,5442,9759,4,2,1,2,27,5
Msn2_336_399,3272,1,23,369,10358,7,9303,15049,3235,2425,3946,2,1,4,36,3
Msn2_341_404,0,18,1,0,885,0,0,1,0,0,0,0,0,2,35,0
Msn2_346_409,1,1,2,1,0,0,2,0,0,2,1,1048,0,18924,36,2
Msn2_351_414,0,1,1,3,2,0,0,89,29823,568,1383,1,0,7,45,1
Msn2_356_419,0,0,0,0,0,0,0,3,0,0,0,15,1,0,27,0
Msn2_361_424,0,1,0,9,3,22,4,22,8219,1365,15,0,8885,1,65,1
Msn2_366_429,2127,7720,15188,22208,18794,19503,10776,24275,2,10,6,5,3,9,94,10
Msn2_371_434,0,602,0,0,0,0,0,0,0,0,0,1,1,0,15,0
Msn2_376_439,108,2,0,3,1373,6875,6,194,1,3,0,0,1,1,54,2
Msn2_381_444,10,5,34391,31963,25100,27368,52940,13617,6480,29578,19,16,10,21,66,19
Msn2_386_449,4,2,130,4,1004,29063,13,5,7557,3,2,3,3051,15,54,1
Msn2_391_454,6884,1083,10650,10965,2575,2252,6073,10923,4706,3,8,3,2,3,61,1
Msn2_396_459,6577,781,8071,4640,3652,16181,28021,6763,25366,6,7,14,36,7,45,6
