,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,13873,17564,15132,15510,10009,22548,28576,25047,15451,19475,5409,16181
Msn2_6_69,11967,14443,10746,14148,10809,12318,22757,19331,9278,19167,4140,11095
Msn2_11_74,13908,11773,10455,14444,8249,18799,24944,21960,14226,19346,4317,11558
Msn2_16_79,17304,17235,15848,22173,6557,20272,33596,27687,15836,20173,5408,12871
Msn2_21_84,13222,13921,11259,15212,7857,17418,24039,21833,13003,20246,4206,12988
Msn2_26_89,15650,18475,11627,16838,7736,22098,27783,24369,18522,20660,5037,16186
Msn2_31_94,11363,6350,8150,11682,7781,6276,23457,17708,11842,16105,3601,8412
Msn2_36_99,10938,11241,10033,16421,7958,15476,24161,21050,12941,19292,3790,12258
Msn2_41_104,21403,22053,14525,19310,11790,16515,31269,24051,14309,23754,5667,15516
Msn2_46_109,13262,15588,12345,18999,12402,21392,24805,22256,13940,24226,6292,11425
Msn2_51_114,9576,9427,8892,14374,6988,12392,18339,16287,11976,13346,3587,7708
Msn2_56_119,13727,17476,10487,19724,10853,22147,26314,22238,14540,20459,4058,12845
Msn2_61_124,7523,16996,10125,13286,5980,9871,22879,18544,9002,14783,4507,8665
Msn2_66_129,14372,14345,11898,13569,12380,11948,23433,20345,14704,23328,4872,9426
Msn2_71_134,18715,16162,11995,19992,13127,16177,33234,26513,19496,26468,6169,17279
Msn2_76_139,14851,14359,9826,14786,10797,17679,29330,21527,11953,20130,6744,13452
Msn2_81_144,14394,12036,12618,19571,9806,16036,29593,24377,15114,22787,5682,16884
Msn2_86_149,22818,14186,15309,20661,13106,24158,34098,29551,17847,24357,8046,15280
Msn2_91_154,14180,13487,8758,14814,8487,19441,24620,22758,14039,18961,2595,12576
Msn2_96_159,10937,9584,8419,13574,6309,8379,20479,16923,10913,12444,2970,12247
Msn2_101_164,11314,8676,10793,15955,5148,17073,23554,20255,17742,22866,4999,14893
Msn2_106_169,11060,10916,9019,8375,4637,12074,18394,16878,12410,15215,4298,7648
Msn2_111_174,14961,10605,13491,16037,9464,15418,28430,25153,14336,20881,4270,10301
Msn2_116_179,14077,13336,15793,17993,6846,22549,28635,25973,14754,21852,5929,17371
Msn2_121_184,20362,12720,13858,19793,10419,18106,34075,27380,18840,22270,5958,16842
Msn2_126_189,8953,5343,5588,8014,6063,7970,13397,11693,7900,11010,2128,6993
Msn2_131_194,12099,11518,9164,13049,6365,16635,18257,16962,8754,14782,4102,13217
Msn2_136_199,11333,7234,12330,11734,7940,13127,20480,18070,11776,18585,5376,13888
Msn2_141_204,13825,11411,10374,12266,11101,16675,23670,20143,13930,18193,5298,14407
Msn2_146_209,21263,22406,17371,21400,13104,22577,34794,28989,18622,26516,6358,13754
Msn2_151_214,18447,19985,13203,18970,11523,15462,30016,26693,15150,24514,5927,13668
Msn2_156_219,17132,16659,13667,20994,13494,19545,25073,22123,15307,22566,5866,17625
Msn2_161_224,12265,9101,10254,13388,7098,15487,22413,17904,10656,17490,3008,11519
Msn2_166_229,17456,13360,14732,24307,12752,17195,31948,27967,16989,21923,6913,15947
Msn2_171_234,15284,15692,11620,13788,11841,16455,26194,20286,10811,20757,4058,12432
Msn2_176_239,16008,17031,11519,18498,10849,19650,24803,22570,16526,22727,5208,9869
Msn2_181_244,12484,21783,10902,17910,12625,11994,22543,19808,11831,17086,5107,12809
Msn2_186_249,12425,11857,12318,18410,7297,22807,25179,24528,13831,20761,4753,18217
Msn2_191_254,14766,17413,12081,19356,7836,16694,25244,22192,18011,24049,4716,10899
Msn2_196_259,11494,11112,10411,14171,3279,13453,22426,17461,10579,16647,4647,8392
