,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Med15_1_64,25253,31449,27204,23236,32299,35041,22010,25750,27917,30647,37372,30995
Med15_6_69,6246,9113,9497,7220,9991,14773,6377,9105,9333,11933,15456,15209
Med15_11_74,5944,8031,5214,5258,7517,12257,4841,3832,5838,4829,8414,7965
Med15_16_79,10978,11362,15741,12008,11686,13248,8945,11866,12724,11400,14066,10999
Med15_21_84,19071,25962,21806,15464,18637,21506,15898,22093,19837,20067,17975,17375
Med15_26_89,8119,15487,9883,8668,9777,9183,12770,19879,9793,8199,8969,5826
Med15_31_94,14306,16985,12263,9074,10715,11875,13696,18025,11030,8447,7336,8480
Med15_36_99,4245,3987,3462,4307,4168,5939,1801,2460,3761,3521,4485,2742
Med15_41_104,23424,24127,20838,17590,16180,17937,25443,31898,27354,23403,18946,14298
Med15_46_109,14336,15162,13885,9504,12020,16164,12117,12474,13369,12451,11032,15414
Med15_51_114,8506,11231,6571,4215,4224,7351,10571,14087,6694,4588,6579,3407
Med15_56_119,6848,8212,5252,4562,3474,3317,4825,9546,3681,3401,3684,3787
Med15_61_124,6860,9867,5226,3679,5609,5244,7733,13081,6410,5345,6904,3916
Med15_66_129,10701,12161,11631,9866,7479,12897,11774,16065,8037,9411,7960,6815
Med15_71_134,10996,10821,10326,8239,9399,14236,8863,18309,8320,9555,7216,8627
Med15_76_139,10956,16511,13098,9421,10437,12362,9447,11873,11189,10687,9422,9162
Med15_81_144,7609,6804,6974,5238,6708,7409,7902,10621,6354,6615,6874,5806
Med15_86_149,10265,12447,11812,8601,7996,11218,9930,8462,10963,8940,10784,5373
Med15_91_154,14546,16931,12024,9939,8713,17010,12873,17593,9884,12274,13838,7838
Med15_96_159,2646,4929,2545,2278,2194,3688,3867,3369,2429,3133,6328,1567
Med15_101_164,3594,3510,1639,2233,2420,2511,2877,1801,1355,1778,1141,2903
Med15_106_169,2827,2756,1459,2037,987,3356,4318,2295,3249,3702,5589,3819
Med15_111_174,9529,13672,9298,9342,8815,11288,8229,13267,8338,7477,9208,8449
Med15_116_179,862,2316,986,1033,225,1415,463,828,1230,436,993,509
Med15_121_184,2317,2159,2160,1167,2666,3133,2817,3858,2384,2192,2850,2785
Med15_126_189,8250,12892,8180,5719,7043,7790,11014,10133,9090,6700,8623,8218
Med15_131_194,7334,10287,5527,3438,3812,8062,9943,8984,4310,4618,7270,4595
Med15_136_199,22556,29630,26202,23112,24811,35213,24969,28629,25881,27001,36271,28577
Med15_141_204,13350,10281,7040,8594,11498,9136,12970,15347,10792,8957,11585,8530
Med15_146_209,3226,6236,4674,3310,5063,8167,3628,3011,5569,3940,7951,5137
