,1_0_1,1_0_2
ABF1_1_64,469,641
ABF1_12_75,789,759
ABF1_23_86,1462,1330
ABF1_34_97,841,928
ABF1_45_108,1340,1226
ABF1_56_119,2168,2082
ABF1_67_130,1215,954
ABF1_78_141,1350,1146
ABF1_89_152,1338,2108
ABF1_100_163,188,193
ABF1_111_174,550,458
ABF1_122_185,1012,1649
ABF1_133_196,988,838
ABF1_144_207,1200,870
ABF1_155_218,552,470
ABF1_166_229,969,1044
ABF1_177_240,584,480
ABF1_188_251,922,804
ABF1_199_262,2159,1058
ABF1_210_273,912,857
ABF1_221_284,1098,871
ABF1_232_295,911,743
ABF1_243_306,1612,1516
ABF1_254_317,865,899
ABF1_265_328,835,845
ABF1_276_339,452,500
ABF1_287_350,2607,2250
ABF1_298_361,3370,3128
ABF1_309_372,1616,1743
ABF1_320_383,784,378
ABF1_331_394,567,581
ABF1_342_405,311,365
ABF1_353_416,400,562
ABF1_364_427,329,447
ABF1_375_438,225,318
ABF1_386_449,583,572
ABF1_397_460,373,210
ABF1_408_471,771,694
ABF1_419_482,828,779
ABF1_430_493,130,108
ABF1_441_504,1618,1336
ABF1_452_515,935,777
ABF1_463_526,528,583
ABF1_474_537,503,544
ABF1_485_548,733,714
ABF1_496_559,1202,1021
ABF1_507_570,1704,1533
ABF1_518_581,1662,1329
ABF1_529_592,2220,1890
ABF1_540_603,2615,2210
ABF1_551_614,2865,2975
ABF1_562_625,805,721
ABF1_573_636,919,763
ABF1_584_647,315,467
ABF1_595_658,660,585
ABF1_606_669,903,457
ABF1_617_680,1804,1519
ABF1_628_691,1173,429
ABF1_639_702,1659,1401
ABF1_650_713,805,677
ABF1_661_724,642,586
ABF1_668_731,369,234
ABF2_1_64,1503,1585
ABF2_12_75,2960,2622
ABF2_23_86,1338,1354
ABF2_34_97,726,1119
ABF2_45_108,728,604
ABF2_56_119,1295,1362
ABF2_67_130,805,730
ABF2_78_141,762,710
ABF2_89_152,83,111
ABF2_100_163,262,203
ABF2_111_174,1178,3473
ABF2_120_183,931,799
ACA1_1_64,1095,1273
ACA1_12_75,840,988
ACA1_23_86,796,992
ACA1_34_97,3330,2953
ACA1_45_108,4182,3375
ACA1_56_119,4273,3532
ACA1_67_130,2703,2373
ACA1_78_141,3042,2484
ACA1_89_152,2619,2130
ACA1_100_163,1233,1046
ACA1_111_174,2112,1868
ACA1_122_185,1592,1247
ACA1_133_196,4804,4011
ACA1_144_207,3917,3038
ACA1_155_218,4769,3944
ACA1_166_229,3392,2945
ACA1_177_240,3343,2756
ACA1_188_251,2108,1920
ACA1_199_262,3825,3093
ACA1_210_273,3838,2442
ACA1_221_284,2284,1926
ACA1_232_295,3941,3190
ACA1_243_306,3025,2974
ACA1_254_317,2849,2653
ACA1_265_328,1293,1367
ACA1_276_339,3018,2522
ACA1_287_350,1352,1284
ACA1_298_361,2487,2209
ACA1_309_372,1604,1505
ACA1_320_383,514,531
ACA1_331_394,1292,795
ACA1_342_405,1323,1251
ACA1_353_416,1196,1131
ACA1_364_427,99,106
ACA1_375_438,53,26
ACA1_386_449,0,1
ACA1_397_460,63,75
ACA1_408_471,246,188
ACA1_419_482,43,42
ACA1_426_489,36,42
ACE2_1_64,1241,1008
ACE2_12_75,592,521
ACE2_23_86,427,437
ACE2_34_97,348,432
ACE2_45_108,1283,1109
ACE2_56_119,584,655
ACE2_67_130,475,423
ACE2_78_141,387,528
ACE2_89_152,413,417
ACE2_100_163,963,987
ACE2_111_174,349,278
ACE2_122_185,427,430
ACE2_133_196,402,348
ACE2_144_207,648,672
ACE2_155_218,111,128
ACE2_166_229,116,124
ACE2_177_240,143,138
ACE2_188_251,143,135
ACE2_199_262,407,441
ACE2_210_273,182,161
ACE2_221_284,276,223
ACE2_232_295,1569,1291
ACE2_243_306,1383,1208
ACE2_254_317,1746,1393
ACE2_265_328,1403,1313
ACE2_276_339,2091,1908
ACE2_287_350,886,1023
ACE2_298_361,558,641
ACE2_309_372,598,612
ACE2_320_383,421,429
ACE2_331_394,208,289
ACE2_342_405,350,700
ACE2_353_416,438,485
ACE2_364_427,397,379
ACE2_375_438,2048,1805
ACE2_386_449,2318,1815
ACE2_397_460,4782,3939
ACE2_408_471,3265,2648
ACE2_419_482,4248,3424
ACE2_430_493,2810,2420
ACE2_441_504,3484,2490
ACE2_452_515,2318,1973
ACE2_463_526,1953,1853
ACE2_474_537,2176,1959
ACE2_485_548,907,757
ACE2_496_559,2845,2283
ACE2_507_570,2188,1963
ACE2_518_581,841,752
ACE2_529_592,163,161
ACE2_540_603,972,811
ACE2_551_614,894,861
ACE2_562_625,370,379
ACE2_573_636,647,585
ACE2_584_647,2750,2340
ACE2_595_658,2236,1974
ACE2_606_669,1573,1485
ACE2_617_680,481,433
ACE2_628_691,708,708
ACE2_639_702,1037,1218
ACE2_650_713,640,633
ACE2_661_724,858,813
ACE2_672_735,589,615
ACE2_683_746,529,664
ACE2_694_757,2593,2260
ACE2_705_768,954,919
ACE2_707_770,995,762
ADR1_1_64,1226,1026
ADR1_12_75,429,468
ADR1_23_86,451,461
ADR1_34_97,318,387
ADR1_45_108,410,348
ADR1_56_119,463,512
ADR1_67_130,302,245
ADR1_78_141,936,790
ADR1_89_152,875,694
ADR1_100_163,1346,972
ADR1_111_174,856,739
ADR1_122_185,649,587
ADR1_133_196,1019,891
ADR1_144_207,1212,959
ADR1_155_218,1034,953
ADR1_166_229,860,740
ADR1_177_240,1676,1550
ADR1_188_251,2030,1501
ADR1_199_262,1964,1846
ADR1_210_273,1418,1188
ADR1_221_284,1902,1812
ADR1_232_295,2052,1923
ADR1_243_306,2889,2166
ADR1_254_317,1240,1611
ADR1_265_328,832,828
ADR1_276_339,642,669
ADR1_287_350,1022,1006
ADR1_298_361,1319,1249
ADR1_309_372,2854,2696
ADR1_320_383,917,795
ADR1_331_394,713,950
ADR1_342_405,495,494
ADR1_353_416,494,465
ADR1_364_427,525,490
ADR1_375_438,998,959
ADR1_386_449,1276,1529
ADR1_397_460,1407,623
ADR1_408_471,886,792
ADR1_419_482,954,869
ADR1_430_493,580,645
ADR1_441_504,870,720
ADR1_452_515,776,823
ADR1_463_526,574,426
ADR1_474_537,187,261
ADR1_485_548,564,449
ADR1_496_559,697,654
ADR1_507_570,942,884
ADR1_518_581,729,785
ADR1_529_592,816,812
ADR1_540_603,1269,1211
ADR1_551_614,907,722
ADR1_562_625,909,872
ADR1_573_636,1076,917
ADR1_584_647,662,664
ADR1_595_658,1553,1401
ADR1_606_669,1755,1789
ADR1_617_680,1553,1634
ADR1_628_691,819,929
ADR1_639_702,710,807
ADR1_650_713,2076,2512
ADR1_661_724,1204,1099
ADR1_672_735,900,919
ADR1_683_746,682,609
ADR1_694_757,460,483
ADR1_705_768,1656,1380
ADR1_716_779,1155,1112
ADR1_727_790,769,1097
ADR1_738_801,843,836
ADR1_749_812,1754,1770
ADR1_760_823,1265,1021
ADR1_771_834,2273,2058
ADR1_782_845,1051,1020
ADR1_793_856,1817,1655
ADR1_804_867,1426,1422
ADR1_815_878,889,1053
ADR1_826_889,1451,1403
ADR1_837_900,696,745
ADR1_848_911,272,274
ADR1_859_922,512,298
ADR1_870_933,213,216
ADR1_881_944,83,158
ADR1_892_955,117,156
ADR1_903_966,167,135
ADR1_914_977,159,223
ADR1_925_988,34,31
ADR1_936_999,689,660
ADR1_947_1010,36,50
ADR1_958_1021,223,300
ADR1_969_1032,296,306
