,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Cyc8_1_64,17131,15049,14793,18011,9931,8669,21824,18351,26793,26631,11687,26012
Cyc8_6_69,5066,3834,2847,2353,3181,4791,6128,2731,4648,3862,3081,7835
Cyc8_11_74,26527,21223,28185,27142,28122,22344,37340,25723,52254,43766,23291,68391
Cyc8_16_79,12675,8727,6003,3543,7818,11334,12610,4026,12966,13482,9369,25284
Cyc8_21_84,20369,14098,13209,18078,11195,9559,25210,13700,26633,22980,11232,29009
Cyc8_26_89,29106,22892,30280,36108,37320,32966,33720,22182,56498,47673,32296,91708
Cyc8_31_94,10676,8426,7553,6231,13715,15438,12577,9941,15367,16653,12932,30240
Cyc8_36_99,6203,4580,6535,8449,9931,6737,11091,3329,14566,10697,7087,24754
Cyc8_41_104,21442,19713,17561,17927,27960,36580,35992,28779,44424,41127,38115,85417
Cyc8_46_109,11290,9397,6418,10441,12469,19889,12228,11047,14533,13122,14351,31934
Cyc8_51_114,13622,11327,8417,9564,14493,25174,16420,10603,17051,18173,16879,39741
Cyc8_56_119,10474,8918,4579,9870,10243,20228,14972,9474,11524,13618,12680,29452
Cyc8_61_124,4698,3654,2494,2258,4518,7176,5530,3998,6049,5729,5928,11267
Cyc8_66_129,12993,10556,6446,5120,11935,21463,18073,6332,17317,18053,16284,34608
Cyc8_71_134,29375,23884,15214,18867,26764,52955,40630,26750,33685,38590,38489,76626
Cyc8_76_139,11596,9843,10136,8428,15385,18660,19464,9817,24944,28051,18583,51240
Cyc8_81_144,20188,17635,12727,15503,24493,35284,31665,16974,33844,39134,34944,75842
Cyc8_86_149,22155,19352,13263,12731,25218,40010,35894,18570,34264,34243,34295,74734
Cyc8_91_154,23755,19317,13643,13831,29243,46794,34411,20784,34470,36719,41481,92442
Cyc8_96_159,13665,12453,7709,8325,12226,20742,15560,12885,16525,17768,13196,29891
Cyc8_101_164,12824,12128,7802,5059,11817,19971,15524,11881,14766,14759,12840,30178
Cyc8_106_169,12425,10743,7318,7635,10844,17245,13309,8309,12318,12201,10917,24676
Cyc8_111_174,14155,10361,6209,8005,12248,21431,15561,7694,13279,11022,10688,25844
Cyc8_116_179,16203,14762,8544,8635,12576,24441,19782,17933,18971,19484,12747,37526
Cyc8_121_184,27967,24036,15660,18663,23230,48431,43654,29455,36504,44940,37252,74667
Cyc8_126_189,18696,15640,9922,11852,17027,34018,30452,19616,25352,25494,22476,52506
Cyc8_131_194,17329,12399,8124,11167,16115,30178,24905,11227,21777,23879,25045,53678
Cyc8_136_199,9913,8568,6969,3580,9581,13122,11999,5613,13490,15437,9542,24999
Cyc8_141_204,17143,13256,7526,10409,12396,24883,24445,14308,20401,20302,19865,41389
Cyc8_146_209,11868,9924,7383,10152,12223,19099,18743,11565,18179,19179,17753,40348
Cyc8_151_214,7932,7079,5671,5653,9598,11310,11068,6999,10462,11051,10171,19903
Cyc8_156_219,9324,8506,5291,7222,9061,14189,13973,11452,12300,14355,11570,26232
Cyc8_161_224,13360,10071,8225,8976,13056,18978,14832,9487,15445,15504,12505,33109
Cyc8_166_229,8659,7137,4934,5210,9645,14707,9076,6071,10409,9840,9422,23832
Cyc8_171_234,14651,13233,9561,6557,15625,23578,19613,13009,17871,17976,16851,39022
Cyc8_176_239,11956,11336,8094,9597,11890,19410,16612,11961,16049,14808,11855,30817
Cyc8_181_244,9381,8393,5593,5478,10302,15885,12750,7340,12749,14235,13114,26683
Cyc8_186_249,12596,10778,7949,9375,17625,24055,21144,14196,24359,22142,27073,54807
Cyc8_191_254,20503,19180,11445,15260,18201,39350,30902,19339,25584,27296,24711,59522
Cyc8_196_259,12762,12848,10118,8510,14025,24097,18685,13566,18329,21034,15769,36197
Cyc8_201_264,10045,9183,7316,9183,10991,15610,14382,9690,16425,16556,12365,30089
Cyc8_206_269,9538,8828,7015,6544,9360,15214,12410,5876,13079,13281,11538,24931
Cyc8_211_274,9308,8479,7677,6584,9894,15597,11453,7869,12960,13220,11131,28686
Cyc8_216_279,6947,5744,4682,3476,7119,10075,9209,5673,9432,7808,6695,17925
Cyc8_221_284,8926,8027,6593,7406,12294,16640,10746,11064,12572,13051,11869,30139
Cyc8_226_289,7369,7598,5434,6075,8008,13447,10892,11608,8701,11742,10620,21463
Cyc8_231_294,13669,12415,14126,13711,20432,18063,19638,14193,28730,30842,26367,49529
Cyc8_236_299,17322,14509,18236,19698,22291,20466,24726,11744,37096,35938,23993,62648
Cyc8_241_304,12155,9085,6359,4935,12452,21198,15939,12692,16032,14716,14727,37512
Cyc8_246_309,8264,7081,5192,4898,8819,12498,10743,10689,11714,11925,9437,24650
Cyc8_251_314,5608,5651,4118,7460,6175,10302,8937,2988,8771,8991,8654,17754
