,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF1_1_64,444,314,116,212,269,310,234,570,190,401,435,865
ABF1_12_75,1025,638,594,546,1192,628,303,1027,643,955,712,1416
ABF1_23_86,209,594,194,451,655,482,292,389,417,567,204,213
ABF1_34_97,335,879,204,209,1321,320,426,427,436,213,365,802
ABF1_45_108,796,641,460,413,1858,735,693,1223,1112,1385,1001,1732
ABF1_56_119,1347,879,524,600,1818,533,753,1018,601,1273,929,1200
ABF1_67_130,477,652,209,161,463,103,460,679,228,440,142,398
ABF1_78_141,330,487,259,252,1099,291,380,309,349,563,436,289
ABF1_89_152,1213,1049,51,97,493,172,362,745,101,531,191,476
ABF1_100_163,329,202,41,180,10,116,264,483,123,248,113,221
ABF1_111_174,213,263,142,55,214,139,518,188,235,159,228,348
ABF1_122_185,555,586,226,365,994,509,558,667,656,680,527,524
ABF1_133_196,250,546,277,311,638,217,244,588,481,303,385,760
ABF1_144_207,390,662,64,241,273,406,260,863,436,305,586,660
ABF1_155_218,600,793,334,173,789,451,367,431,437,844,482,656
ABF1_166_229,466,649,167,417,916,262,398,449,162,552,532,521
ABF1_177_240,611,703,276,331,711,148,345,582,397,727,407,868
ABF1_188_251,523,794,120,228,1110,419,352,800,563,1168,539,756
ABF1_199_262,1263,464,282,501,537,392,1072,1124,354,1004,463,974
ABF1_210_273,838,759,276,338,934,302,357,910,490,874,385,446
ABF1_221_284,1049,647,279,490,903,240,402,547,382,407,426,740
ABF1_232_295,801,517,107,214,81,106,241,553,128,292,311,281
ABF1_243_306,638,305,391,373,880,624,253,276,346,995,537,1202
ABF1_254_317,1004,746,270,343,746,452,562,1125,750,561,519,505
ABF1_265_328,584,892,413,360,957,562,358,442,357,633,725,1116
ABF1_276_339,540,1240,70,413,795,171,605,595,425,565,166,453
ABF1_287_350,641,732,54,280,512,303,513,889,254,393,455,593
ABF1_298_361,731,625,219,561,1019,574,651,550,464,586,850,1753
ABF1_309_372,1045,1151,379,676,2554,980,828,1021,651,1112,1355,2093
ABF1_320_383,173,453,144,261,186,614,171,460,475,502,341,941
ABF1_331_394,666,530,161,276,1242,306,149,553,409,558,590,549
ABF1_342_405,341,516,84,253,217,241,448,462,61,648,362,344
ABF1_353_416,100,576,314,328,760,443,491,439,442,989,684,738
ABF1_364_427,221,227,314,233,1274,390,256,398,252,675,519,637
ABF1_375_438,440,411,142,136,281,161,98,434,255,325,137,371
ABF1_386_449,465,378,411,553,1287,526,459,656,299,649,709,770
ABF1_397_460,734,196,242,526,500,95,304,157,240,244,223,294
ABF1_408_471,122,243,125,81,52,77,73,65,30,31,78,65
ABF1_419_482,1058,803,173,185,111,108,715,404,154,378,490,287
ABF1_430_493,276,351,105,98,2,39,120,158,52,33,121,181
ABF1_441_504,1421,1140,537,399,611,343,548,783,458,901,491,350
ABF1_452_515,704,851,56,255,1004,328,431,479,605,773,211,214
ABF1_463_526,293,448,120,375,899,288,414,1399,496,751,526,1373
ABF1_474_537,262,521,332,271,815,346,437,939,484,809,418,695
ABF1_485_548,842,673,316,363,766,270,538,575,150,688,453,992
ABF1_496_559,662,473,126,332,841,294,133,315,560,661,204,647
ABF1_507_570,903,1141,188,240,318,245,552,1237,423,701,385,668
ABF1_518_581,306,595,55,125,267,142,133,711,89,175,164,397
ABF1_529_592,875,648,256,282,167,281,404,754,265,397,286,498
ABF1_540_603,1165,1077,163,196,412,291,683,511,321,604,154,96
ABF1_551_614,376,475,92,170,480,152,264,634,243,752,189,497
ABF1_562_625,808,1007,291,453,1002,581,581,1038,371,1060,443,1251
ABF1_573_636,598,666,171,456,503,309,358,418,485,603,370,342
ABF1_584_647,739,963,106,360,316,67,406,980,471,361,186,397
ABF1_595_658,328,437,227,282,385,246,306,472,296,446,223,850
ABF1_606_669,726,298,155,151,33,188,240,445,48,358,317,339
ABF1_617_680,584,588,252,489,400,314,166,369,255,481,445,850
ABF1_628_691,1268,533,275,271,520,128,308,529,307,429,224,651
ABF1_639_702,637,778,239,507,1043,529,523,576,591,505,726,710
ABF1_650_713,241,644,86,425,1102,195,329,712,330,497,338,783
ABF1_661_724,574,271,178,298,896,213,405,397,312,198,343,699
ABF1_668_731,447,412,99,299,857,240,147,135,231,229,167,565
ABF2_1_64,189,535,343,375,1842,470,505,654,465,639,543,896
ABF2_12_75,139,439,106,349,742,433,341,646,392,670,591,580
