,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF2_46_109,2700,3871,2926,3737,2739,2836,4102,3774,1950,2322,3094,2702
ABF2_118_181,3239,4896,3003,3212,4458,4771,5697,4159,3279,4242,4929,5008
ABF2_48_111,3094,3794,2268,1642,1694,2058,3871,2893,2117,2031,1876,1836
ABF2_117_180,2575,3266,2141,2332,2492,2412,3694,3333,2759,3809,4339,3228
ACA1_381_444,319,724,473,666,417,223,430,344,977,603,297,431
ACA1_383_446,880,367,920,683,537,727,437,974,1374,859,299,1159
ACA1_382_445,162,364,114,96,517,504,448,466,620,449,750,619
ACE2_601_664,7212,8437,6231,11237,9971,8778,7091,8128,7909,7396,8662,7765
ADR1_100_163,3031,4723,3593,3756,2910,2916,4895,4936,3676,3046,5159,1571
AFT2_42_105,8467,9003,7559,7527,11778,14354,10810,7939,7185,8223,12413,8413
AFT2_85_148,8151,9908,8463,10550,12956,12022,8975,6222,8918,8174,12593,11114
ARG80_79_142,4590,6165,4739,4417,4335,6187,3236,5053,4444,4843,5473,6820
ARG80_76_139,6622,8323,5816,8676,6384,10182,9547,7331,6172,5709,8692,9390
ARG80_88_151,4734,6257,3707,4420,4958,5490,4926,4406,3460,4139,5221,5610
ARR1_223_286,4948,5694,4056,3555,5172,7328,6133,3702,4917,3413,5838,6289
ARR1_15_78,2041,3419,3167,3603,4096,4618,3646,4250,2196,3673,3924,2392
ASG1_7_70,4178,3913,1121,2226,1969,1617,5326,4959,1938,1267,1173,2234
ASH1_488_551,4535,5063,3623,5060,5263,6354,4844,4694,4142,4808,6666,3632
AZF1_572_635,7560,9133,4612,6787,3552,5238,8451,8078,6958,5494,5801,4134
AZF1_600_663,4004,3714,2784,5142,3797,5831,4665,4098,3420,4720,7015,4160
AZF1_628_691,3989,5734,3701,4082,3541,3105,7207,5397,3737,4511,3737,3560
AZF1_658_721,2107,2270,2305,2054,1270,1419,3271,2924,2282,1514,1827,2235
AZF1_598_661,2460,2707,3552,2622,4828,3744,3658,3625,2899,2799,5036,3543
AZF1_638_701,1613,2035,1767,788,1381,1614,2684,1658,2171,2631,2421,2068
BAS1_160_223,1713,1581,2344,2035,1031,2684,1991,1707,1796,1937,2194,3504
BAS1_106_169,3947,3529,2721,3354,3685,4254,3691,2534,3315,3580,3588,4404
BAS1_44_107,5924,7610,6564,7309,7258,7200,5984,7822,5919,5602,7177,6358
BAS1_107_170,3064,3968,2632,2910,2573,3746,4838,4080,4092,4130,5605,4697
BAS1_131_194,4406,5631,4758,4015,5762,6435,3329,5489,4650,3543,8665,7370
CAD1_36_99,1676,919,983,910,400,1075,1899,1914,1021,1025,880,909
CAD1_346_409,3366,4856,2646,4171,5465,5739,5437,4939,4739,4131,6591,6027
CAD1_42_105,1269,1226,1305,2359,1436,1473,1706,1612,1292,1172,1274,1461
CAD1_40_103,675,881,820,978,736,894,1802,932,1003,1191,1308,1172
CBF1_215_278,6625,6136,4123,6132,3629,3497,3274,4576,2793,3711,4780,1979
CBF1_220_283,2568,3004,2552,3322,2300,3287,1786,2835,3508,2550,2338,3078
CBF1_216_279,5484,6020,3474,4934,2853,4204,4486,4493,4218,4322,4071,3275
CIN5_232_295,2819,4711,2993,3848,1941,1634,5088,3888,3081,3224,3025,2566
CMR3_251_314,3757,3990,2992,3978,4483,4387,3104,3031,3792,3893,3426,3967
COM2_380_443,4380,4899,2075,1841,1117,1636,5074,4714,1696,2047,1986,1959
CRZ1_548_611,1729,1931,2377,2514,3365,2730,3151,2359,2855,2830,4021,2858
CRZ1_576_639,5976,6176,5373,5270,3708,3555,6519,5219,4403,4985,4015,2322
CRZ1_562_625,2696,3471,2740,3016,3196,2661,3548,3399,2924,2844,3496,1998
CST6_422_485,1184,1104,913,643,869,2114,1019,1456,1199,1509,904,1438
CST6_424_487,1326,1272,780,1452,928,1927,1367,1232,814,896,2355,2456
CST6_423_486,981,672,476,400,1148,1251,725,926,780,893,1714,977
CTH1_186_249,1618,1831,1185,2087,1147,1370,1194,1102,855,1607,2300,1443
CTH1_224_287,2316,2634,1679,1245,2541,2621,2525,2882,2444,2177,3137,3132
CTH1_187_250,827,1276,745,1294,1277,1360,1354,1295,1163,1412,1475,1882
CUP2_1_64,10692,13588,6222,8748,3850,3739,11666,13525,7887,6841,5633,4583
CUP9_168_231,1826,2150,1581,1660,1516,2765,1644,1822,1822,2952,2235,2543
CUP9_164_227,2017,2505,2373,2062,2686,3465,3577,2701,3101,1721,4741,2681
CUP9_160_223,3957,5544,2602,2696,2926,3552,3910,4336,3035,2372,2852,2208
DAL80_16_79,2628,4692,3086,3338,3328,4414,3151,4248,2692,3071,4285,5074
DAL80_18_81,3237,3565,3534,4826,2941,3849,4109,3696,2070,3864,4377,3090
DAL80_25_88,2562,3083,2921,3044,3725,3711,2500,4173,2307,3171,3670,3627
