,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,14770,12623,22350,24651,15228,21459,17004,17537,19202,18700,18517,16586
Msn2_6_69,4455,4746,4306,5088,4931,3970,7388,6515,3960,4791,6275,5595
Msn2_11_74,7532,5827,8274,8769,6834,7839,6670,8343,6097,6398,7636,8451
Msn2_16_79,8937,7806,10053,11967,8086,10945,10479,12043,8841,9944,11710,10335
Msn2_21_84,11548,12222,18526,22195,23643,28821,12284,14810,15230,18029,26277,25340
Msn2_26_89,11705,10043,21175,25150,18858,27337,19612,18922,19819,21311,26896,23054
Msn2_31_94,7609,5874,7573,9839,10606,14463,7507,8846,7830,8441,10873,13986
Msn2_36_99,7591,8135,10096,12492,13968,17215,9571,12088,10769,12393,18712,17599
Msn2_41_104,18539,17464,24973,28015,16899,24495,21652,21675,20265,22925,22152,20816
Msn2_46_109,8877,8321,12138,13809,14411,19250,13232,13710,13020,14248,21011,20239
Msn2_51_114,8352,7474,12729,15249,13749,19392,9746,13498,13616,14485,19890,16228
Msn2_56_119,14719,14465,23118,25777,15974,21531,19727,20061,19710,22564,22025,17714
Msn2_61_124,13763,11661,21906,25051,18960,28274,14601,19647,19304,20043,22958,20184
Msn2_66_129,7857,5558,11975,15793,16282,20647,12104,12918,12861,15060,21957,19247
Msn2_71_134,18713,17191,26709,28056,16920,24401,22142,24678,22807,26114,25621,21428
Msn2_76_139,11792,9453,18503,23198,16187,24722,17732,21095,22792,26783,25856,21610
Msn2_81_144,12524,9600,18863,21816,15832,23571,15608,17467,20256,20496,20789,17249
Msn2_86_149,13667,10926,19612,23366,11949,20583,15595,20861,19581,20438,20647,15745
Msn2_91_154,8237,7266,13285,15932,17270,19786,11782,14065,13929,15473,19561,15856
Msn2_96_159,6929,6371,11559,14000,11042,14594,12188,11183,11836,13421,15217,12598
Msn2_101_164,8457,7009,11813,15137,14443,20392,8676,13384,13395,14131,20774,18348
Msn2_106_169,8964,5974,12274,14015,10735,15342,9629,11513,11212,12457,13839,12795
Msn2_111_174,13847,12426,20286,21781,13715,22967,13641,18246,16897,17882,20168,19216
Msn2_116_179,15171,15497,24291,26804,22835,30258,17781,21961,19315,23038,27386,26364
Msn2_121_184,13888,12823,18438,20793,13292,16924,17888,20356,16193,19325,16978,14754
Msn2_126_189,4072,3342,3577,4325,2139,3437,4288,4880,3966,4080,4321,3469
Msn2_131_194,8132,7136,7261,8924,5994,7862,11505,11435,7913,8942,9226,7671
Msn2_136_199,9941,10576,9327,10437,6767,8526,14324,13547,9071,9898,10964,9202
Msn2_141_204,8033,10315,6646,7965,6144,7291,8971,11955,7648,8539,9599,8972
Msn2_146_209,20324,20803,22162,24170,12388,16378,25112,25830,19589,20932,18623,17107
Msn2_151_214,10883,11607,16481,19414,21785,25926,15231,17084,17770,19242,26991,22163
Msn2_156_219,11296,13016,16303,20809,19418,26018,13256,19290,17457,22136,28578,25347
Msn2_161_224,15417,12921,20560,22743,12415,17606,17732,19855,17329,19597,17433,16506
Msn2_166_229,14420,12800,19449,23562,14326,19505,23166,20810,19441,22636,19755,16634
Msn2_171_234,10537,11840,16004,18955,18633,23300,13440,15754,14224,16507,20590,18694
Msn2_176_239,11652,10463,18173,21556,18196,25563,13140,17125,19372,21787,26253,22708
Msn2_181_244,10746,10613,16328,19070,21523,27039,14445,16550,13890,16113,23430,21786
Msn2_186_249,11926,11442,18423,22396,17541,21491,15284,19471,17818,21666,22550,19355
Msn2_191_254,14871,11260,22219,24770,20829,30782,17353,19374,21945,24248,31872,25524
Msn2_196_259,11183,8557,15552,16883,13673,19632,11577,15056,13680,15893,17825,18035
Msn2_201_264,16543,15781,25906,29147,19979,27933,17610,23081,22481,24949,27536,22427
Msn2_206_269,13177,14070,12394,14659,6326,8268,14419,16138,11016,11300,9172,8182
Msn2_211_274,10732,10534,10362,11483,4710,7280,9524,12258,8965,8829,8386,7006
Msn2_216_279,12337,10957,13673,15478,5867,11004,14594,17274,12085,13739,10900,8649
Msn2_221_284,9021,10476,9116,9847,5144,6552,10250,12093,7516,7815,7418,7080
Msn2_226_289,9103,8374,8800,10532,4414,6786,11307,12165,7869,9036,8566,7478
Msn2_231_294,10008,11317,11633,12620,7633,10546,11650,13449,10008,11261,10712,9475
Msn2_236_299,10758,9118,12654,14279,9549,12377,11066,13149,11162,11346,11434,10685
Msn2_241_304,12560,11374,14727,16276,10092,12995,15694,16451,12869,14715,13759,12066
Msn2_246_309,21529,18431,29287,34972,21923,32911,22510,26186,23644,28401,29947,27711
Msn2_251_314,21529,22108,31258,36237,21045,32176,26776,29857,25474,29767,31579,29763
Msn2_256_319,18198,15414,24764,28243,21209,26086,21019,23728,21399,24182,26707,22370
Msn2_261_324,10997,10151,15885,19622,21662,28155,14776,16112,17156,19652,28292,25102
Msn2_266_329,9825,12200,15718,18451,17584,22510,11831,14657,14871,14719,22074,20679
Msn2_271_334,9260,7493,13040,14832,14711,19548,13045,12948,13088,14026,19484,18394
Msn2_276_339,7021,5601,10168,12512,12546,17182,12920,11695,10836,12094,18341,17464
Msn2_281_344,10147,9395,10482,10515,7329,10318,11294,12797,8521,7828,8878,8973
Msn2_286_349,6452,5169,6444,6867,5153,6722,7861,8129,5716,6354,6742,6655
Msn2_291_354,4740,4579,4362,4973,3737,4942,5793,7738,4527,5423,6374,7074
Msn2_296_359,11569,10770,13413,15831,9295,12125,14207,15636,13747,14474,13933,12699
Msn2_301_364,6097,5599,8088,11398,8977,11865,9088,10650,9201,11217,13045,12280
Msn2_306_369,7979,8407,11248,13136,6609,10146,8843,12631,10155,10117,10601,9620
Msn2_311_374,6984,7098,11133,12670,11030,13324,9987,10807,11073,12239,13098,10440
Msn2_316_379,3131,3031,3834,4418,3189,3537,5300,5296,3357,3198,3649,3980
Msn2_321_384,2763,2191,3108,3010,1603,2989,4548,4363,2656,3297,2993,3515
Msn2_326_389,6474,6569,11037,11962,8047,11083,9861,10658,11670,12368,12923,11925
Msn2_331_394,3944,2623,6013,6184,4720,7670,5584,6476,6149,5971,7496,6984
Msn2_336_399,8196,5870,12415,14431,9382,15259,10225,14666,13624,15079,16139,13150
Msn2_341_404,3663,3226,3892,4625,3666,5025,5763,5989,4032,5656,6690,5661
Msn2_346_409,3918,3269,6190,7578,6587,8651,6613,6836,7616,8268,10366,8899
Msn2_351_414,4024,2692,5144,6744,5390,8504,5449,5709,5672,6314,8301,6989
Msn2_356_419,3056,2684,4022,5092,5835,6863,4332,5068,5234,5427,7041,6846
Msn2_361_424,2805,2525,4804,6662,4801,7658,5352,5604,6054,6061,9310,6943
Msn2_366_429,10380,9697,11358,12592,7244,10817,13162,12946,9325,10303,8669,7672
Msn2_371_434,3338,3373,2788,3707,2973,4300,3607,4718,3117,3218,4223,4144
Msn2_376_439,3530,4242,3592,4171,3934,5171,4582,6189,3893,4834,5360,5658
Msn2_381_444,13512,11712,18714,20627,13337,18478,17049,19103,16297,17159,16833,16302
Msn2_386_449,9337,9766,13353,16606,9770,16431,10645,14346,13746,13314,15059,11826
Msn2_391_454,11381,10331,12805,13778,8808,11994,14716,15570,11865,13841,12656,10676
Msn2_396_459,14316,14284,17511,21031,15146,16058,19395,19258,16241,17716,15191,13458
Msn2_401_464,13693,12097,21013,26990,20072,29018,18527,20379,22990,23833,28794,24479
Msn2_406_469,4615,3557,4153,4916,3167,4663,7045,7213,4620,4348,6124,5560
Msn2_411_474,6301,6740,5950,7535,5217,7121,8697,10963,7503,9028,8299,7097
Msn2_416_479,10158,10460,9032,11013,5328,10329,14662,16260,10944,12898,12424,9487
Msn2_421_484,9168,8406,7764,8798,4746,8367,12059,12621,8822,11057,10286,7938
Msn2_426_489,11082,10338,14633,17671,9049,12800,15097,18739,15460,18039,15089,13845
Msn2_431_494,6730,5435,6718,8034,5655,8564,9736,11023,7199,8949,10437,9094
Msn2_436_499,4924,3932,4117,4876,5182,5408,5689,5860,4205,5397,6243,5931
Msn2_441_504,16449,12849,26728,31422,24790,31361,19999,21207,23251,28051,30078,26336
Msn2_446_509,8468,8384,12181,15279,15200,21631,11507,13504,13244,15812,20911,17544
Msn2_451_514,13758,12236,21546,25758,21698,29207,16530,17178,19551,21102,27369,24476
Msn2_456_519,8172,7783,11204,14976,15328,19573,11337,13019,12497,14664,20233,18188
Msn2_461_524,8352,8094,11420,14107,13293,18932,8284,11582,11584,13639,18148,15247
Msn2_466_529,9153,10062,13691,16640,14591,24137,12325,14040,15317,17797,22520,20429
Msn2_471_534,8160,7172,8154,9005,6357,9385,12395,13534,10017,11532,13506,10707
Msn2_476_539,18724,16454,27678,34219,23825,35689,21602,27475,29232,31803,35655,31008
Msn2_481_544,10670,12494,16381,19361,20282,30809,13694,15755,14739,16066,26707,25265
Msn2_486_549,17531,15550,21697,23918,13211,19617,17556,21736,18044,21631,24087,22544
Msn2_491_554,19667,17848,34088,38378,42145,57971,28337,27400,26398,31558,47075,45188
Msn2_496_559,7730,6033,9806,12894,14788,18405,10534,12285,11139,14006,18229,16335
Msn2_501_564,20172,18168,34285,40010,45055,59903,19893,25095,30865,33354,51415,44483
Msn2_506_569,12386,9736,17500,22788,25940,33324,16963,18050,17618,21510,31929,28185
Msn2_511_574,15121,12022,23678,25591,22606,28921,15955,19826,17164,19024,22687,21750
