,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Ste12_1_64,8297,10429,10646,10496,11131,9926,3797,5295,6093,6659,1421,6833
Ste12_6_69,3340,3536,3818,3676,3193,3169,1868,2634,2786,2922,1,3109
Ste12_11_74,8548,8538,9651,10686,11946,9217,3243,5717,5885,7111,3375,7423
Ste12_16_79,5878,6771,7097,6240,8237,6908,2833,4088,4529,4449,1886,5354
Ste12_21_84,5157,5073,4896,4578,4694,4532,1862,3069,2749,3580,1715,3365
Ste12_26_89,13092,14823,14914,14208,17301,15652,5551,8531,9561,9810,3679,11857
Ste12_31_94,6806,7031,6254,5565,8950,6144,2985,4681,3801,4734,1288,5222
Ste12_36_99,4351,5473,4983,4160,6021,4936,2147,3651,4109,3143,1632,3819
Ste12_41_104,10004,10949,10805,10351,14815,12116,4403,6664,6419,7186,4736,9177
Ste12_46_109,5922,7145,7178,6867,5536,6009,3190,4823,4379,5531,786,4842
Ste12_51_114,3233,3610,4272,3861,4836,3942,1513,2740,3126,3445,3625,3197
Ste12_56_119,5158,5876,6896,6358,5445,4762,2612,3733,4260,5054,0,3995
Ste12_61_124,9376,10758,12268,10838,13938,10825,4183,6692,6556,7899,1455,9171
Ste12_66_129,5606,6990,8099,7288,6001,5956,2827,4351,4584,5458,1356,5108
Ste12_71_134,5870,6706,8972,8105,7220,6264,3106,4516,4907,5464,1810,5245
Ste12_76_139,9581,11581,13183,12282,16372,11765,4814,7278,8254,8541,4201,9313
Ste12_81_144,10252,11973,11169,10761,14546,12656,5065,7375,7389,8644,2151,9757
Ste12_86_149,6105,6987,6623,6682,8476,6860,2772,4647,4716,5087,3871,5731
Ste12_91_154,6371,7877,7338,6014,6278,6266,3426,4706,4556,4479,807,4277
Ste12_96_159,12609,15118,15501,14033,16150,15866,5385,8650,9926,10682,6514,10903
Ste12_101_164,13153,15769,13271,13382,20963,15523,6095,8813,8640,10004,4371,11502
Ste12_106_169,11848,13264,10232,10987,18141,14023,5452,7400,7520,8590,6351,10360
Ste12_111_174,8884,10691,8655,8452,11912,9206,3835,5685,6103,6610,2425,7449
Ste12_116_179,9500,11356,9327,9145,13053,12356,4364,6285,6379,8132,2124,8378
Ste12_121_184,7942,8952,8610,8645,9362,9118,3883,5177,5257,6726,3061,7284
Ste12_126_189,10465,11354,13824,11892,10808,10400,4364,7853,8334,8918,926,7452
Ste12_131_194,11946,11851,14371,14010,14646,11741,4908,7866,9100,9510,3284,9084
Ste12_136_199,14488,17464,18335,15640,20712,17015,6364,9297,10485,10740,4246,11293
Ste12_141_204,13571,14775,17078,15792,14683,15144,6141,9060,10409,12022,1469,10120
Ste12_146_209,6802,7082,7371,7379,10919,7689,2911,4768,5520,5355,576,5736
Ste12_151_214,18379,19351,16758,18217,25011,20819,7274,11530,10306,12772,5605,15304
Ste12_156_219,8932,10157,9753,8884,12828,10185,3674,5619,6173,6023,1932,7130
Ste12_161_224,4251,4433,4868,4220,5706,4510,1551,2459,2738,2787,1342,2965
Ste12_166_229,5804,5884,7155,6970,7444,5166,2001,3564,4033,3680,1758,4171
Ste12_171_234,8959,9928,9328,7804,3354,3854,4571,6488,4846,5064,5,2636
Ste12_176_239,8558,8889,10261,10742,10065,8273,3439,5477,6240,7627,3825,6027
Ste12_181_244,8163,9119,10681,10743,7844,7957,3487,5911,6112,7426,1763,6402
Ste12_186_249,7385,6857,8613,8147,9166,7751,3404,5394,6441,6901,852,6453
Ste12_191_254,7111,7922,7557,8440,7830,7806,3091,5285,6003,5451,2231,6819
Ste12_196_259,2363,2645,3098,2994,2455,2471,1113,1946,2678,2409,2137,2147
Ste12_201_264,6609,6842,7343,7374,7348,6110,3182,4888,5959,6145,4521,5219
Ste12_206_269,11042,12107,14679,13923,10224,9780,4887,7190,7827,8981,1303,6813
Ste12_211_274,7727,8485,10029,9081,7348,7174,3488,5638,6211,6597,2425,5404
Ste12_216_279,9835,10741,12311,10869,8630,8652,4939,7049,8200,8113,1968,7419
Ste12_221_284,12889,13923,16462,15216,11733,10382,5557,8166,10002,10935,1567,8115
Ste12_226_289,8929,9959,13150,11858,9976,8029,3592,6178,7392,7655,797,6337
Ste12_231_294,5711,5436,5687,6338,7120,5937,2278,3826,3884,4772,3443,4432
Ste12_236_299,8436,9438,11104,9489,11403,8887,3303,5132,5927,6877,781,6488
Ste12_241_304,8803,9539,8998,8073,4077,3785,4089,6557,4674,5473,689,2928
Ste12_246_309,6210,6251,7846,7249,7263,6911,1907,4312,5945,5302,1318,5074
Ste12_251_314,9074,10268,12686,12431,12393,10356,3711,5816,7190,7413,1294,7615
Ste12_256_319,7651,7930,7889,7470,9740,6881,2803,4374,4439,5526,1578,5405
Ste12_261_324,11452,13191,15027,13457,11902,11282,4890,7840,9410,9937,1785,9076
Ste12_266_329,7518,8467,9510,10054,10640,9558,3804,5351,6219,6582,1817,6204
Ste12_271_334,14210,14258,17883,17170,9582,9307,5322,8987,10194,10741,1135,7098
Ste12_276_339,30877,31357,39204,35609,21406,20598,11631,18881,21270,21444,3932,14882
Ste12_281_344,13905,14638,15774,15096,16557,14022,6106,8234,9175,10333,1402,10295
Ste12_286_349,24883,26253,32533,29461,15061,16202,9399,14396,16577,19445,2519,11906
Ste12_291_354,10920,11563,13609,13147,14052,10842,4041,6179,7776,7568,818,7607
Ste12_296_359,24415,24400,33362,28788,22995,23450,9544,14662,17182,18354,3368,14601
Ste12_301_364,25622,25193,32722,30779,26597,25341,10309,15659,18610,19684,9026,17651
Ste12_306_369,21203,24050,24900,24486,25008,24486,9616,13997,13885,15512,4033,13498
Ste12_311_374,22448,23252,24057,25221,28922,27174,8808,12313,14277,15612,4629,17176
Ste12_316_379,13062,12702,12373,11872,14062,12156,4599,7702,7636,8596,3554,9277
