,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Gln3_1_64,18220,13328,14727,14211,9020,7100,17068,29565,7476,19690,2085,4343
Gln3_6_69,881,691,244,535,1062,455,630,773,631,1568,191,668
Gln3_11_74,1476,92,1404,1755,1923,1063,974,2178,821,1734,448,1101
Gln3_16_79,7677,7673,9446,10826,9493,7198,7487,14616,5182,13575,2777,7081
Gln3_21_84,10418,9451,9603,11773,10250,9163,9825,16316,6704,19625,3545,7465
Gln3_26_89,14603,8485,14202,13028,8920,8913,12773,23771,8322,19333,2880,6047
Gln3_31_94,9373,6570,10499,11023,9303,7251,9955,14261,7417,18797,3860,7121
Gln3_36_99,21111,13109,20492,21400,15422,14581,17997,28485,11867,33693,5128,10118
Gln3_41_104,24548,12523,17322,20150,8724,9142,19143,31522,10768,23615,3169,5536
Gln3_46_109,24011,19928,22355,21006,12862,12157,21917,38169,13612,29451,4630,9276
Gln3_51_114,19178,12685,21344,22393,21494,19223,13781,25925,11901,32266,7391,15532
Gln3_56_119,9380,7473,13933,13970,9276,14180,9438,15730,7814,15796,4306,8276
Gln3_61_124,11630,11649,13441,14281,11662,14471,8395,17164,8738,22336,5480,10359
Gln3_66_129,13403,9687,14753,16979,14464,16248,10689,21511,9425,19829,5193,11250
Gln3_71_134,11015,11914,9409,9600,6974,5934,9417,19086,5608,13423,2005,5103
Gln3_76_139,17717,12920,18668,20100,14666,10221,13246,25495,9492,26478,4327,10167
Gln3_81_144,11233,12580,13208,16086,15933,11869,11301,21461,9180,20454,5012,10518
Gln3_86_149,12631,10634,15040,15716,16869,15640,10404,21019,9349,24342,4974,12698
Gln3_91_154,16663,13245,17113,18243,10733,9972,16577,27933,11108,28497,4766,8100
Gln3_96_159,12582,10143,14672,15897,15964,14584,13777,19623,9060,22147,4938,9653
Gln3_101_164,15281,12010,18589,19343,18562,14873,13405,24143,9972,25475,4592,10396
Gln3_106_169,13903,11017,12103,14617,9930,7690,11305,20175,8100,17637,3514,8068
Gln3_111_174,14699,11277,18483,19922,20250,22525,14763,23749,9787,22742,6524,17294
Gln3_116_179,18816,12520,18613,19411,17920,13709,16449,25523,11733,26622,6156,10610
Gln3_121_184,14954,13691,21739,22449,18731,22085,16188,27859,13028,29839,7712,15641
Gln3_126_189,22640,11604,26785,27684,22990,23673,17046,31928,14973,33631,8963,17550
Gln3_131_194,17294,12960,18082,21220,17831,14909,13946,23564,10624,24823,4482,9913
Gln3_136_199,19920,13538,17532,19029,12590,8150,18017,31838,9484,27084,3305,7857
Gln3_141_204,10072,9066,6524,6746,5446,4686,10512,15321,4732,11107,1665,3363
Gln3_146_209,17650,13939,22144,21124,18735,16169,14654,27084,11606,30695,6386,12564
Gln3_151_214,25510,24395,32108,32446,32339,33385,21885,37675,17474,45869,10806,23543
Gln3_156_219,19306,12294,19183,21519,16264,13965,16470,24662,10976,24608,4182,9113
