,1_0_1,1_0_2
Msn2_1_64,14988,13202
Msn2_6_69,13378,11756
Msn2_11_74,13789,11841
Msn2_16_79,15692,15033
Msn2_21_84,18106,16378
Msn2_26_89,19295,16864
Msn2_31_94,14335,14020
Msn2_36_99,15187,16187
Msn2_41_104,14041,15201
Msn2_46_109,16333,19086
Msn2_51_114,16181,17700
Msn2_56_119,16139,18482
Msn2_61_124,11767,15555
Msn2_66_129,14678,19299
Msn2_71_134,16890,22392
Msn2_76_139,19265,24454
Msn2_81_144,17151,21060
Msn2_86_149,18075,21584
Msn2_91_154,16640,19567
Msn2_96_159,12488,13749
Msn2_101_164,17065,17761
Msn2_106_169,12500,12397
Msn2_111_174,17240,18723
Msn2_116_179,19200,24420
Msn2_121_184,19677,23736
Msn2_126_189,7756,9334
Msn2_131_194,15239,18603
Msn2_136_199,18039,21964
Msn2_141_204,21721,26510
Msn2_146_209,25176,30591
Msn2_151_214,25598,31208
Msn2_156_219,20094,21736
Msn2_161_224,13504,12874
Msn2_166_229,14682,15586
Msn2_171_234,14222,15496
Msn2_176_239,17085,18313
Msn2_181_244,15194,15892
Msn2_186_249,14522,16542
Msn2_191_254,17968,19775
Msn2_196_259,11797,12660
Msn2_201_264,12578,13279
Msn2_206_269,17750,18176
Msn2_211_274,14943,15583
Msn2_216_279,12979,12636
Msn2_221_284,13587,13657
Msn2_226_289,11460,11510
Msn2_231_294,15996,15704
Msn2_236_299,18770,20253
Msn2_241_304,17626,18045
Msn2_246_309,21218,21191
Msn2_251_314,23377,25848
Msn2_256_319,18776,21776
Msn2_261_324,13693,14847
Msn2_266_329,13209,14278
Msn2_271_334,15074,16743
Msn2_276_339,17044,19027
Msn2_281_344,19850,23916
Msn2_286_349,14554,16976
Msn2_291_354,9623,11426
Msn2_296_359,11806,12143
Msn2_301_364,8921,9464
Msn2_306_369,8103,8788
Msn2_311_374,9560,9216
Msn2_316_379,6381,6057
Msn2_321_384,7252,6650
Msn2_326_389,11234,12766
Msn2_331_394,5568,6700
Msn2_336_399,15312,18390
Msn2_341_404,11580,13932
Msn2_346_409,13914,15661
Msn2_351_414,10193,11524
Msn2_356_419,8776,9752
Msn2_361_424,8792,9798
Msn2_366_429,16610,18015
Msn2_371_434,12959,13991
Msn2_376_439,18206,23751
Msn2_381_444,17105,23482
Msn2_386_449,13343,16931
Msn2_391_454,13658,17390
Msn2_396_459,17079,21814
Msn2_401_464,20717,26957
Msn2_406_469,13206,17048
Msn2_411_474,13624,18533
Msn2_416_479,16303,22299
Msn2_421_484,18687,23929
Msn2_426_489,13490,15302
Msn2_431_494,23782,29330
Msn2_436_499,12198,15270
Msn2_441_504,20979,25237
Msn2_446_509,18160,23035
Msn2_451_514,20926,26959
Msn2_456_519,19888,24520
Msn2_461_524,12859,16682
Msn2_466_529,18529,23807
Msn2_471_534,18241,24238
Msn2_476_539,19812,24690
Msn2_481_544,21435,27190
Msn2_486_549,24757,33488
Msn2_491_554,25373,34243
Msn2_496_559,19468,27410
Msn2_501_564,30161,40594
Msn2_506_569,26658,36969
Msn2_511_574,20185,27441
Msn2_516_579,32876,43836
Msn2_521_584,30610,39616
Msn2_526_589,33928,46681
Msn2_531_594,38983,55303
Msn2_536_599,24424,32750
Msn2_541_604,18554,26413
Msn2_546_609,25002,34313
Msn2_551_614,23277,30656
Msn2_556_619,15763,20645
Msn2_561_624,14023,17913
Msn2_566_629,11621,14888
Msn2_571_634,11490,14097
Msn2_576_639,11949,13913
Msn2_581_644,11972,12621
Msn2_586_649,14118,14427
Msn2_591_654,15005,14296
Msn2_596_659,10308,10778
Msn2_601_664,11905,14354
Msn2_606_669,13338,17215
Msn2_611_674,11424,14110
Msn2_616_679,9973,12431
Msn2_621_684,12961,15132
Msn2_626_689,15704,19258
Msn2_631_694,18757,23719
Msn2_636_699,10237,11634
Msn2_641_704,13917,17369
GSY1_1_64,13829,15325
GSY1_91_154,24643,30534
GSY1_181_244,22439,24941
GSY1_271_334,15981,16637
GSY1_361_424,16039,17678
GSY1_451_514,26415,28041
GSY1_541_604,9412,8804
HXK1_1_64,13842,16064
HXK1_91_154,14166,17368
HXK1_181_244,24162,30024
HXK1_271_334,16657,18319
HXK1_361_424,12696,15409
TDH3_1_64,26413,34081
TDH3_91_154,27829,35836
TDH3_181_244,42047,64348
