,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF2_46_109,3901,3472,3228,3747,1262,1265,3461,3554,2525,3115,1106,1447
ABF2_118_181,3664,3775,5292,5306,3961,4739,5058,4388,5496,6094,5251,6181
ABF2_48_111,3098,3458,3161,2569,1833,1880,2520,2478,1736,2625,2034,1986
ABF2_117_180,4107,3665,4551,4447,2371,2912,3378,3672,2947,3031,2659,3662
ACA1_381_444,770,1161,602,706,1125,578,921,774,566,1042,521,1598
ACA1_383_446,595,731,354,1454,458,863,749,939,1065,1059,833,638
ACA1_382_445,260,225,623,785,660,615,612,379,673,697,711,817
ACE2_601_664,7983,7876,11234,11454,8497,7852,7787,7382,7829,8441,6883,8083
ADR1_100_163,5245,5675,4854,5809,2371,2686,5163,4747,3348,4761,2522,3961
AFT2_42_105,7328,7248,8900,10139,8379,10475,8685,6873,7880,9951,11767,13126
AFT2_85_148,12048,10764,13249,15322,14415,14064,11188,10681,11444,12744,17120,18288
ARG80_79_142,4524,5614,3751,6448,4613,5855,6026,5642,4561,5136,6551,7935
ARG80_76_139,8198,8092,8100,9027,7288,9295,10423,9198,7880,9362,10494,12601
ARG80_88_151,4758,6586,2767,5978,5605,6164,5453,5438,3710,5727,7499,8041
ARR1_223_286,8400,7349,8742,9800,10161,10814,8558,7451,8243,7531,10682,12595
ARR1_15_78,2059,2059,2022,2938,2990,2937,2509,2751,2753,3169,3637,2872
ASG1_7_70,3906,4609,1821,2796,1522,1500,4460,4595,1514,2079,1136,2003
ASH1_488_551,4393,3851,6815,6672,5598,5909,4429,5094,4724,5088,5786,7624
AZF1_572_635,8732,7229,3994,7135,2570,3079,9055,7552,5621,7065,4478,5215
AZF1_600_663,4155,4206,3959,5613,4484,4778,3702,4161,2916,5507,4838,5729
AZF1_628_691,5131,5318,3938,5004,963,3762,5024,4737,3717,4838,3129,3863
AZF1_658_721,2258,2219,1942,1890,1603,1421,2757,1868,1169,2053,1789,1823
AZF1_598_661,4384,3644,6054,5511,5689,5753,4896,4010,5470,5434,5289,6013
AZF1_638_701,2285,3065,2888,3231,1383,2419,3253,2252,2823,3102,1754,2893
BAS1_160_223,2721,2461,2397,5181,2384,2807,3140,2444,2826,3545,3640,2899
BAS1_106_169,3708,4038,3580,5648,4377,2892,4378,3918,4739,4909,4714,5455
BAS1_44_107,10956,9398,11098,13614,7203,7486,9516,9443,9687,12122,8471,9859
BAS1_107_170,6020,4797,5770,7193,4101,4951,5129,4245,5198,6593,5566,5453
BAS1_131_194,4211,4352,3169,4637,5570,6843,5987,4980,4968,6969,9264,8809
CAD1_36_99,2769,2156,2043,1407,660,1206,1747,2732,1217,1622,1309,1918
CAD1_346_409,5246,3994,5003,5540,4972,6362,5869,5905,4829,5895,6969,8217
CAD1_42_105,2026,2282,3499,2730,3116,2898,3030,2449,2299,2806,2232,3106
CAD1_40_103,2011,1410,1605,2484,639,1303,1743,1215,1246,1326,1408,1065
CBF1_215_278,7870,7202,7535,9741,3454,3600,7620,7093,5396,6296,4345,4572
CBF1_220_283,4818,4359,4520,5688,3222,2829,4516,3587,3322,3466,3250,3135
CBF1_216_279,5513,5408,6729,7552,3428,3565,5937,4790,4424,6219,2870,3572
CIN5_232_295,4335,3822,2127,3895,1393,1875,2891,3023,2174,2711,1052,2584
CMR3_251_314,5486,3786,4100,5934,2858,3242,3396,4030,4198,5328,3323,3660
COM2_380_443,3641,3353,1810,3052,1106,2437,4341,4145,1697,2713,2078,2430
CRZ1_548_611,3679,2886,3360,4206,2705,2664,3147,2903,2405,3955,2996,3174
CRZ1_576_639,5058,5764,3850,3838,1428,2586,5263,4617,3229,3703,2250,3135
CRZ1_562_625,3368,4031,3210,4741,2410,2853,4246,3572,3684,3455,3806,4724
CST6_422_485,1993,1991,1055,1140,789,1642,1517,1020,1358,1716,1240,2257
CST6_424_487,1442,1343,1107,1833,1318,1356,1450,1147,1271,2053,1434,1692
CST6_423_486,2004,1677,1303,1898,2195,1994,2255,1829,1452,2692,1504,1667
CTH1_186_249,1477,1319,1110,2391,901,1821,1005,1146,1076,1714,2208,1957
CTH1_224_287,4689,3568,4638,5132,4136,4319,3784,3138,3360,4689,5343,6396
CTH1_187_250,1610,1593,1203,1249,1949,1295,1410,1303,1319,2141,1583,2125
CUP2_1_64,11155,10921,7103,10976,4588,4160,13172,12790,7665,9501,4827,5962
CUP9_168_231,2852,3101,2884,4214,3367,2697,4080,3203,3302,4103,3032,4207
CUP9_164_227,3004,3600,3808,4726,2875,4798,3244,3661,3312,4122,4203,5107
CUP9_160_223,3340,4554,2709,2608,2025,2327,3562,4025,2425,3528,2955,3226
DAL80_16_79,5154,5612,5509,6768,3640,5296,5930,4947,4990,7103,6860,6730
DAL80_18_81,3470,4488,4058,5699,4278,4361,5536,4885,4629,5266,3717,5036
DAL80_25_88,4942,3784,4718,5014,4092,3520,4207,4135,3622,5126,3756,4318
DOT6_63_126,5265,4066,4179,5338,903,3544,6444,4591,4228,4949,5280,4607
ECM23_120_183,3033,3680,2064,2280,1481,1182,3616,2735,1526,1761,1816,1486
ENV11_78_141,4592,3556,5176,5421,3098,3297,3293,3438,3346,4162,3564,5199
ENV11_77_140,2867,2108,2044,3765,1824,2116,2876,2034,2836,3242,2320,2928
FHL1_469_532,5312,6475,5297,6496,6947,8508,6400,5831,5161,7174,8836,10519
FHL1_307_370,3583,5178,4100,4793,4586,4616,4366,3486,3995,5246,4682,5020
FHL1_296_359,7537,6976,7248,9898,8795,10985,7410,7917,9237,7476,13728,12755
FHL1_472_535,7635,7280,7274,8121,7713,9460,7266,6678,6527,8376,9407,12571
FHL1_473_536,7457,6888,7839,11867,9745,11953,7594,7820,8102,8437,11774,13698
FKH1_314_377,2867,3505,2854,2449,2008,2235,4896,4273,3277,3176,2330,2674
FKH1_88_151,2536,2937,2831,5311,4041,2963,3418,2877,3678,4181,4727,4183
FKH1_78_141,7944,5956,5586,7339,7286,7843,7236,7423,5274,6836,10604,9783
FKH1_315_378,8174,8252,4535,8002,3887,4692,6975,7472,4878,6568,3262,4615
FKH1_316_379,2649,2619,2256,2848,1453,2350,3666,3053,1956,2548,1676,1906
FKH2_351_414,3153,3563,3357,3569,3450,5705,3285,2636,2558,2755,3886,4580
FKH2_97_160,5525,4834,7649,7770,5970,5548,5485,4611,5895,5679,6129,5987
