,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Tec1_1_64,29748,28190,19803,24359,3946,15201,25108,31969,21139,15623,4657,15234
Tec1_6_69,27222,29355,35682,48547,9544,41026,21662,28893,38668,33644,11763,43638
Tec1_11_74,52629,54280,55167,74768,14761,47296,43568,60822,59370,48978,17520,48497
Tec1_16_79,77243,76195,81054,114090,24319,83177,60120,77191,85644,70126,29355,80470
Tec1_21_84,68782,64870,80793,114230,24170,91480,53708,70716,89039,76120,29758,91543
Tec1_26_89,53605,54298,42765,59691,9646,29891,41352,55012,44251,32552,11547,29099
Tec1_31_94,65908,64611,76878,104861,20398,76231,52461,69164,81456,67414,26551,74979
Tec1_36_99,12112,12530,12912,18285,5419,21215,8150,12902,13674,14909,6947,20282
Tec1_41_104,43817,42654,25598,34342,5552,18072,36338,47332,29106,19160,7575,17225
Tec1_46_109,15418,14495,16647,23762,6845,25003,11829,15937,18110,19363,8849,26732
Tec1_51_114,10726,11778,11390,17126,4866,22178,9818,12426,13109,15162,6887,24178
Tec1_56_119,19223,17911,21606,29860,8082,30566,16479,21991,27630,24442,16166,35611
Tec1_61_124,48517,48139,54031,79440,17624,65798,41433,54180,62329,52929,25572,66308
Tec1_66_129,41524,39314,43253,62530,11841,45878,31936,43964,48738,41028,15240,46282
Tec1_71_134,24216,23369,26241,39867,9813,35368,18256,23834,30050,28904,14358,35496
Tec1_76_139,14170,12111,14018,20422,6091,24434,9250,12237,15148,15578,8344,24508
Tec1_81_144,23651,23908,28523,43132,10236,42046,17439,27145,31637,31971,17094,42522
Tec1_86_149,26341,30477,30311,44347,13802,56126,22288,28526,35110,37088,25273,56970
Tec1_91_154,13736,14076,13749,19571,6298,26535,11205,17490,16305,16603,14679,30574
Tec1_96_159,7907,6963,6917,9069,4305,13956,5942,8686,8158,8404,8533,13941
Tec1_101_164,40983,41742,38061,51363,10580,36879,31580,41561,41036,34087,14748,37404
Tec1_106_169,32197,32164,35026,48857,12359,49443,25038,33741,38429,37780,26322,51893
Tec1_111_174,31661,31467,40121,56309,17131,61923,26954,36793,41938,43582,23094,61257
Tec1_116_179,25950,22514,27525,42439,13186,50025,18395,23876,31101,34336,20870,51814
Tec1_121_184,23086,22143,24383,36469,9697,43541,17728,23620,27557,30579,19983,43469
Tec1_126_189,14798,13831,13909,20848,7312,28257,11537,15207,16889,18615,12165,27284
Tec1_131_194,20049,21197,18484,27138,10830,46866,15741,20463,20995,26691,16394,46252
Tec1_136_199,7910,7167,6866,9898,3926,16598,6242,7722,8778,9506,6997,17851
Tec1_141_204,26282,23665,23076,34491,16052,58882,18713,23773,24484,31916,29997,59612
Tec1_146_209,28113,27192,26234,40095,17669,65456,20520,30276,29999,34513,24995,65355
Tec1_151_214,21902,21041,23510,32544,11369,38278,17152,21804,28341,25285,14595,41431
Tec1_156_219,13180,12406,13822,21598,6540,25266,11125,15210,15682,16466,14931,28227
Tec1_161_224,20613,20691,24020,36418,11440,40574,16671,22423,24812,30025,15376,43560
Tec1_166_229,16245,17084,18466,26121,8705,33626,13078,19953,19923,23096,13283,37810
Tec1_171_234,37169,39424,40294,57253,15944,60890,30990,38714,47439,45553,25318,58569
Tec1_176_239,21086,20732,21836,32291,9473,36076,15318,24660,26867,26465,18160,39426
Tec1_181_244,21211,20706,22003,31399,9622,40302,16273,21188,27375,26594,16178,41888
Tec1_186_249,83781,83645,101501,146660,42988,166368,60853,82861,107694,102753,58154,158178
Tec1_191_254,14440,14800,15158,19946,7334,26301,11916,16858,18397,18475,12359,26897
Tec1_196_259,83744,88124,105104,148175,35710,146788,62523,84844,109166,97122,47558,134446
Tec1_201_264,21262,22089,25649,36690,11904,45579,17393,24132,31238,31345,21945,47289
Tec1_206_269,53431,53448,67793,91447,23067,89388,41140,53670,76158,69188,33590,88161
Tec1_211_274,31055,30684,37189,51743,13485,54194,23526,33653,42331,39833,21746,56471
Tec1_216_279,20788,21517,21866,31905,11783,44064,17070,22428,24806,27309,23795,44960
Tec1_221_284,20211,20617,22814,32249,7578,32521,14676,19795,25741,22245,12896,31659
Tec1_226_289,18364,18683,21880,31616,8812,30618,15043,20116,25392,24037,17748,34692
Tec1_231_294,20486,23143,26192,39415,10528,39986,19975,25924,30877,30178,18143,47726
Tec1_236_299,43272,43489,43620,58231,9186,38857,34447,42449,45640,34946,14113,39766
Tec1_241_304,32061,30546,35096,53441,12781,55045,26037,33016,39946,38419,25712,57231
Tec1_246_309,13178,12704,12745,18029,7019,25437,9807,13312,14478,14945,9410,24692
Tec1_251_314,31595,32629,35487,49555,18527,72210,23906,33367,37424,43644,30009,72827
Tec1_256_319,16868,15960,15601,22584,7830,32437,12290,17676,17997,19352,10449,33067
Tec1_261_324,16404,17271,15659,24459,7487,30160,11520,17417,16947,18836,10764,29216
Tec1_266_329,43515,45524,50644,73786,17588,73835,33463,46398,56416,54431,26964,79301
Tec1_271_334,33680,33297,39295,59453,15276,64108,25328,36671,45225,46172,20896,66136
Tec1_276_339,33533,34722,32140,44968,9340,32536,26491,36750,40088,31290,15281,34702
Tec1_281_344,19407,19460,19158,31412,6056,18948,16587,22131,22439,21245,10653,24882
Tec1_286_349,30079,31228,34769,53063,13249,54059,24744,33445,37700,37265,25220,54096
Tec1_291_354,13406,13242,13922,18081,5262,24268,9967,13831,15548,13869,8550,24473
Tec1_296_359,30788,30773,30928,43987,9701,35095,23336,30943,33617,27942,16026,36494
Tec1_301_364,38671,35658,29534,40422,6965,25237,29352,38732,33542,23145,7617,24686
Tec1_306_369,25056,24083,23872,35311,7766,23244,20179,27613,27618,21643,7259,24871
Tec1_311_374,13331,12662,13925,20532,5458,20791,9889,14538,16163,15029,8741,22352
Tec1_316_379,33370,28561,20515,27801,4332,14450,23655,35369,21820,15502,4927,13310
Tec1_321_384,33900,34462,13936,18424,3111,10720,26798,36684,15952,11990,5670,10915
Tec1_326_389,12788,11370,13802,20283,4753,19878,8372,11834,14025,13364,8536,17032
Tec1_331_394,17491,17907,16670,22581,4492,20285,11668,18627,18208,16260,5761,20973
Tec1_336_399,19565,19018,19899,26577,5974,23274,14454,20566,21574,19673,8897,23827
Tec1_341_404,23012,20668,22015,31122,6398,26307,16945,22879,23431,20315,8179,26746
Tec1_346_409,10736,9531,9085,12739,4371,15176,7563,11791,10526,9825,7241,15894
Tec1_351_414,17078,16218,14670,24175,5387,18146,12432,17252,18710,16251,10126,21420
Tec1_356_419,11148,10654,10994,16553,4055,14038,7991,12053,13822,12468,5950,14865
Tec1_361_424,42971,41242,35971,50895,9060,35473,32948,46259,40922,31851,14127,36604
Tec1_366_429,12461,11538,12153,17509,3877,13590,9758,13858,13269,11976,5396,14424
Tec1_371_434,27889,28330,30421,42890,10731,41924,21196,27929,33052,30483,21172,45658
Tec1_376_439,66111,65523,54949,73507,12074,40655,47428,63728,58425,41158,15813,41826
Tec1_381_444,37135,40449,41723,54859,12394,48747,29356,40054,47361,37918,21000,50335
Tec1_386_449,35576,32711,39992,56541,12396,53150,26775,36359,42757,42473,23338,55270
Tec1_391_454,38824,40439,46817,68538,18137,77018,29598,46291,49408,50344,28311,72961
Tec1_396_459,43363,42007,41129,62953,21181,89370,34454,46713,49953,52790,39050,95690
Tec1_401_464,117621,116346,126955,191523,72015,290586,87474,122480,148450,157911,107347,285103
Tec1_406_469,86717,86054,99588,146687,50259,194353,65107,89404,111135,120495,98733,197725
Tec1_411_474,82153,81403,86192,121438,31721,124285,61698,81178,96103,88693,44683,117154
Tec1_416_479,88177,93071,100138,162153,56542,215183,69103,94361,112699,126237,93791,212778
Tec1_421_484,112170,107434,132217,195151,53175,216052,83548,117257,145227,139053,83559,194245
GSY1_1_64,43501,44502,36604,48633,10037,37836,37705,46910,42227,29771,9694,35330
GSY1_91_154,27297,28131,24440,36132,12655,49734,23656,31057,28120,28814,20888,51215
GSY1_181_244,104583,102824,106467,160367,61656,237357,79118,110784,117754,144692,111607,251153
GSY1_271_334,31574,32162,25087,37192,14400,59907,26473,34475,29034,31285,32451,62873
GSY1_361_424,34515,33674,38427,56862,13953,55150,24707,35448,44040,41718,24296,54707
GSY1_451_514,23822,24995,22551,32907,12349,46313,18259,25223,25854,25453,21991,45211
GSY1_541_604,27023,26545,30477,43970,12829,47089,20801,27524,34803,35713,17651,49125
HXK1_1_64,52015,48999,32795,44421,8449,30302,38679,49737,32745,23759,10703,25496
HXK1_91_154,75089,69079,85120,130540,36712,133412,49967,73357,96960,93151,45051,136043
HXK1_181_244,27315,28455,27102,41803,13935,53879,20318,30510,30151,32863,19672,51737
HXK1_271_334,29947,31007,32050,47694,14228,63436,22745,30442,35754,37482,29305,66939
HXK1_361_424,23125,24242,23244,34261,10179,44034,16730,24944,26363,26932,14384,41369
TDH3_1_64,63553,64943,66739,96315,20913,82804,52836,71581,73281,62968,28644,75215
TDH3_91_154,74493,76440,90200,132206,33930,143019,57669,77270,99650,99070,54598,142812
TDH3_181_244,159538,159661,155411,205685,35783,136647,123111,169188,165823,122120,52638,126749
