,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF2_46_109,3146,3894,3843,3994,3244,3841,3785,8278,4342,5780,4909,5878
ABF2_118_181,4039,4269,5813,4938,5696,8476,5039,10022,7067,8737,11227,4656
ABF2_48_111,4325,4169,5173,5390,4140,4961,4966,9735,3787,5058,5249,6670
ABF2_117_180,5020,4579,5362,4645,4366,6574,4962,9152,4732,5075,7449,12170
ACA1_381_444,760,689,979,1012,1019,1487,982,2451,1941,1440,1994,2989
ACA1_383_446,691,609,1102,1005,910,1361,1589,2940,823,1060,2988,1547
ACA1_382_445,496,804,925,824,808,1058,1011,1616,1272,341,1938,2221
ACE2_601_664,8848,9985,11980,11325,11799,14145,9296,19500,11504,17531,15058,17882
ADR1_100_163,5421,5737,5929,5515,4848,5356,6258,12440,6802,7276,7935,7963
AFT2_42_105,7412,9263,9430,8374,11746,16062,8080,17928,6608,11079,16640,16371
AFT2_85_148,12555,11538,14464,13198,19069,25563,10571,23283,11494,14312,28384,26362
ARG80_79_142,4272,5000,4877,4306,5384,8449,5020,9695,4131,7887,8942,7478
ARG80_76_139,10330,8616,8323,7516,9005,14262,8422,17455,8038,10893,14791,16425
ARG80_88_151,5196,6009,5629,5204,6203,10060,6233,12007,5448,9477,12123,10347
ARR1_223_286,8605,9102,8771,7592,11027,15541,9088,16896,6873,9096,16091,16337
ARR1_15_78,3910,2838,4828,4446,5072,7095,2315,7752,4728,3068,7978,6550
ASG1_7_70,6201,5440,2509,2436,1860,2714,5368,12524,2717,1930,2775,2726
ASH1_488_551,5856,4412,5997,5431,5741,8110,5074,9842,3195,6616,7212,8757
AZF1_572_635,10753,10853,10395,10600,7850,9587,9463,18444,7448,9795,10181,8573
AZF1_600_663,3848,4243,4350,3960,4897,6884,4634,7082,3714,5391,7624,7388
AZF1_628_691,5176,5314,6508,6400,5115,6659,7058,13419,5807,6930,9286,9222
AZF1_658_721,2619,2821,2738,2937,2073,2634,2783,6981,3929,4461,4678,4097
AZF1_598_661,3474,4251,5545,5208,5623,7667,5533,9499,4167,6996,8583,9645
AZF1_638_701,2955,3141,3882,3295,3314,4217,3437,7097,4714,4501,6054,6036
BAS1_160_223,2679,3047,3887,3230,3953,5375,3453,7769,3407,4026,7971,8010
BAS1_106_169,5002,4939,5809,5299,5401,8265,4374,11138,6732,8176,11591,14115
BAS1_44_107,9998,9675,14455,12934,13484,18780,9199,17837,11546,16170,20808,21517
BAS1_107_170,4643,4634,6142,5644,5976,8666,5154,10602,5519,6537,11008,5360
BAS1_131_194,4701,5110,6356,5424,7245,10844,6593,12415,8574,7407,12787,13192
CAD1_36_99,1930,1975,1721,1761,1311,1677,2308,5157,1883,2509,1929,2962
CAD1_346_409,5307,4674,5476,4446,5207,9926,5738,12548,4863,8976,13048,12075
CAD1_42_105,1451,1330,2159,1857,2037,2778,1953,4730,2082,1955,3313,2914
CAD1_40_103,1794,1476,1610,1596,1574,1996,1766,3430,1383,953,2286,2642
CBF1_215_278,7667,7829,8121,8220,5082,7905,6825,12250,7882,8439,7319,12889
CBF1_220_283,3624,4839,5301,5579,3841,6166,5642,8461,5607,1812,6584,7707
CBF1_216_279,6644,6856,8309,8480,5336,7757,6771,12605,7351,5199,9180,5551
CIN5_232_295,3914,4176,4137,4179,2936,3364,4829,8368,5154,3366,4039,4512
CMR3_251_314,4363,4811,5448,5348,4529,6185,4690,9828,4230,8085,8315,8140
COM2_380_443,8173,7820,3962,4391,3051,3444,7208,13101,5431,2938,4948,5560
CRZ1_548_611,2908,3189,3853,3650,3859,5250,3839,7749,2820,5233,6367,9095
CRZ1_576_639,9607,9458,7597,7688,5092,6886,8055,15965,5978,9731,7587,7096
CRZ1_562_625,3161,3809,3718,3654,3593,4892,3961,7677,3930,4803,5696,6954
CST6_422_485,1271,1198,1773,1355,1937,2674,1697,4843,1937,2963,5044,4656
CST6_424_487,1549,1239,1417,1358,1472,2499,1932,3609,1396,2681,4161,2416
CST6_423_486,1346,1324,1510,1276,1515,2272,2866,4158,704,990,3116,3036
CTH1_186_249,1680,1795,2126,1938,2458,3172,1902,4214,1984,1957,3746,6271
CTH1_224_287,3760,3887,4315,4015,4479,5748,3816,8750,2982,5996,7920,9816
CTH1_187_250,1382,1815,1690,1392,1228,2230,2087,4030,1804,2192,2589,1637
CUP2_1_64,15116,16060,13625,14996,7800,10513,12653,26933,12015,18251,15094,12873
CUP9_168_231,3149,3686,3991,3786,3801,5364,3529,9568,4376,5073,7695,8315
CUP9_164_227,3841,3530,4056,3827,4143,5715,4450,10005,3916,6680,7653,8062
CUP9_160_223,5170,5020,3614,3652,2531,3464,3779,8600,1849,3766,4908,5211
DAL80_16_79,5308,7251,7212,6850,6420,9235,7183,12730,6804,7346,11574,13024
DAL80_18_81,5031,3980,5156,5038,4745,7299,5843,10108,6802,7960,7231,8585
DAL80_25_88,3436,3256,4474,3810,3792,6343,4510,9805,3733,4727,7962,6947
DOT6_63_126,5987,6174,6014,5582,4626,6695,6841,13847,4775,7255,7594,7255
ECM23_120_183,3760,3726,2803,2737,1637,2099,3523,7715,2957,3590,3080,3643
ENV11_78_141,3469,2465,3556,3702,3386,5161,2297,6042,2182,3365,5812,3011
ENV11_77_140,2701,3242,3503,3670,3149,3629,2792,5909,5807,4351,5207,6915
FHL1_469_532,8997,8456,9187,8039,10896,15776,6465,15689,6840,7529,15981,15234
FHL1_307_370,3645,3891,3883,3482,4103,5838,4486,8214,4284,3471,9324,7451
FHL1_296_359,10021,10298,10585,8679,12269,19979,10182,20518,8063,15431,18810,19711
FHL1_472_535,8402,7345,9301,8027,12075,16525,6546,15019,7011,8140,15801,23867
FHL1_473_536,9003,9462,11540,9754,13613,20022,8469,18072,8468,13623,21118,11308
FKH1_314_377,5825,5085,4372,4389,2966,3849,5142,11286,4004,3202,5386,11783
FKH1_88_151,5590,4416,5821,5240,6024,8653,6798,12049,7562,4722,12642,11278
FKH1_78_141,6665,6685,8102,7234,9443,13036,8240,14347,6917,8600,16125,14846
FKH1_315_378,8008,8291,7862,8231,5179,6997,8153,15970,7870,7818,9532,8566
FKH1_316_379,5499,4817,4127,4164,2391,3601,4046,9245,6000,6808,3340,2957
FKH2_351_414,2926,2827,2623,2296,2935,4694,2519,4852,2695,2251,4553,4465
FKH2_97_160,4692,6462,7000,7364,7343,10777,5513,11545,4891,11204,14723,11295
FKH2_86_149,4293,4983,6047,5219,6298,9742,4777,10098,5466,7927,11626,10179
FKH2_353_416,3141,2628,3269,2576,3540,4547,2326,5601,3036,1935,4181,4023
FZF1_1_64,1999,1684,859,924,392,1385,2805,6078,711,2283,1419,2430
FZF1_52_115,5189,5726,5734,5180,6936,8766,4839,9776,7024,3399,9166,4985
FZF1_22_85,932,834,654,602,580,1220,1470,4026,1297,1192,2013,3342
FZF1_51_114,5610,5627,5634,5717,4449,6123,5555,10397,4941,5921,6216,10934
FZF1_135_198,12192,13373,15356,16111,12252,16160,12016,25727,12999,15942,18657,18335
FZF1_228_291,9693,9103,14535,14304,12848,17216,10330,21318,14260,16595,20673,19727
