,1_0_1,1_0_2,1_60_1,1_60_2,2_0_1,2_0_2,2_60_1,2_60_2
ABF1_1_64,525,301,419,59,3,0,2,304
ABF1_12_75,98,352,307,125,4,1,1,317
ABF1_23_86,86,402,211,344,2,4,4,249
ABF1_34_97,193,1,5,191,4,9,0,159
ABF1_45_108,305,276,21,290,3,1,3,218
ABF1_56_119,173,371,459,125,10,5,8,37
ABF1_67_130,119,591,243,172,3,5,2,443
ABF1_78_141,23,629,172,268,1,1,3,450
ABF1_89_152,687,84,710,413,4,1,2,588
ABF1_100_163,501,323,136,278,2,3,5,172
ABF1_111_174,424,267,982,667,4,7,2,438
ABF1_122_185,122,437,342,114,1,5,3,230
ABF1_133_196,33,693,230,55,3,2,9,203
ABF1_144_207,306,552,259,0,3,3,4,46
ABF1_155_218,443,1057,435,431,6,5,16,85
ABF1_166_229,251,596,202,246,5,7,6,47
ABF1_177_240,259,1026,196,166,3,0,3,157
ABF1_188_251,145,1976,543,321,3,2,20,608
ABF1_199_262,577,116,191,608,8,4,4,242
ABF1_210_273,442,1510,240,76,1,4,14,159
ABF1_221_284,304,577,153,113,5,3,5,163
ABF1_232_295,390,820,189,186,3,0,10,1
ABF1_243_306,19,15,374,199,4,0,0,169
ABF1_254_317,79,0,111,127,3,6,0,392
ABF1_265_328,433,224,235,299,2,1,2,626
ABF1_276_339,71,1049,184,92,1,5,10,267
ABF1_287_350,824,327,1022,621,3,4,5,447
ABF1_298_361,636,2086,552,259,3,2,12,657
ABF1_309_372,148,1045,590,24,1,3,10,3
ABF1_320_383,122,0,127,9,5,4,0,219
ABF1_331_394,335,0,126,5,1,2,0,39
ABF1_342_405,850,630,469,96,1,6,8,314
ABF1_353_416,35,376,113,38,1,0,3,278
ABF1_364_427,71,457,170,23,3,3,3,254
ABF1_375_438,248,236,145,14,1,3,2,146
ABF1_386_449,213,259,209,47,2,3,1,110
ABF1_397_460,60,181,136,223,5,2,2,248
ABF1_408_471,434,1101,610,368,0,3,10,1009
ABF1_419_482,469,207,833,141,7,1,1,497
ABF1_430_493,375,770,649,248,0,1,7,791
ABF1_441_504,152,104,401,212,1,1,1,319
ABF1_452_515,253,773,257,123,1,4,15,507
ABF1_463_526,110,0,332,177,2,2,0,237
ABF1_474_537,18,332,245,43,2,0,5,219
ABF1_485_548,179,142,458,163,0,4,1,227
ABF1_496_559,19,0,414,189,3,0,0,360
ABF1_507_570,174,237,736,334,4,5,1,1006
ABF1_518_581,334,1056,447,696,5,1,9,723
ABF1_529_592,426,607,565,227,1,3,6,915
ABF1_540_603,330,337,399,196,5,2,2,451
ABF1_551_614,531,494,0,218,0,0,6,135
ABF1_562_625,339,797,424,36,2,3,4,153
ABF1_573_636,920,104,127,94,3,2,2,164
ABF1_584_647,7,246,259,123,4,2,2,89
ABF1_595_658,286,364,190,266,3,1,3,378
ABF1_606_669,108,259,547,367,4,2,1,498
ABF1_617_680,282,658,156,0,4,3,7,189
ABF1_628_691,53,473,258,199,1,3,0,95
ABF1_639_702,447,970,28,28,3,2,9,1
ABF1_650_713,0,1,215,103,0,4,0,438
ABF1_661_724,311,1021,213,148,2,3,2,134
ABF1_668_731,0,302,0,0,1,1,0,120
ABF2_1_64,53,976,340,167,2,2,12,3
ABF2_12_75,424,119,62,68,1,2,0,568
ABF2_23_86,138,0,176,46,1,7,0,290
ABF2_34_97,5,28,67,73,3,1,0,90
ABF2_45_108,18,589,312,267,1,0,5,156
ABF2_56_119,4,319,470,113,3,0,3,160
ABF2_67_130,0,1,567,60,1,0,0,245
ABF2_78_141,29,276,52,123,2,4,2,168
ABF2_89_152,224,176,110,76,4,1,0,174
ABF2_100_163,348,0,705,160,2,1,0,37
ABF2_111_174,417,0,219,166,2,1,0,121
ABF2_120_183,355,277,221,138,0,4,3,246
ACA1_1_64,420,563,382,119,1,6,5,325
ACA1_12_75,47,515,305,142,6,4,4,360
ACA1_23_86,234,231,279,77,1,4,2,341
ACA1_34_97,165,1193,476,97,3,2,15,195
ACA1_45_108,418,1,45,306,6,6,0,250
ACA1_56_119,622,261,96,104,4,4,7,75
ACA1_67_130,95,856,244,255,1,5,6,20
ACA1_78_141,302,727,562,176,5,3,7,215
ACA1_89_152,409,1,523,150,3,6,0,160
ACA1_100_163,190,660,732,245,7,6,6,412
ACA1_111_174,296,872,904,192,3,1,6,566
ACA1_122_185,195,8,206,347,3,1,1,291
ACA1_133_196,579,0,211,839,2,1,0,216
ACA1_144_207,189,361,324,311,2,8,4,584
ACA1_155_218,192,955,588,121,3,4,8,100
ACA1_166_229,1190,324,1240,959,3,5,2,726
ACA1_177_240,42,1001,370,497,5,4,12,254
ACA1_188_251,700,682,189,563,3,4,6,349
ACA1_199_262,773,1575,999,580,10,2,19,810
ACA1_210_273,768,968,1141,477,3,7,8,1046
ACA1_221_284,544,2278,1258,663,4,5,22,620
ACA1_232_295,1375,1203,1116,629,6,2,17,1261
ACA1_243_306,603,2286,345,256,5,6,25,500
ACA1_254_317,432,1209,625,155,1,1,6,553
ACA1_265_328,21,328,32,144,1,3,3,563
ACA1_276_339,235,608,376,304,5,1,3,241
ACA1_287_350,141,164,281,118,2,1,1,62
ACA1_298_361,544,402,906,61,3,3,0,139
ACA1_309_372,120,0,7,153,1,0,0,95
ACA1_320_383,4,993,117,266,1,3,10,144
ACA1_331_394,37,212,657,16,1,2,2,434
ACA1_342_405,556,764,354,159,4,2,4,196
ACA1_353_416,122,75,120,36,0,5,0,310
ACA1_364_427,283,357,813,186,1,2,3,90
ACA1_375_438,8,0,448,409,3,2,0,75
ACA1_386_449,280,0,342,142,2,2,0,135
ACA1_397_460,297,347,0,46,1,1,1,18
ACA1_408_471,155,169,931,108,1,1,4,580
ACA1_419_482,504,482,1061,69,2,3,8,1080
ACA1_426_489,187,490,1446,54,1,4,7,473
ACE2_1_64,144,923,36,203,2,4,6,208
ACE2_12_75,216,0,114,30,3,1,0,85
ACE2_23_86,792,449,442,16,4,0,3,247
ACE2_34_97,132,0,189,54,1,5,0,206
ACE2_45_108,258,63,271,27,3,0,1,10
ACE2_56_119,31,488,687,59,3,3,6,131
ACE2_67_130,10,380,95,40,3,3,3,176
ACE2_78_141,88,782,72,111,0,4,8,134
ACE2_89_152,51,289,449,79,3,2,3,730
ACE2_100_163,432,589,542,178,4,4,3,670
ACE2_111_174,219,1255,1752,572,0,1,11,1354
ACE2_122_185,18,0,521,68,1,0,0,270
ACE2_133_196,134,497,145,98,1,1,7,307
ACE2_144_207,112,18,237,193,1,0,2,577
ACE2_155_218,462,289,210,119,3,1,2,209
ACE2_166_229,214,675,652,61,2,1,5,155
ACE2_177_240,1,0,173,0,2,3,0,6
ACE2_188_251,176,290,565,210,1,0,1,340
ACE2_199_262,175,171,363,151,1,1,1,262
ACE2_210_273,715,156,851,320,0,1,4,430
ACE2_221_284,1270,156,693,487,4,4,3,834
ACE2_232_295,308,206,433,125,1,3,5,173
ACE2_243_306,343,1220,82,161,3,4,11,831
ACE2_254_317,471,799,1087,232,3,2,7,925
ACE2_265_328,467,422,614,217,1,2,5,840
ACE2_276_339,154,186,550,284,3,1,0,78
ACE2_287_350,420,190,489,0,2,2,4,176
ACE2_298_361,411,240,0,201,3,5,1,97
ACE2_309_372,2,1,588,1,2,2,0,89
ACE2_320_383,1,0,0,3,2,4,1,71
ACE2_331_394,144,555,55,29,1,2,3,258
ACE2_342_405,309,268,213,11,1,1,3,125
ACE2_353_416,176,463,275,0,2,2,3,425
