,1_0_1,1_0_2
ABF1_1_64,207,306
ABF1_12_75,182,316
ABF1_23_86,235,483
ABF1_34_97,202,375
ABF1_45_108,292,473
ABF1_56_119,225,370
ABF1_67_130,189,296
ABF1_78_141,149,356
ABF1_89_152,199,336
ABF1_100_163,188,304
ABF1_111_174,170,394
ABF1_122_185,161,337
ABF1_133_196,94,176
ABF1_144_207,155,282
ABF1_155_218,217,405
ABF1_166_229,237,426
ABF1_177_240,124,255
ABF1_188_251,245,476
ABF1_199_262,234,399
ABF1_210_273,195,376
ABF1_221_284,140,339
ABF1_232_295,98,194
ABF1_243_306,175,300
ABF1_254_317,141,241
ABF1_265_328,219,402
ABF1_276_339,222,301
ABF1_287_350,248,483
ABF1_298_361,284,488
ABF1_309_372,168,308
ABF1_320_383,131,231
ABF1_331_394,105,214
ABF1_342_405,142,233
ABF1_353_416,209,339
ABF1_364_427,108,235
ABF1_375_438,79,167
ABF1_386_449,141,303
ABF1_397_460,123,253
ABF1_408_471,134,318
ABF1_419_482,199,357
ABF1_430_493,170,317
ABF1_441_504,140,223
ABF1_452_515,90,203
ABF1_463_526,128,261
ABF1_474_537,179,233
ABF1_485_548,202,309
ABF1_496_559,168,326
ABF1_507_570,217,401
ABF1_518_581,156,330
ABF1_529_592,256,350
ABF1_540_603,183,365
ABF1_551_614,196,383
ABF1_562_625,191,303
ABF1_573_636,127,266
ABF1_584_647,97,245
ABF1_595_658,132,337
ABF1_606_669,169,271
ABF1_617_680,146,279
ABF1_628_691,87,200
ABF1_639_702,141,304
ABF1_650_713,115,210
ABF1_661_724,103,213
ABF1_668_731,62,163
ABF2_1_64,194,295
ABF2_12_75,208,339
ABF2_23_86,186,282
ABF2_34_97,124,169
ABF2_45_108,109,182
ABF2_56_119,155,253
ABF2_67_130,131,206
ABF2_78_141,151,243
ABF2_89_152,131,220
ABF2_100_163,139,248
ABF2_111_174,142,258
ABF2_120_183,164,313
ACA1_1_64,217,404
ACA1_12_75,189,303
ACA1_23_86,142,249
ACA1_34_97,233,419
ACA1_45_108,274,409
ACA1_56_119,240,436
ACA1_67_130,218,424
ACA1_78_141,253,431
ACA1_89_152,181,295
ACA1_100_163,224,396
ACA1_111_174,168,322
ACA1_122_185,144,343
ACA1_133_196,197,313
ACA1_144_207,157,312
ACA1_155_218,254,474
ACA1_166_229,261,534
ACA1_177_240,291,520
ACA1_188_251,304,457
ACA1_199_262,336,492
ACA1_210_273,271,468
ACA1_221_284,340,538
ACA1_232_295,317,543
ACA1_243_306,377,608
ACA1_254_317,297,507
ACA1_265_328,170,304
ACA1_276_339,258,427
ACA1_287_350,179,311
ACA1_298_361,208,364
ACA1_309_372,119,221
ACA1_320_383,104,210
ACA1_331_394,171,313
ACA1_342_405,167,313
ACA1_353_416,138,257
ACA1_364_427,94,183
ACA1_375_438,74,142
ACA1_386_449,79,165
ACA1_397_460,133,201
ACA1_408_471,117,192
ACA1_419_482,130,191
ACA1_426_489,112,217
ACE2_1_64,134,328
ACE2_12_75,57,124
ACE2_23_86,131,322
ACE2_34_97,138,181
ACE2_45_108,124,288
ACE2_56_119,163,220
ACE2_67_130,182,297
ACE2_78_141,190,347
ACE2_89_152,172,317
ACE2_100_163,201,379
ACE2_111_174,156,303
ACE2_122_185,102,168
ACE2_133_196,115,188
ACE2_144_207,129,195
ACE2_155_218,129,269
ACE2_166_229,162,261
ACE2_177_240,91,196
ACE2_188_251,164,319
ACE2_199_262,129,240
ACE2_210_273,108,204
