,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF1_1_64,23,107,59,148,99,193,303,101,253,210,383,276
ABF1_12_75,186,250,171,268,394,328,306,193,508,432,434,964
ABF1_23_86,267,189,205,233,232,204,433,121,360,163,235,381
ABF1_34_97,321,360,270,451,412,345,397,219,496,397,519,544
ABF1_45_108,420,325,642,673,645,645,851,458,645,662,865,934
ABF1_56_119,104,273,573,449,417,573,769,406,865,651,659,879
ABF1_67_130,350,134,299,258,129,76,475,282,305,158,186,230
ABF1_78_141,116,206,369,296,291,319,487,239,606,367,404,574
ABF1_89_152,326,339,156,207,105,281,720,462,280,237,318,244
ABF1_100_163,316,218,230,319,174,218,452,286,525,185,361,393
ABF1_111_174,45,66,18,62,17,8,169,128,150,86,93,113
ABF1_122_185,83,194,297,263,248,234,513,244,689,447,375,530
ABF1_133_196,58,145,188,230,164,282,245,147,302,184,391,232
ABF1_144_207,213,160,351,265,228,250,491,315,372,393,441,893
ABF1_155_218,12,152,436,214,210,237,490,268,606,445,576,958
ABF1_166_229,167,312,293,313,339,352,624,308,638,400,243,678
ABF1_177_240,55,191,385,454,207,227,674,421,575,497,398,669
ABF1_188_251,216,194,343,269,454,434,820,340,405,382,555,832
ABF1_199_262,150,203,321,170,126,271,476,224,204,362,362,384
ABF1_210_273,151,256,395,312,243,368,594,231,585,345,350,619
ABF1_221_284,39,32,163,169,101,259,222,221,258,343,398,311
ABF1_232_295,158,172,146,238,94,195,258,343,386,230,221,357
ABF1_243_306,135,147,343,232,444,410,511,312,534,426,750,953
ABF1_254_317,23,279,296,483,263,381,602,234,639,485,566,486
ABF1_265_328,232,256,287,482,389,423,678,238,563,429,264,618
ABF1_276_339,258,278,176,242,164,227,523,205,467,361,270,346
ABF1_287_350,351,308,271,300,214,250,780,278,441,282,416,300
ABF1_298_361,91,363,366,359,564,493,632,228,594,481,713,897
ABF1_309_372,173,256,304,361,535,437,508,222,685,393,344,670
ABF1_320_383,45,170,188,242,132,328,281,162,288,143,96,192
ABF1_331_394,322,245,198,320,305,313,408,169,518,372,223,619
ABF1_342_405,113,101,160,204,136,180,271,138,464,211,85,392
ABF1_353_416,35,72,184,338,334,479,266,165,574,305,364,530
ABF1_364_427,82,221,274,341,331,366,399,240,388,309,472,903
ABF1_375_438,117,224,331,527,205,235,570,240,380,384,243,444
ABF1_386_449,71,212,319,474,487,347,823,321,926,681,504,898
ABF1_397_460,220,381,469,448,276,266,703,333,696,537,269,529
ABF1_408_471,21,68,49,45,59,72,128,68,70,62,77,2
ABF1_419_482,135,262,141,230,56,114,445,178,236,238,144,248
ABF1_430_493,305,121,35,99,94,36,269,130,101,44,35,115
ABF1_441_504,235,98,204,150,179,94,229,145,264,182,320,174
ABF1_452_515,114,139,194,223,217,208,375,185,333,202,199,199
ABF1_463_526,35,182,176,180,135,132,442,195,341,229,277,754
ABF1_474_537,188,133,188,335,356,345,432,222,433,259,327,760
ABF1_485_548,347,66,199,177,156,205,321,184,525,393,200,619
ABF1_496_559,180,101,277,253,400,383,551,230,368,372,403,634
ABF1_507_570,104,399,368,395,213,308,773,532,745,558,288,503
ABF1_518_581,249,371,173,289,127,43,830,365,237,245,228,248
ABF1_529_592,278,321,353,428,199,321,858,491,803,528,327,240
ABF1_540_603,156,431,469,457,107,229,998,512,521,336,377,455
ABF1_551_614,127,103,370,289,367,431,374,267,472,178,462,428
ABF1_562_625,207,199,189,214,238,260,486,211,490,345,290,389
ABF1_573_636,25,183,293,422,256,146,257,105,376,257,259,251
ABF1_584_647,113,137,163,129,40,75,319,163,225,155,63,71
ABF1_595_658,48,123,127,264,180,96,314,143,238,137,330,455
ABF1_606_669,42,345,122,142,89,145,454,270,297,371,87,323
ABF1_617_680,4,109,147,224,106,215,242,184,205,107,181,160
ABF1_628_691,107,242,282,301,182,158,403,195,333,253,374,255
ABF1_639_702,406,317,373,591,265,346,870,494,836,579,767,732
ABF1_650_713,209,98,247,298,283,416,346,143,445,240,430,498
ABF1_661_724,5,102,101,159,228,234,303,149,275,278,500,383
ABF1_668_731,182,59,85,106,36,100,109,53,146,169,235,113
