,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF1_1_64,439,81,362,758,549,537,2246,358,291,380,887,1055
ABF1_12_75,397,843,371,832,253,452,1496,333,466,676,957,690
ABF1_23_86,331,493,135,469,3,147,838,201,205,244,399,181
ABF1_34_97,310,79,361,902,443,360,1719,377,481,585,747,840
ABF1_45_108,175,55,237,528,518,210,1102,135,173,260,378,383
ABF1_56_119,423,7,454,1054,292,360,2769,343,422,509,908,724
ABF1_67_130,65,1,105,122,67,36,580,129,88,91,98,155
ABF1_78_141,225,5,274,553,183,392,981,193,321,292,452,751
ABF1_89_152,395,87,435,685,81,46,1972,309,312,431,482,429
ABF1_100_163,126,3,179,447,71,7,1573,188,225,233,136,231
ABF1_111_174,111,515,80,297,1,107,1499,190,85,112,118,121
ABF1_122_185,317,21,405,849,173,438,2132,271,260,337,453,578
ABF1_133_196,272,32,339,593,397,296,1523,150,283,473,380,629
ABF1_144_207,376,222,464,961,130,331,1525,325,273,524,628,618
ABF1_155_218,175,37,154,462,85,121,405,130,130,131,351,403
ABF1_166_229,297,266,150,546,163,238,667,215,181,210,374,351
ABF1_177_240,183,331,378,483,80,188,1563,217,309,280,359,457
ABF1_188_251,160,11,281,544,148,262,1160,191,336,478,517,347
ABF1_199_262,270,839,524,1347,277,314,2222,310,264,602,547,856
ABF1_210_273,298,4,332,862,42,281,1293,186,361,430,512,455
ABF1_221_284,312,139,221,539,158,261,1249,235,227,359,290,484
ABF1_232_295,145,3,134,326,0,45,931,104,121,141,183,116
ABF1_243_306,117,3,226,487,78,204,1301,197,298,277,612,506
ABF1_254_317,231,382,538,919,279,319,1936,341,560,694,560,505
ABF1_265_328,186,6,262,641,347,319,1489,260,193,282,397,518
ABF1_276_339,541,523,365,642,37,217,1514,204,249,356,355,471
ABF1_287_350,305,371,259,402,71,99,1797,272,289,362,205,275
ABF1_298_361,534,196,665,1444,669,780,3212,510,584,807,1493,1308
ABF1_309_372,188,338,266,261,258,195,1011,92,123,211,386,394
ABF1_320_383,233,110,233,423,325,303,707,145,158,243,443,326
ABF1_331_394,326,256,335,775,254,258,2025,396,386,666,803,912
ABF1_342_405,271,3,191,647,42,108,880,275,267,286,166,353
ABF1_353_416,262,417,296,364,68,202,1140,196,294,481,583,584
ABF1_364_427,109,4,108,166,75,164,611,138,152,175,425,383
ABF1_375_438,134,188,145,309,225,56,586,50,126,170,134,183
ABF1_386_449,218,332,206,438,83,199,1049,180,186,203,295,264
ABF1_397_460,142,1,126,415,222,116,573,84,191,202,206,206
ABF1_408_471,187,4,145,326,54,175,1083,200,232,217,487,387
ABF1_419_482,298,231,261,328,99,162,1670,218,270,313,193,201
ABF1_430_493,2,334,50,57,32,17,492,149,22,27,39,16
ABF1_441_504,437,82,564,796,128,239,1647,294,429,537,437,414
ABF1_452_515,36,2,81,226,0,49,410,95,131,113,161,171
ABF1_463_526,188,28,229,569,78,172,596,96,166,167,265,267
ABF1_474_537,155,2,353,611,65,207,1205,271,309,298,438,788
ABF1_485_548,90,0,75,156,47,26,566,64,56,109,72,151
ABF1_496_559,34,1,68,166,3,77,147,26,119,107,144,81
ABF1_507_570,377,99,322,633,6,100,2778,450,352,476,345,370
ABF1_518_581,132,4,105,220,140,37,1672,272,66,119,158,102
ABF1_529_592,1213,295,779,1452,360,199,5466,811,718,1093,637,614
ABF1_540_603,209,216,49,112,51,27,968,156,99,122,24,68
ABF1_551_614,97,2,162,432,1,138,689,107,88,131,262,224
ABF1_562_625,393,464,403,598,150,211,2101,297,279,461,364,383
ABF1_573_636,165,250,279,588,4,57,1767,266,301,379,360,539
ABF1_584_647,227,250,209,247,47,150,1393,251,191,212,215,152
ABF1_595_658,92,135,151,316,265,139,889,100,150,244,225,348
ABF1_606_669,266,175,193,452,40,153,1645,329,213,363,322,190
ABF1_617_680,203,13,342,641,190,377,1233,200,484,573,634,559
ABF1_628_691,261,10,302,596,221,115,1048,216,308,436,285,494
ABF1_639_702,245,8,158,525,127,175,1062,164,211,325,301,280
ABF1_650_713,87,209,113,280,74,104,179,70,103,97,119,203
ABF1_661_724,77,65,152,315,253,163,384,84,116,192,189,337
ABF1_668_731,3,32,87,183,113,21,104,49,55,75,89,159
ABF2_1_64,445,69,395,799,120,371,1507,301,226,497,690,878
ABF2_12_75,191,4,102,378,82,155,677,81,144,247,272,273
ABF2_23_86,478,137,437,1138,202,605,1641,353,451,728,695,978
ABF2_34_97,88,0,85,143,79,82,216,26,82,169,222,209
ABF2_45_108,399,5,164,199,1,33,1026,140,121,161,77,50
ABF2_56_119,228,88,452,787,122,73,3429,434,368,612,300,289
ABF2_67_130,129,14,134,206,109,114,273,96,115,75,234,166
ABF2_78_141,20,1,85,102,1,89,388,84,64,119,216,84
ABF2_89_152,204,19,94,484,118,98,1140,157,135,238,251,251
ABF2_100_163,159,276,192,272,157,82,1188,240,95,236,111,133
ABF2_111_174,347,119,390,1059,285,321,2217,413,556,723,652,674
ABF2_120_183,492,343,576,718,366,499,1940,326,397,661,715,962
ACA1_1_64,87,0,132,235,102,186,718,194,164,172,353,437
ACA1_12_75,67,6,251,296,255,249,767,177,163,208,249,369
ACA1_23_86,122,5,133,304,218,216,1475,231,255,216,350,420
ACA1_34_97,387,307,427,1254,422,480,1581,364,485,564,880,1271
ACA1_45_108,381,543,556,1272,478,479,2370,385,473,659,1119,1167
ACA1_56_119,262,123,488,825,268,384,1806,359,282,382,662,829
ACA1_67_130,271,15,282,714,99,347,1249,246,224,527,626,597
ACA1_78_141,152,149,223,389,48,210,1076,190,270,254,416,557
ACA1_89_152,209,671,460,968,150,266,2336,281,449,452,518,654
ACA1_100_163,129,330,200,313,213,118,1210,241,349,345,467,409
ACA1_111_174,226,1,308,568,3,157,1292,262,201,207,244,329
ACA1_122_185,167,501,249,547,301,241,1365,167,169,269,334,271
ACA1_133_196,892,732,1182,1609,636,542,4070,664,895,1230,1204,943
ACA1_144_207,775,617,766,1533,244,471,4789,852,837,894,813,844
ACA1_155_218,435,755,697,1221,431,471,4107,771,631,1088,1335,849
ACA1_166_229,349,308,425,820,276,295,2788,479,382,647,798,1005
ACA1_177_240,765,940,918,1569,341,709,3900,683,745,1139,1467,1636
ACA1_188_251,858,756,910,2242,310,841,5095,835,1234,1640,2402,1828
ACA1_199_262,367,182,437,1005,107,184,3291,450,573,682,738,566
ACA1_210_273,316,110,301,662,98,85,1592,306,385,568,470,397
ACA1_221_284,446,87,264,880,130,298,2397,413,425,760,456,758
ACA1_232_295,427,868,491,717,279,262,2327,410,408,574,619,555
ACA1_243_306,212,133,557,961,522,608,2937,476,562,877,1097,1031
ACA1_254_317,246,410,345,659,77,262,1833,372,311,360,282,370
ACA1_265_328,224,180,250,621,68,257,1628,211,394,522,614,560
ACA1_276_339,455,226,542,883,105,338,1678,337,401,507,636,516
ACA1_287_350,159,17,249,628,165,373,1010,211,205,294,419,446
ACA1_298_361,427,120,424,632,194,213,1251,203,368,527,787,720
ACA1_309_372,65,3,56,219,7,61,206,61,64,88,64,157
ACA1_320_383,120,6,232,515,329,165,1137,131,238,242,557,548
ACA1_331_394,127,5,157,585,60,145,1063,195,165,259,337,401
ACA1_342_405,182,542,278,496,51,173,825,121,251,370,435,367
ACA1_353_416,188,273,224,293,269,156,716,170,121,247,196,246
ACA1_364_427,171,184,91,287,61,47,703,163,108,209,97,70
ACA1_375_438,15,0,69,85,4,49,77,81,54,42,77,52
ACA1_386_449,0,3,8,27,1,31,176,26,3,72,65,85
ACA1_397_460,0,0,17,1,1,13,76,24,38,7,11,38
ACA1_408_471,60,0,80,182,48,51,229,85,38,47,104,69
ACA1_419_482,2,0,83,8,42,1,55,14,84,0,11,45
ACA1_426_489,0,1,0,31,0,0,321,41,18,38,121,57
ACE2_1_64,566,74,648,1322,495,571,3034,317,463,747,1128,956
ACE2_12_75,93,1,146,245,0,144,470,102,100,76,116,199
ACE2_23_86,185,1,266,411,253,260,965,191,119,310,406,417
ACE2_34_97,205,4,203,468,50,160,1019,102,190,160,312,261
ACE2_45_108,183,623,294,734,165,171,1100,215,381,497,654,546
ACE2_56_119,132,95,178,506,1,110,1080,220,216,173,192,163
ACE2_67_130,64,52,26,79,120,46,237,26,58,36,74,114
ACE2_78_141,172,6,341,356,424,235,1317,127,245,342,519,503
ACE2_89_152,149,189,247,471,109,136,755,210,226,401,233,447
ACE2_100_163,204,28,185,343,102,122,1289,155,282,320,395,395
ACE2_111_174,89,3,81,87,82,44,374,46,63,133,70,131
ACE2_122_185,70,2,116,261,1,30,1244,244,247,211,255,146
ACE2_133_196,40,3,63,70,155,31,572,37,54,87,138,118
ACE2_144_207,212,4,166,333,40,123,1159,195,151,198,213,64
ACE2_155_218,190,241,108,114,4,63,384,102,69,69,33,48
ACE2_166_229,132,539,182,545,175,176,1270,266,91,251,280,216
ACE2_177_240,40,1,72,46,0,33,95,29,25,46,136,70
ACE2_188_251,28,1,29,93,4,24,384,66,36,52,59,55
ACE2_199_262,208,4,127,326,135,53,417,56,126,165,100,138
ACE2_210_273,41,203,35,17,0,12,809,117,26,81,19,75
ACE2_221_284,363,291,124,157,42,60,854,241,126,160,92,104
ACE2_232_295,604,331,1015,1625,189,325,4932,801,1060,1359,879,774
ACE2_243_306,208,6,344,615,213,201,1849,367,164,428,242,305
ACE2_254_317,282,113,195,314,175,91,1713,208,219,157,160,257
ACE2_265_328,289,5,201,637,113,146,1239,280,125,253,306,200
ACE2_276_339,42,2,33,122,57,61,254,53,71,20,142,98
ACE2_287_350,94,168,270,516,231,144,1603,255,233,325,446,470
ACE2_298_361,561,4,276,1017,198,488,1694,161,259,415,412,454
ACE2_309_372,8,1,14,102,4,79,269,23,88,60,189,124
ACE2_320_383,108,130,138,306,93,125,622,112,111,289,291,295
ACE2_331_394,125,83,328,545,85,244,1080,221,225,317,437,573
ACE2_342_405,152,13,244,336,85,117,641,139,137,362,239,324
ACE2_353_416,315,278,322,486,510,361,1358,239,320,418,554,658
ACE2_364_427,137,496,202,606,65,246,673,164,157,244,411,392
ACE2_375_438,100,71,77,277,82,100,505,88,57,125,206,205
ACE2_386_449,203,429,593,1062,381,488,2639,299,436,415,822,785
ACE2_397_460,648,381,477,1068,106,241,2531,255,444,723,729,952
ACE2_408_471,291,896,455,995,293,278,2679,471,488,571,474,572
ACE2_419_482,114,15,118,246,98,68,538,96,201,134,200,326
ACE2_430_493,547,553,665,974,115,307,3779,582,616,912,661,494
ACE2_441_504,372,251,472,1337,121,307,2687,473,591,667,606,872
ACE2_452_515,701,941,684,999,224,151,3151,794,511,651,453,603
ACE2_463_526,300,255,385,946,83,268,1752,243,411,555,605,704
ACE2_474_537,183,15,154,400,203,133,983,126,200,219,218,374
ACE2_485_548,380,667,394,696,141,160,2741,398,519,606,528,409
ACE2_496_559,97,2,156,315,84,132,624,95,162,170,200,251
ACE2_507_570,164,8,229,349,101,179,1256,175,172,286,332,312
ACE2_518_581,182,478,294,631,264,236,1658,256,406,664,609,737
ACE2_529_592,19,417,79,305,2,110,1212,267,213,309,221,447
ACE2_540_603,274,12,270,689,221,253,1172,241,281,424,522,402
ACE2_551_614,121,3,445,502,104,305,881,237,288,358,464,536
ACE2_562_625,314,124,180,243,47,101,1539,175,195,335,280,232
ACE2_573_636,443,21,158,179,94,146,1220,238,28,61,74,170
ACE2_584_647,478,189,492,921,128,397,2231,199,348,524,665,520
ACE2_595_658,127,213,199,417,238,256,821,155,252,202,250,247
ACE2_606_669,454,496,718,1365,432,627,3418,574,593,853,771,912
ACE2_617_680,197,9,274,794,72,197,1102,168,230,422,299,406
ACE2_628_691,598,592,338,732,162,292,2521,667,370,530,346,340
ACE2_639_702,2,13,188,459,226,129,522,89,172,260,311,298
ACE2_650_713,200,10,231,519,60,204,1445,273,401,320,330,349
ACE2_661_724,76,152,153,330,218,152,810,97,73,73,249,256
ACE2_672_735,159,363,142,625,122,131,883,151,207,366,388,442
ACE2_683_746,85,93,167,300,123,107,530,99,122,185,157,248
ACE2_694_757,204,526,493,605,242,380,2036,287,326,369,390,323
ACE2_705_768,87,1,123,180,85,71,334,77,15,62,41,40
ACE2_707_770,181,8,406,655,206,356,1008,183,263,386,355,441
ADR1_1_64,149,329,136,257,8,157,307,114,147,148,220,295
ADR1_12_75,270,536,552,985,70,602,1936,292,384,648,970,682
ADR1_23_86,199,113,204,398,77,132,1307,157,190,438,417,454
ADR1_34_97,541,41,345,407,33,182,1942,440,225,211,266,218
ADR1_45_108,174,648,179,386,45,102,2399,338,171,336,173,352
ADR1_56_119,67,2,35,97,0,51,152,20,17,22,29,18
ADR1_67_130,29,120,48,59,136,54,166,76,42,77,126,43
ADR1_78_141,216,5,194,395,109,119,2563,280,210,233,258,177
ADR1_89_152,203,22,455,623,391,442,2131,410,416,758,931,948
ADR1_100_163,218,466,198,514,66,236,1161,260,256,435,280,439
ADR1_111_174,80,91,159,350,64,81,638,64,120,124,147,179
ADR1_122_185,265,11,311,664,3,125,2483,407,347,403,339,394
ADR1_133_196,94,11,117,300,119,179,642,83,101,76,129,126
ADR1_144_207,155,92,184,614,371,218,1309,189,267,392,394,454
ADR1_155_218,635,133,201,471,1,68,2668,322,221,250,185,192
ADR1_166_229,237,296,168,535,146,143,1067,175,197,418,411,359
ADR1_177_240,160,2,65,202,15,151,822,70,173,228,175,268
ADR1_188_251,605,511,510,1193,179,255,2677,506,624,768,697,586
ADR1_199_262,246,335,113,162,7,76,1296,256,147,183,207,361
ADR1_210_273,344,125,431,552,148,444,1453,305,316,337,690,846
ADR1_221_284,126,246,85,100,4,19,1520,139,47,76,25,52
ADR1_232_295,330,89,496,986,204,306,1866,305,409,641,683,786
ADR1_243_306,480,474,281,582,201,233,1630,234,286,372,304,354
ADR1_254_317,256,259,388,720,5,135,1886,359,249,447,401,316
ADR1_265_328,401,12,327,524,186,188,1422,283,488,441,406,232
ADR1_276_339,316,184,341,632,265,249,991,216,315,438,625,546
ADR1_287_350,63,3,96,106,27,104,425,81,56,60,149,95
ADR1_298_361,368,148,558,1103,183,286,2388,519,521,719,907,943
