,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF1_1_64,371,184,544,745,174,236
ABF1_12_75,574,817,1886,1376,316,685
ABF1_23_86,133,48,477,117,88,123
ABF1_34_97,556,318,1015,649,212,434
ABF1_45_108,251,941,1322,1378,306,759
ABF1_56_119,512,336,1157,858,430,648
ABF1_67_130,136,164,365,190,76,123
ABF1_78_141,355,416,1034,738,291,580
ABF1_89_152,699,277,830,1287,185,479
ABF1_100_163,4,6,201,493,90,42
ABF1_111_174,48,50,118,6,15,67
ABF1_122_185,192,297,758,546,220,277
ABF1_133_196,40,139,141,290,80,81
ABF1_144_207,33,56,184,6,86,160
ABF1_155_218,271,266,370,222,226,92
ABF1_166_229,80,22,75,63,15,67
ABF1_177_240,23,24,12,20,32,3
ABF1_188_251,116,118,309,469,120,255
ABF1_199_262,22,22,150,31,361,138
ABF1_210_273,36,99,238,19,114,68
ABF1_221_284,9,9,80,152,8,30
ABF1_232_295,185,91,322,223,99,106
ABF1_243_306,167,105,471,190,153,162
ABF1_254_317,296,128,563,171,122,227
ABF1_265_328,286,297,728,349,123,396
ABF1_276_339,675,341,1022,468,150,593
ABF1_287_350,235,297,385,231,299,361
ABF1_298_361,484,542,1116,395,359,559
ABF1_309_372,392,365,612,33,121,280
ABF1_320_383,532,392,555,620,161,288
ABF1_331_394,527,318,992,471,124,429
ABF1_342_405,622,223,897,334,133,457
ABF1_353_416,396,520,631,364,104,323
ABF1_364_427,289,261,257,358,66,198
ABF1_375_438,121,36,133,91,11,11
ABF1_386_449,146,45,86,195,85,47
ABF1_397_460,5,76,107,91,3,99
ABF1_408_471,94,19,93,125,34,47
ABF1_419_482,115,141,125,14,29,96
ABF1_430_493,130,63,20,187,1,28
ABF1_441_504,407,676,1188,277,175,516
ABF1_452_515,65,38,259,173,27,69
ABF1_463_526,108,56,426,132,176,282
ABF1_474_537,13,21,161,126,21,32
ABF1_485_548,97,98,287,372,84,146
ABF1_496_559,339,102,623,292,180,155
ABF1_507_570,218,211,531,245,83,208
ABF1_518_581,32,96,251,216,252,146
ABF1_529_592,285,224,496,327,88,239
ABF1_540_603,450,264,1296,483,249,729
ABF1_551_614,158,416,157,458,56,173
ABF1_562_625,18,100,144,308,40,50
ABF1_573_636,478,47,290,121,144,287
ABF1_584_647,18,157,229,8,86,71
ABF1_595_658,35,9,190,48,111,66
ABF1_606_669,15,2,16,8,9,0
ABF1_617_680,161,239,467,160,261,387
ABF1_628_691,22,20,345,21,123,80
ABF1_639_702,683,329,1119,378,318,438
ABF1_650_713,129,142,392,13,145,181
ABF1_661_724,115,75,156,292,70,139
ABF1_668_731,66,59,175,28,75,68
ABF2_1_64,373,328,1011,461,276,246
ABF2_12_75,348,629,1399,377,437,639
ABF2_23_86,75,275,179,393,155,100
ABF2_34_97,69,266,726,687,148,222
ABF2_45_108,626,323,972,1067,128,561
ABF2_56_119,174,196,447,739,140,246
ABF2_67_130,173,35,200,286,12,59
ABF2_78_141,136,164,605,379,45,294
ABF2_89_152,10,35,82,32,5,43
ABF2_100_163,18,13,40,57,4,1
ABF2_111_174,12,131,256,244,61,112
ABF2_120_183,447,872,1501,1108,338,554
ACA1_1_64,321,421,639,190,143,282
ACA1_12_75,437,232,276,204,123,227
ACA1_23_86,1156,859,1441,1439,390,827
ACA1_34_97,389,522,843,1236,471,499
ACA1_45_108,447,605,1555,945,602,766
ACA1_56_119,754,391,1144,932,346,410
ACA1_67_130,462,412,761,271,359,713
ACA1_78_141,566,521,1588,922,550,726
ACA1_89_152,108,337,1096,894,507,404
ACA1_100_163,84,55,294,155,118,120
ACA1_111_174,924,726,1563,1325,462,879
ACA1_122_185,336,190,993,580,411,558
ACA1_133_196,1215,1211,2555,1570,950,1294
ACA1_144_207,194,311,1143,976,323,460
ACA1_155_218,767,1278,2241,1460,852,1461
ACA1_166_229,524,340,1593,318,564,820
ACA1_177_240,223,456,1277,770,396,567
ACA1_188_251,653,630,1879,754,569,836
ACA1_199_262,360,335,1540,779,520,625
ACA1_210_273,201,202,623,301,136,315
ACA1_221_284,200,231,439,65,131,233
ACA1_232_295,691,550,1303,357,311,813
ACA1_243_306,655,520,1306,325,423,605
ACA1_254_317,752,427,1441,159,431,664
ACA1_265_328,416,687,1471,534,366,606
ACA1_276_339,508,618,1220,786,415,818
ACA1_287_350,255,111,425,134,160,229
ACA1_298_361,258,221,605,201,158,144
ACA1_309_372,113,476,797,303,293,149
ACA1_320_383,131,16,165,7,29,56
ACA1_331_394,272,240,629,318,57,280
ACA1_342_405,204,246,518,850,208,382
ACA1_353_416,213,127,481,37,248,265
ACA1_364_427,4,0,10,4,9,0
ACA1_375_438,2,1,11,6,8,9
ACA1_386_449,4,1,4,4,2,0
ACA1_397_460,69,55,123,29,9,34
ACA1_408_471,9,38,0,114,10,11
ACA1_419_482,4,1,5,1,5,0
ACA1_426_489,6,0,41,85,8,37
ACE2_1_64,438,412,1126,558,247,410
