,1_0_1,1_0_2
ABF1_1_64,151,172
ABF1_12_75,176,222
ABF1_23_86,214,283
ABF1_34_97,230,285
ABF1_45_108,271,312
ABF1_56_119,242,249
ABF1_67_130,161,196
ABF1_78_141,203,205
ABF1_89_152,184,183
ABF1_100_163,195,170
ABF1_111_174,171,220
ABF1_122_185,180,255
ABF1_133_196,127,168
ABF1_144_207,152,191
ABF1_155_218,199,179
ABF1_166_229,206,252
ABF1_177_240,147,169
ABF1_188_251,261,291
ABF1_199_262,197,271
ABF1_210_273,205,238
ABF1_221_284,166,193
ABF1_232_295,112,113
ABF1_243_306,163,186
ABF1_254_317,154,230
ABF1_265_328,170,235
ABF1_276_339,227,239
ABF1_287_350,268,290
ABF1_298_361,275,261
ABF1_309_372,188,206
ABF1_320_383,107,124
ABF1_331_394,111,151
ABF1_342_405,142,152
ABF1_353_416,166,229
ABF1_364_427,101,145
ABF1_375_438,86,79
ABF1_386_449,113,155
ABF1_397_460,122,136
ABF1_408_471,184,221
ABF1_419_482,172,201
ABF1_430_493,130,157
ABF1_441_504,109,140
ABF1_452_515,110,151
ABF1_463_526,146,173
ABF1_474_537,146,148
ABF1_485_548,151,165
ABF1_496_559,151,186
ABF1_507_570,175,201
ABF1_518_581,192,224
ABF1_529_592,213,241
ABF1_540_603,164,192
ABF1_551_614,215,235
ABF1_562_625,181,213
ABF1_573_636,160,195
ABF1_584_647,92,125
ABF1_595_658,166,199
ABF1_606_669,151,179
ABF1_617_680,121,137
ABF1_628_691,93,118
ABF1_639_702,136,148
ABF1_650_713,89,119
ABF1_661_724,114,148
ABF1_668_731,105,93
ABF2_1_64,176,201
ABF2_12_75,186,194
ABF2_23_86,155,188
ABF2_34_97,109,141
ABF2_45_108,100,154
ABF2_56_119,125,118
ABF2_67_130,95,128
ABF2_78_141,122,148
ABF2_89_152,88,120
ABF2_100_163,123,208
ABF2_111_174,144,164
ABF2_120_183,165,212
ACA1_1_64,167,214
ACA1_12_75,201,212
