,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,6242,8790,10886,9447,3729,8198,19480,11632,7451,14494,3524,5626
Msn2_6_69,2361,7781,3232,2699,1161,2760,5255,2910,1955,3569,1062,2363
Msn2_11_74,2810,10146,3886,5151,1759,3264,9151,5780,3860,6841,2141,4303
Msn2_16_79,3619,8469,6041,6878,2514,5505,13112,8255,5036,10403,2403,5963
Msn2_21_84,5298,9921,12195,16586,7010,15690,14975,10334,9260,17533,8051,13542
Msn2_26_89,5967,11809,13284,14969,7580,13161,19183,12791,10344,20421,5681,11433
Msn2_31_94,2403,2848,5700,5612,2708,9087,8066,5580,4388,7338,4090,4908
Msn2_36_99,3559,979,6500,6721,4652,10873,10056,6887,5686,10133,5322,9793
Msn2_41_104,8556,20820,15942,15050,3447,10117,27423,15771,11138,19770,5817,8748
Msn2_46_109,4130,6094,8627,10872,8192,14061,13739,8994,6463,13265,6269,10821
Msn2_51_114,4797,7745,10498,11820,9468,10219,14189,8041,7892,13746,5955,9803
Msn2_56_119,6931,11785,13537,13920,4862,10259,22349,14110,9271,16297,4969,8248
Msn2_61_124,5752,12824,14974,15720,4076,13102,22225,13708,11071,18656,6636,9747
Msn2_66_129,3971,7753,9124,10583,7967,13479,14059,8592,7051,13516,7507,10949
Msn2_71_134,8635,9442,14613,15177,4595,12284,26508,17027,10512,18155,7425,8765
Msn2_76_139,4208,4888,12790,13087,5911,12222,20873,14177,9320,19189,6035,9721
Msn2_81_144,4968,10007,11995,13182,5556,12233,21117,13592,9063,17622,5626,7819
Msn2_86_149,5715,11356,11121,16484,7003,13181,23613,16018,9152,17311,5696,8568
Msn2_91_154,4059,4772,9961,11449,4777,12607,13928,7419,7213,13470,5510,10217
Msn2_96_159,3088,4802,5891,7448,2752,8161,10736,6415,4540,8290,3660,4397
Msn2_101_164,3927,3949,8518,10256,6352,14105,12766,8147,6491,13075,5365,8754
Msn2_106_169,3167,5122,7384,9061,3569,6708,10945,7608,5835,10976,3391,6321
Msn2_111_174,5914,8729,14209,12735,7435,13027,22656,12770,8599,17830,5632,8603
Msn2_116_179,6834,10919,15660,16694,8878,18228,28059,15715,13160,23683,8740,13834
Msn2_121_184,5757,17450,10379,10265,3326,6559,20402,12507,6232,11732,3997,6511
Msn2_126_189,1520,85,1296,2313,974,2608,4789,2788,1408,2606,1082,1834
Msn2_131_194,3289,5089,3551,3883,1858,4533,11518,6302,3306,6117,2198,3882
Msn2_136_199,3999,6895,4456,4514,3524,4825,15147,9094,3605,7065,2800,4511
Msn2_141_204,2319,7837,3028,4425,2286,5035,10906,7411,2697,5895,2696,4394
Msn2_146_209,9502,4029,11365,13148,4312,11335,28345,17516,9508,16358,4933,7666
Msn2_151_214,3564,7561,7678,13354,7456,13577,15535,9859,7566,15845,7171,12273
Msn2_156_219,3909,9092,10095,12928,7902,13569,14056,9418,8707,16788,6818,11508
