,1_0_1,1_0_2,1_180_1,1_180_2,2_0_1,2_0_2,2_180_1,2_180_2
ABF1_1_64,1182,967,1370,1122,620,135,640,464
ABF1_12_75,1160,918,2241,1957,1407,359,1969,2187
ABF1_23_86,127,168,312,261,187,43,188,286
ABF1_34_97,123,122,282,125,221,107,122,276
ABF1_45_108,444,679,1013,719,473,192,732,724
ABF1_56_119,1142,1369,2381,1911,1174,958,1747,1927
ABF1_67_130,328,395,334,211,298,153,259,358
ABF1_78_141,316,145,474,267,171,150,209,253
ABF1_89_152,896,855,785,512,508,354,261,377
ABF1_100_163,19,4,34,34,17,0,0,0
ABF1_111_174,51,38,31,20,59,5,70,31
ABF1_122_185,89,138,178,166,23,146,73,132
ABF1_133_196,2,26,71,10,41,3,41,72
ABF1_144_207,140,222,452,228,81,108,90,61
ABF1_155_218,72,17,26,116,123,10,93,118
ABF1_166_229,37,0,57,43,165,38,89,90
ABF1_177_240,92,62,137,85,80,63,99,31
ABF1_188_251,154,83,117,178,121,40,100,196
ABF1_199_262,77,22,34,38,16,13,50,96
ABF1_210_273,210,32,32,36,64,148,105,111
ABF1_221_284,3,78,150,99,48,0,38,10
ABF1_232_295,344,327,442,356,220,113,248,194
ABF1_243_306,288,51,312,321,42,58,110,146
ABF1_254_317,347,408,559,396,283,236,473,519
ABF1_265_328,511,290,448,407,384,63,284,219
ABF1_276_339,513,468,408,314,486,87,156,275
ABF1_287_350,777,851,453,348,274,390,280,544
ABF1_298_361,1895,1910,3259,2632,1830,1509,2498,3351
ABF1_309_372,1248,939,1778,1582,830,395,1089,1186
ABF1_320_383,257,58,177,218,31,23,90,181
ABF1_331_394,437,577,1074,781,347,71,416,640
ABF1_342_405,862,657,1075,986,295,135,553,753
ABF1_353_416,350,492,989,792,291,76,613,778
ABF1_364_427,881,843,1469,1279,203,81,679,929
ABF1_375_438,600,312,370,413,224,121,284,336
ABF1_386_449,26,135,276,215,292,151,312,540
ABF1_397_460,200,99,154,146,42,57,78,72
ABF1_408_471,146,17,72,149,21,37,96,195
ABF1_419_482,115,142,182,69,72,16,23,3
ABF1_430_493,3,0,5,14,3,0,0,3
ABF1_441_504,743,635,787,551,400,474,425,371
ABF1_452_515,275,64,171,144,103,103,91,133
ABF1_463_526,54,82,66,56,99,97,143,124
ABF1_474_537,246,273,380,154,82,56,168,214
ABF1_485_548,141,131,179,85,99,39,129,191
ABF1_496_559,324,427,339,459,227,224,172,239
ABF1_507_570,929,862,764,382,405,561,345,224
ABF1_518_581,391,36,129,98,306,291,122,118
ABF1_529_592,1136,881,766,816,464,406,323,499
ABF1_540_603,1867,1353,1530,1081,1372,1211,723,1044
ABF1_551_614,425,312,524,478,304,353,471,439
ABF1_562_625,297,86,341,317,121,49,166,82
ABF1_573_636,139,85,253,104,124,61,113,122
ABF1_584_647,0,105,11,65,50,64,22,32
ABF1_595_658,48,58,67,57,108,41,78,77
ABF1_606_669,28,54,16,1,205,158,71,94
ABF1_617_680,145,240,408,155,125,214,160,260
ABF1_628_691,4,10,23,9,20,24,40,51
ABF1_639_702,604,131,450,399,310,170,305,442
ABF1_650_713,256,44,145,112,145,119,233,229
ABF1_661_724,69,115,90,152,79,0,44,78
ABF1_668_731,17,0,20,37,46,0,28,85
ABF2_1_64,991,364,779,538,600,204,531,807
ABF2_12_75,1086,918,1278,1368,532,604,1102,1315
ABF2_23_86,279,133,517,482,149,110,262,172
ABF2_34_97,342,712,545,404,304,169,400,569
ABF2_45_108,998,1387,1341,1063,577,639,781,1101
