,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF1_1_64,361,0,531,133,0,316,364,230,417,105,107,314
ABF1_12_75,400,311,570,436,187,467,392,0,752,528,61,619
ABF1_23_86,321,281,307,306,109,423,514,256,728,358,597,376
ABF1_34_97,273,1056,292,419,209,808,351,327,332,465,358,500
ABF1_45_108,650,513,688,646,29,980,634,866,987,762,113,1154
ABF1_56_119,436,170,435,623,1,703,355,655,902,967,0,1056
ABF1_67_130,300,381,395,228,64,290,469,39,322,261,427,274
ABF1_78_141,478,387,600,352,39,390,395,475,939,562,408,702
ABF1_89_152,691,1007,329,335,111,180,1233,901,730,302,87,319
ABF1_100_163,551,736,490,384,108,351,1048,370,840,396,39,501
ABF1_111_174,168,134,134,65,8,41,270,214,105,149,0,169
ABF1_122_185,356,415,534,309,189,352,477,468,781,414,342,599
ABF1_133_196,138,283,227,276,62,532,383,98,445,276,114,421
ABF1_144_207,460,253,511,268,220,409,416,0,679,453,471,646
ABF1_155_218,317,416,354,412,0,469,324,360,621,500,492,776
ABF1_166_229,176,412,411,383,0,665,368,363,482,644,157,749
ABF1_177_240,386,487,353,350,81,439,412,312,734,822,201,643
ABF1_188_251,458,318,736,372,301,951,491,302,861,528,524,608
ABF1_199_262,527,309,764,374,269,460,388,468,542,328,701,430
ABF1_210_273,137,298,245,318,60,389,394,110,519,489,73,666
ABF1_221_284,287,304,379,240,171,273,423,479,622,446,237,421
ABF1_232_295,304,238,664,283,200,221,546,10,845,392,207,280
ABF1_243_306,208,475,414,485,159,630,414,780,587,420,99,686
ABF1_254_317,404,680,441,430,72,676,424,188,810,715,386,609
ABF1_265_328,350,523,441,421,103,797,379,182,637,714,136,441
ABF1_276_339,308,281,305,305,37,256,716,539,568,332,180,313
ABF1_287_350,633,653,548,287,182,300,977,755,796,523,1109,525
ABF1_298_361,786,549,1449,573,650,677,1098,465,1791,393,1105,779
ABF1_309_372,581,186,604,357,107,678,635,443,1195,712,679,771
ABF1_320_383,217,53,217,227,131,300,363,173,553,307,389,393
ABF1_331_394,468,666,715,316,88,582,804,126,1435,408,509,474
ABF1_342_405,367,215,424,283,93,214,789,434,1110,290,271,332
ABF1_353_416,566,182,831,423,355,376,482,361,897,426,646,573
ABF1_364_427,145,122,180,347,322,347,385,781,429,416,337,611
ABF1_375_438,90,390,131,504,0,463,79,563,155,392,0,422
ABF1_386_449,153,186,151,311,147,794,78,1717,197,819,172,820
ABF1_397_460,254,692,276,418,66,723,562,271,641,548,50,565
ABF1_408_471,116,72,16,38,0,112,459,179,145,39,0,98
ABF1_419_482,372,409,327,217,0,157,502,499,423,185,138,201
ABF1_430_493,195,323,58,58,0,87,167,311,41,77,0,80
ABF1_441_504,499,280,597,188,0,262,568,512,639,179,226,243
ABF1_452_515,157,104,255,212,188,208,382,202,435,324,140,294
ABF1_463_526,499,1,349,196,60,320,548,351,749,336,51,504
ABF1_474_537,281,254,165,309,0,445,306,344,333,341,3,454
ABF1_485_548,335,333,532,260,224,338,460,282,503,547,568,584
ABF1_496_559,412,299,580,228,0,380,405,655,608,503,174,422
ABF1_507_570,590,476,705,477,120,322,917,459,1022,858,384,551
ABF1_518_581,619,386,355,237,17,240,746,255,461,459,4,299
ABF1_529_592,518,627,381,531,127,299,779,371,692,631,82,676
ABF1_540_603,849,1103,698,846,44,321,1163,1417,1103,753,39,474
ABF1_551_614,289,472,586,433,225,506,737,379,734,420,341,589
ABF1_562_625,455,13,386,325,48,419,570,198,923,372,331,513
ABF1_573_636,415,489,600,331,220,332,569,115,708,625,224,397
ABF1_584_647,601,285,483,129,75,140,921,206,719,376,106,230
ABF1_595_658,305,48,281,194,189,176,278,37,409,238,227,292
ABF1_606_669,208,293,235,297,53,194,452,946,602,380,279,194
ABF1_617_680,282,235,327,216,125,170,375,105,907,254,490,375
ABF1_628_691,217,196,195,205,118,299,307,384,276,405,0,418
ABF1_639_702,267,479,470,565,46,774,350,861,377,722,150,842
ABF1_650_713,211,199,548,348,43,305,324,27,638,499,259,495
ABF1_661_724,142,267,270,140,0,305,257,580,276,347,180,362
ABF1_668_731,63,186,78,126,0,210,303,834,282,178,264,217
ABF2_1_64,231,358,318,424,1,808,582,824,631,289,283,589
ABF2_12_75,356,499,587,637,0,832,399,855,636,490,548,851
ABF2_23_86,574,411,373,317,308,298,610,255,543,210,241,381
ABF2_34_97,458,431,515,170,382,298,518,221,832,341,206,381
ABF2_45_108,265,359,431,132,104,16,559,211,373,176,219,326
ABF2_56_119,403,396,188,234,52,187,335,766,403,580,89,338
ABF2_67_130,120,1,325,110,0,157,245,324,391,179,72,250
ABF2_78_141,290,396,141,341,0,288,140,311,367,570,53,389
ABF2_89_152,130,25,16,63,0,85,153,209,204,146,0,121
ABF2_100_163,188,1,248,242,31,142,377,123,545,216,223,207
ABF2_111_174,536,454,675,226,249,224,513,143,808,258,172,288
ABF2_120_183,149,471,230,204,92,376,326,216,287,398,459,474
ACA1_1_64,197,452,291,325,54,513,321,224,477,411,127,619
ACA1_12_75,361,59,470,316,9,420,583,565,661,374,149,401
ACA1_23_86,380,608,772,584,157,1048,651,1039,848,742,1090,813
ACA1_34_97,527,1112,957,931,161,1669,1258,899,1848,1206,850,1557
ACA1_45_108,397,538,501,330,481,488,536,505,698,453,606,951
ACA1_56_119,194,663,275,242,37,759,330,371,426,495,143,495
ACA1_67_130,425,284,669,567,125,965,897,818,800,491,322,754
ACA1_78_141,728,675,1212,486,338,878,1122,332,1444,563,937,888
ACA1_89_152,265,231,248,620,237,449,398,366,591,693,80,646
ACA1_100_163,475,539,656,528,109,999,406,1526,598,903,277,756
ACA1_111_174,1093,429,991,517,210,600,1274,870,1495,692,136,538
ACA1_122_185,483,986,734,651,296,664,630,881,687,863,117,512
ACA1_133_196,456,293,819,815,67,845,630,843,1007,981,128,1130
ACA1_144_207,655,1221,831,802,88,778,639,1094,1134,672,73,660
ACA1_155_218,627,601,995,749,179,748,1066,93,1475,815,655,1015
ACA1_166_229,616,214,441,404,54,652,885,351,830,143,17,790
ACA1_177_240,405,559,535,870,0,677,403,688,954,776,776,1196
ACA1_188_251,565,215,1374,710,281,1325,758,182,1332,1016,1261,1254
ACA1_199_262,1107,436,1644,643,317,401,1328,44,1722,732,661,682
ACA1_210_273,622,818,487,697,23,832,937,1943,856,888,312,897
ACA1_221_284,823,1572,700,512,0,383,1310,1184,1330,787,386,595
ACA1_232_295,749,383,557,287,91,467,759,1324,626,487,210,475
ACA1_243_306,353,541,577,489,296,776,802,240,1237,635,1012,897
ACA1_254_317,271,1449,298,1083,1,981,547,581,698,1018,335,981
ACA1_265_328,234,346,372,355,1,390,458,90,620,388,253,534
ACA1_276_339,813,805,1218,622,302,590,516,735,992,664,289,1134
ACA1_287_350,323,137,346,272,0,484,256,677,429,262,165,424
ACA1_298_361,165,398,334,334,89,645,311,199,570,332,99,648
ACA1_309_372,81,391,143,219,67,465,211,554,312,252,221,359
ACA1_320_383,92,88,103,159,0,218,236,44,322,122,84,175
ACA1_331_394,186,152,262,378,180,499,308,486,563,598,170,727
ACA1_342_405,346,673,588,276,316,505,544,966,636,449,53,582
ACA1_353_416,552,326,724,439,325,527,384,226,758,419,288,633
ACA1_364_427,228,0,237,160,0,213,172,224,139,128,43,115
ACA1_375_438,95,170,50,109,0,192,39,233,121,81,182,335
ACA1_386_449,8,261,0,135,0,73,16,205,15,94,0,90
ACA1_397_460,49,0,86,51,0,11,198,104,163,54,48,114
ACA1_408_471,24,103,138,58,0,34,35,0,29,97,6,32
ACA1_419_482,71,72,78,61,0,14,69,0,116,64,5,64
ACA1_426_489,83,81,70,47,48,102,162,379,89,181,0,127
ACE2_1_64,321,784,562,348,76,545,562,98,786,520,220,640
ACE2_12_75,202,214,239,95,160,170,129,560,242,172,218,250
ACE2_23_86,206,100,302,289,56,397,300,0,363,385,440,381
ACE2_34_97,43,47,166,231,0,148,219,0,318,142,408,378
ACE2_45_108,345,263,582,183,165,443,455,291,732,442,449,513
ACE2_56_119,460,661,415,220,179,368,739,269,599,289,411,282
ACE2_67_130,131,109,194,197,1,172,311,549,296,237,138,297
ACE2_78_141,248,72,178,318,131,558,425,613,667,533,615,679
ACE2_89_152,349,332,393,312,411,367,661,383,743,411,458,544
ACE2_100_163,372,1108,570,582,307,770,671,1338,995,684,281,860
ACE2_111_174,197,104,194,171,3,69,236,741,284,210,239,187
ACE2_122_185,172,385,220,244,0,409,272,604,398,530,0,304
ACE2_133_196,96,98,114,103,0,95,265,36,323,172,78,159
ACE2_144_207,255,313,157,43,41,131,355,38,391,159,136,176
ACE2_155_218,174,288,34,170,0,150,230,168,187,124,97,296
ACE2_166_229,80,212,132,78,101,152,223,112,387,131,0,187
ACE2_177_240,127,76,129,41,0,219,95,52,163,62,0,124
ACE2_188_251,451,1,181,57,0,194,399,82,132,83,107,122
ACE2_199_262,44,383,52,231,0,292,101,298,42,468,0,183
ACE2_210_273,115,255,5,81,33,89,151,396,141,216,0,108
ACE2_221_284,463,584,242,279,30,169,740,466,491,323,68,184
ACE2_232_295,775,676,1117,745,57,510,1095,1162,1307,545,268,822
ACE2_243_306,808,301,675,154,109,342,1082,335,535,454,350,342
ACE2_254_317,389,534,342,261,184,124,377,356,591,214,563,262
ACE2_265_328,482,309,599,329,60,316,683,389,795,282,151,402
ACE2_276_339,323,545,626,423,95,608,369,288,521,410,157,838
ACE2_287_350,266,146,264,324,45,304,175,183,314,285,94,459
ACE2_298_361,239,228,314,227,60,456,321,188,836,568,262,580
