,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,15234,14532,25412,25866,15159,20473,20531,35876,12324,9982,7884,14434
Msn2_6_69,6144,11184,6447,6922,4966,7942,6801,14024,5024,3626,4640,6470
Msn2_11_74,6555,8443,11595,12143,7793,9919,8919,13581,6357,3980,4952,5204
Msn2_16_79,10261,9093,16990,20238,9471,17214,14946,20783,7241,5502,7553,11798
Msn2_21_84,12465,13108,21307,27411,20657,31661,13286,23057,13302,8958,15129,22620
Msn2_26_89,10983,12815,20185,26795,13413,22174,15146,24026,16405,9596,11775,18691
Msn2_31_94,6200,5349,13395,16519,10223,19114,12258,16572,7834,5551,8821,13735
Msn2_36_99,9904,10504,14493,21066,19081,22193,15632,22031,12627,7842,12435,22389
Msn2_41_104,17139,10499,27011,28868,16588,23716,19109,33579,15330,11624,9771,17115
Msn2_46_109,13377,10355,16672,26399,20820,29829,18716,29186,15079,11338,17736,31857
Msn2_51_114,7936,9428,14743,17490,12548,22030,14015,18243,13559,7221,11490,18602
Msn2_56_119,16409,15712,31008,30401,14530,21013,15687,29054,13649,8969,9844,12870
Msn2_61_124,14276,15181,29684,32628,19960,28422,20144,32063,14847,12597,13782,18647
Msn2_66_129,11371,7426,22013,26025,19718,26922,13755,24086,12812,8740,16712,25070
Msn2_71_134,18271,15924,24778,36432,17253,24066,23175,38318,16250,10575,11410,12866
Msn2_76_139,13927,13752,24102,30747,19527,24608,17376,25300,13958,9364,13558,17023
Msn2_81_144,11533,12890,22537,28611,15382,21723,16812,30745,11794,8131,7665,15668
Msn2_86_149,14085,17982,25462,27677,14897,18388,14685,22563,12189,7085,10168,12797
Msn2_91_154,9845,11762,13197,21516,16992,20682,16616,18851,11637,9463,12339,17267
Msn2_96_159,9816,5643,15457,20975,10844,18575,9916,22229,10486,7374,8834,13988
Msn2_101_164,8792,8006,16433,21533,15910,20964,14543,23018,12732,7728,13763,22991
Msn2_106_169,8093,10092,15081,20702,12733,13721,13239,20725,10003,8974,6323,10898
Msn2_111_174,10609,14781,24818,36360,19232,22891,18727,28058,11376,8773,11675,12871
Msn2_116_179,15976,18592,30280,34387,21434,32458,19701,30163,16646,12304,15524,22763
Msn2_121_184,15233,11983,19004,24262,11709,15393,18915,27001,10088,7645,6942,11923
Msn2_126_189,3608,6397,5561,5799,3775,6355,6880,7533,2323,2435,1982,6606
Msn2_131_194,10917,11904,11939,17494,6022,9606,12187,17010,6534,3902,4038,6867
Msn2_136_199,13108,11919,14549,14649,10135,12764,14693,25696,6313,4525,6605,7735
Msn2_141_204,9203,13366,11320,10944,7360,10739,12520,19806,6914,4489,5271,7936
Msn2_146_209,16734,18106,22180,27127,10850,17152,23607,34908,13808,8386,6747,13127
Msn2_151_214,14828,16483,27906,38231,25908,38901,24293,29935,21280,14465,24626,34852
Msn2_156_219,9566,7228,13954,20456,14574,24010,12647,21634,14303,9526,14607,21355
Msn2_161_224,17521,18542,26821,27770,15247,18489,16085,33019,12789,8784,7393,12560
Msn2_166_229,13790,13155,25490,36680,14439,22729,19315,34399,16835,10546,9247,14906
Msn2_171_234,12083,10517,17881,26752,15609,24409,15307,25877,16070,9585,11039,17339
Msn2_176_239,12710,14702,22218,27646,17851,24017,15980,20831,14734,8773,13421,20239
Msn2_181_244,12513,10377,23234,29988,21180,31382,15290,27274,16074,11781,17324,27184
Msn2_186_249,14956,10955,23250,31106,18700,26665,15615,27645,14191,11309,11875,15563
Msn2_191_254,15984,13351,31350,38324,27664,33154,18917,31707,19503,12621,18436,29840
Msn2_196_259,11724,13719,18595,27820,19002,20432,15506,24314,13424,8626,13462,17120
Msn2_201_264,16230,15891,23521,29646,16876,24903,20342,26492,15159,9888,10816,13744
Msn2_206_269,12354,8219,15061,16317,6392,8349,17028,20662,7455,5432,4424,4702
Msn2_211_274,8894,10533,11543,13695,6895,8752,12114,20195,6201,4152,3012,5317
Msn2_216_279,9868,12277,14981,15712,7469,9129,10491,20823,7003,6140,2884,7183
Msn2_221_284,6814,8672,8369,11183,4769,5007,8122,17513,5301,2448,3125,4067
Msn2_226_289,12722,12028,14286,18366,7718,10136,14176,21027,6646,3896,4438,6350
Msn2_231_294,9854,8246,13089,16163,9891,11126,12902,20435,8677,6793,5785,5946
Msn2_236_299,11693,12933,14739,22143,10007,13919,14417,21674,8780,5654,5358,9154
Msn2_241_304,15135,11170,17183,19976,7902,13552,15101,26120,9264,6648,6305,6928
Msn2_246_309,21864,19103,34740,47393,23249,32020,25872,41040,22157,14013,14907,24833
Msn2_251_314,25354,37523,39797,50958,29467,34908,35826,51150,24440,17513,16401,20713
Msn2_256_319,18039,15997,29645,36167,19231,27803,22881,35519,17004,11351,12354,21502
Msn2_261_324,14376,11109,20187,28698,21815,32663,16789,30147,15633,11865,19761,26514
Msn2_266_329,9652,10799,15594,24358,16244,24097,13133,19391,15491,7710,11756,22926
Msn2_271_334,6776,5801,13621,16128,12436,20448,11470,16776,10991,6763,10672,14795
Msn2_276_339,6523,10656,13029,21422,13469,18623,11623,17440,9262,5354,11183,16727
Msn2_281_344,12413,12269,13865,16989,11788,15049,13251,24977,8770,6148,6442,9388
Msn2_286_349,7268,7149,9771,9794,7002,9622,7485,17902,4204,3033,3794,6955
Msn2_291_354,4567,6624,7413,8599,4528,4226,7145,8455,3567,2747,2276,5612
Msn2_296_359,11699,7584,17431,22388,9370,13774,14008,21732,8726,5128,6127,9701
Msn2_301_364,9308,9907,19137,25864,13591,20025,12185,19587,11127,6498,10783,14323
Msn2_306_369,8250,10358,15494,17957,12408,14766,11114,19264,8215,4724,5160,7399
Msn2_311_374,8357,4388,12761,16434,11815,13587,9854,17195,8123,5503,7006,12598
Msn2_316_379,3170,4554,7095,6037,3798,5680,4607,8120,3065,1868,2340,3664
Msn2_321_384,5004,4341,5625,5300,3620,3522,3784,6276,1909,1362,1323,2724
Msn2_326_389,5620,2892,10386,14512,7684,11181,6554,9147,4660,3794,4286,4881
Msn2_331_394,5584,7527,11837,13714,7144,12510,8405,12005,5167,4319,3440,5574
Msn2_336_399,7077,5325,14186,17311,10923,13290,8673,16858,10604,6024,7601,9822
Msn2_341_404,4576,4266,6520,6190,5191,5068,4852,8419,2742,2441,2429,4766
Msn2_346_409,2828,2819,8826,7725,5764,8454,6675,9526,6434,4572,5857,9509
Msn2_351_414,4188,2208,6319,8278,7172,8632,3561,7937,4869,3214,4723,6955
Msn2_356_419,5614,1363,5263,8797,6666,9225,6036,8837,6048,2926,5712,7179
Msn2_361_424,3606,2927,5053,10424,6319,13987,5712,11093,5403,2963,5238,8714
Msn2_366_429,10296,11459,18330,18678,9581,12510,13297,19325,9933,7434,5724,11363
Msn2_371_434,3423,2509,2785,3028,3469,2710,3056,5871,2045,1278,1782,3662
Msn2_376_439,6315,5348,9810,12657,7763,12066,10139,14005,4352,3749,5026,6924
Msn2_381_444,12822,8334,21845,24577,16436,19210,20897,25629,11492,7887,10956,14458
Msn2_386_449,11864,14721,22751,27073,18129,21355,16355,25854,13920,8987,10374,16419
Msn2_391_454,12756,11043,18667,25125,12300,15522,15141,26021,11624,7076,7795,12753
Msn2_396_459,16824,17915,23047,29099,14975,18874,19400,32503,12325,10221,9780,14464
Msn2_401_464,14072,12873,25412,33873,22081,28968,18119,28031,18943,13888,16072,22018
Msn2_406_469,5407,7416,8828,11805,5224,8545,8780,15827,4466,2353,2674,4920
Msn2_411_474,7866,6560,8324,11152,7654,10470,12109,16353,4635,3593,4567,6760
Msn2_416_479,12647,10293,13842,20019,8600,11849,16361,22704,5346,3999,5217,9141
Msn2_421_484,8732,6875,9430,15004,9858,13717,12741,19596,5224,3736,5197,8879
Msn2_426_489,11225,10075,16039,21487,10200,15645,14591,24857,8043,6620,6944,11030
Msn2_431_494,6010,7561,9854,11160,5182,7141,8315,12844,4835,3324,2847,7100
Msn2_436_499,4347,2808,6628,8269,4599,6414,6075,10111,3770,2778,3236,6114
Msn2_441_504,14824,10534,22782,37126,19476,31578,19339,31623,16131,12126,13564,21809
Msn2_446_509,9040,15652,16973,22850,17210,25298,13763,22437,10986,8712,13148,20076
Msn2_451_514,14236,15892,25535,33895,19638,29225,19666,26371,14377,10833,11449,21178
Msn2_456_519,10310,11081,22375,26176,20083,25506,16476,24956,13443,10698,15292,24893
Msn2_461_524,9498,7648,21167,29715,15162,23508,14865,22630,11559,9366,9694,18787
Msn2_466_529,10728,12618,19983,26385,18492,24480,12997,25415,14415,9032,13870,23148
Msn2_471_534,8312,10290,11174,16178,7957,14622,11960,21590,4320,3917,8244,9918
Msn2_476_539,20414,20944,35008,42872,21645,32741,24971,39155,18446,13492,13466,23093
Msn2_481_544,12760,9282,22520,28581,23368,29059,18606,22058,16055,10746,16651,28300
Msn2_486_549,17290,18052,31597,31285,17011,20405,22572,38158,13918,9851,10096,17276
Msn2_491_554,20154,20669,38570,47956,38842,53553,23548,37107,29567,18185,25521,41604
Msn2_496_559,8969,6483,17015,21303,17219,23579,14809,24026,13239,8513,12620,21399
Msn2_501_564,24169,26552,41082,56672,50966,66298,30797,52164,34448,23378,32675,52184
Msn2_506_569,11187,14163,19391,32010,21623,29751,16987,22931,16905,11698,20802,27602
Msn2_511_574,16632,18719,30272,33473,21388,29926,19670,30800,16441,12956,16387,21352
Msn2_516_579,19894,22445,29449,42838,35777,50406,20557,42848,24206,16405,26458,49241
Msn2_521_584,13335,15912,22404,38076,32839,47933,21046,33462,19125,15879,26137,37648
Msn2_526_589,30820,29434,50074,62096,37165,50468,35314,57211,31968,21343,24829,38458
Msn2_531_594,26182,25740,39556,59884,48032,64820,29252,49759,34216,21840,35280,62167
Msn2_536_599,24730,26492,49871,55342,32963,47606,31624,50317,29968,21020,23482,34150
Msn2_541_604,16902,15183,32292,37731,20019,30044,20448,35656,17483,12342,13225,26629
Msn2_546_609,20827,15935,34362,38336,20559,34324,24910,39974,21895,13940,15421,26055
Msn2_551_614,18573,19954,29436,42314,20360,27753,24025,36662,19944,14653,16240,21188
Msn2_556_619,10615,9737,12682,10952,7092,8167,11277,17733,6601,4422,4365,7910
Msn2_561_624,13737,12192,24368,23404,11436,14788,16539,30232,12100,8145,7272,9296
Msn2_566_629,14327,9140,12676,19185,6528,10028,15922,31348,8683,5464,5123,8261
Msn2_571_634,11086,10060,16580,18833,6854,12587,15062,23927,8156,6445,5462,7163
Msn2_576_639,7264,4559,13405,12856,9482,13386,7906,13502,5896,4908,6181,11212
Msn2_581_644,6545,5673,10998,12152,8878,12798,10221,13672,6860,4987,5390,9449
Msn2_586_649,8396,6850,10419,16198,9656,12582,9315,14945,6912,5387,5780,7625
Msn2_591_654,7978,4394,8339,12189,6903,7241,8912,11087,5193,2879,3305,5051
Msn2_596_659,4170,4734,6873,7128,3574,4118,6384,8599,3342,2385,3152,2837
Msn2_601_664,3962,3038,6015,8037,4819,5989,5185,9862,4229,3141,4286,6947
Msn2_606_669,3804,2759,5683,5685,6660,7773,5387,8213,4090,2689,3930,7626
Msn2_611_674,3903,4027,4833,5283,4582,6103,5120,6610,4198,1982,2255,4564
Msn2_616_679,3003,1804,5114,5800,3992,3738,2797,6195,2641,1369,3040,4751
Msn2_621_684,4068,3085,4560,5677,3761,3993,6281,9113,2166,2150,3446,5385
Msn2_626_689,14048,13336,10980,12040,4994,10033,21787,30597,7014,4420,5047,8065
Msn2_631_694,20840,18601,32615,37352,20922,25939,22388,33822,17821,11273,12659,23712
Msn2_636_699,6957,3491,6557,8563,5447,6501,7028,11558,4282,2704,3815,5462
Msn2_641_704,11525,7762,13068,15218,9411,14410,13945,23898,5860,5422,5045,7197
GSY1_1_64,10441,13264,23787,28643,13258,22750,15823,26444,12051,8023,11856,13143
GSY1_91_154,19971,15224,27682,36465,32417,48148,27958,40878,26679,15639,24662,40825
GSY1_181_244,16644,14829,31768,43992,38784,61446,23508,32210,24428,17389,31235,50328
GSY1_271_334,11336,9018,15005,18964,18407,25349,16188,22140,14642,6676,12616,26687
GSY1_361_424,11021,10695,19136,27403,19791,24587,20160,29859,17278,12666,17033,24813
GSY1_451_514,15287,20764,24671,32142,27251,40766,22159,36780,25368,14675,27321,36979
GSY1_541_604,7780,6717,15129,21071,16193,18738,9002,17901,11244,7110,10838,16531
HXK1_1_64,12919,13529,20933,21435,9742,17357,17834,26695,12242,6062,8233,11790
HXK1_91_154,17719,14709,34843,43269,37399,52993,23930,36841,24847,15996,28262,41836
HXK1_181_244,13348,15063,25551,33133,26383,34205,21298,27861,15613,11456,22850,38911
HXK1_271_334,18512,13449,23805,34625,31188,37140,19828,29085,16915,13019,24579,38685
HXK1_361_424,8925,7455,14712,22431,17881,21099,13372,19960,11034,7762,14071,19994
TDH3_1_64,15691,12722,32472,35989,21435,28490,18431,28916,14561,10412,13328,19497
TDH3_91_154,26399,29145,51147,68144,53846,76761,34614,57946,36862,23138,41383,60496
TDH3_181_244,35272,36832,71581,74022,46173,59992,39483,61600,29923,25668,27641,35638
