,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF2_46_109,3665,4145,10107,4442,7713,6577
ABF2_118_181,1804,2345,6724,2639,7156,4288
ABF2_48_111,4542,3459,10759,4097,7278,6062
ABF2_117_180,4544,4689,7362,7156,6016,4187
ACA1_381_444,406,600,600,1451,772,451
ACA1_383_446,154,113,416,241,717,261
ACA1_382_445,300,219,459,353,386,303
ACE2_601_664,7377,8059,17474,10293,14894,10596
ADR1_100_163,2340,2367,3941,3890,2999,2073
AFT2_42_105,7517,10063,15621,9103,19304,10971
AFT2_85_148,1578,1459,2409,2334,2647,1590
ARG80_79_142,9562,9382,14705,17785,16001,9990
ARG80_76_139,11123,16000,21409,23263,27698,15146
ARG80_88_151,9142,11181,17138,13096,18929,11397
ARR1_223_286,3750,4872,7688,4184,10030,4929
ARR1_15_78,4041,5416,10901,4338,9493,5977
ASG1_7_70,1264,945,1662,2558,1262,1293
ASH1_488_551,3592,4763,7364,5693,7963,5741
AZF1_572_635,10122,3651,15137,15778,8493,7485
AZF1_600_663,4840,4768,8820,4306,9511,5481
AZF1_628_691,2870,2610,5874,3811,4126,3295
AZF1_658_721,3245,2106,5461,4409,4060,3483
AZF1_598_661,4886,6107,11669,6796,11433,7386
AZF1_638_701,2085,2192,5295,1528,4505,3145
BAS1_160_223,620,924,1156,1032,1078,977
BAS1_106_169,2833,1813,2020,2566,2213,1685
BAS1_44_107,8030,9186,18534,11096,16899,12015
BAS1_107_170,1191,859,2353,1391,2117,1719
BAS1_131_194,1627,2354,3430,4077,4034,2845
CAD1_36_99,569,949,2133,1486,1982,1021
CAD1_346_409,4888,7969,13232,9088,14868,8503
CAD1_42_105,1115,1244,1693,1670,1694,1609
CAD1_40_103,682,510,640,833,703,594
CBF1_215_278,9006,4243,11109,13732,5989,5856
CBF1_220_283,4160,3720,7735,5787,7146,4694
CBF1_216_279,2835,1855,10056,4844,7975,6073
CIN5_232_295,368,484,1209,425,1540,798
CMR3_251_314,3552,3235,6895,4422,5805,4960
COM2_380_443,2573,1655,4706,6702,4260,2790
CRZ1_548_611,1237,2396,4519,1662,5278,2935
CRZ1_576_639,2147,2165,3966,2102,3819,2727
CRZ1_562_625,1123,1206,3172,1771,2666,2171
CST6_422_485,1839,2556,3710,2462,3447,2671
CST6_424_487,486,1309,3747,779,4281,2698
CST6_423_486,1244,1929,4390,1365,4206,2549
CTH1_186_249,3806,3940,6229,3061,6768,3876
CTH1_224_287,2236,2466,5493,2502,5471,3502
CTH1_187_250,1219,1472,6227,1280,6319,3636
CUP2_1_64,7288,3514,9496,14232,6078,5549
CUP9_168_231,2497,3964,7315,2838,6989,5107
CUP9_164_227,2212,2844,5562,2766,4779,3585
CUP9_160_223,3585,2169,4982,6259,4226,3612
DAL80_16_79,4350,4125,8574,10433,8456,5796
DAL80_18_81,4772,3184,6712,6646,5320,4026
DAL80_25_88,4265,4068,8494,8134,7310,5316
DOT6_63_126,5487,3880,8257,9024,6703,5337
ECM23_120_183,1131,1106,2178,1630,1816,1734
ENV11_78_141,1594,1759,7912,1489,7108,4684
ENV11_77_140,3322,3869,6097,3344,4478,3588
FHL1_469_532,5758,9808,15812,5842,21821,10566
FHL1_307_370,2176,2453,3732,3831,4013,3083
FHL1_296_359,7234,10096,13890,10311,17101,9090
