,1_0_1,1_0_2,1_180_1,1_180_2,2_0_1,2_0_2,2_180_1,2_180_2
ABF2_46_109,17678,14168,10510,14736,9686,18234,9950,14647
ABF2_118_181,13145,10494,12027,8612,3277,4875,1245,5017
ABF2_48_111,19187,16576,23219,18688,8797,15985,10731,18665
ABF2_117_180,17092,13004,5125,7012,11342,18918,13791,5004
ACA1_381_444,5263,3721,9733,2551,3524,4762,2699,765
ACA1_383_446,4187,5072,6508,4206,1669,2382,1292,5425
ACA1_382_445,3386,2817,1486,220,2237,3106,1272,5504
ACE2_601_664,26697,21192,25232,10083,12812,21966,23243,10894
ADR1_100_163,16248,15509,17326,13363,8747,14423,13689,9401
AFT2_42_105,24187,19454,12804,17686,12981,20923,14443,33696
AFT2_85_148,34170,25180,16084,26633,15962,24706,27585,19226
ARG80_79_142,14018,10801,2339,5739,7691,11091,8410,3689
ARG80_76_139,29586,26807,14646,15037,16108,25729,11267,9842
ARG80_88_151,20954,15504,5044,1726,10996,16949,11307,3849
ARR1_223_286,28399,27519,21949,25332,14995,23261,26999,20217
ARR1_15_78,13453,11871,16163,7981,7798,12717,16891,4983
ASG1_7_70,17622,14464,16193,14875,8846,15380,11907,14415
ASH1_488_551,8275,6132,8920,1407,5366,6125,3347,1018
AZF1_572_635,26398,22307,22170,15129,15157,24886,17049,23986
AZF1_600_663,12247,12831,1068,3564,5890,9638,3838,5888
AZF1_628_691,22987,18241,7611,20776,11419,19607,13113,16031
AZF1_658_721,19314,14922,34062,26329,9560,12726,31584,16623
AZF1_598_661,16399,14205,6953,4786,7946,15097,18840,3839
AZF1_638_701,13783,11715,8837,1567,6620,11074,21669,3722
BAS1_160_223,8535,6516,5488,11987,4365,6649,4244,3143
BAS1_106_169,11753,11125,5323,1601,9141,14392,9742,7657
BAS1_44_107,22732,19779,20123,23620,13293,20018,17361,18745
BAS1_107_170,14333,9937,5446,7259,3381,6204,4127,6218
BAS1_131_194,13714,12179,10235,5364,6844,11007,8129,7355
CAD1_36_99,14236,10327,15434,16811,6953,11187,16605,11222
CAD1_346_409,14927,12129,1343,10788,8268,11691,11097,9604
