,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Med15_1_64,41699,30922,21398,26524,53784,44785,24459,24795,26381,40386,40676,39909
Med15_6_69,10845,6858,7494,9322,17239,13972,5990,5915,6821,9036,13212,14304
Med15_11_74,6081,6472,4073,7258,9447,9066,6025,4816,5386,7729,13805,11898
Med15_16_79,18348,12486,11205,15057,17978,19538,13428,14370,15191,14374,19682,14784
Med15_21_84,30450,23058,15897,22862,24328,20563,25251,18835,20917,26344,25984,22914
Med15_26_89,21466,14860,10606,12695,16994,11609,16324,15312,9999,12783,12480,11925
Med15_31_94,21848,18898,8868,12557,17752,15086,18603,17697,13163,14543,12880,10961
Med15_36_99,7181,4532,4069,5484,5131,6931,3973,4456,4831,6029,5627,5667
Med15_41_104,35290,32744,20958,24036,25948,21532,26477,31628,22211,27135,20193,16486
Med15_46_109,21009,19313,10367,14362,20604,16857,17300,14114,12926,20469,16766,16840
Med15_51_114,14239,11850,6204,7625,6801,5622,11729,11717,6840,8877,9266,6100
Med15_56_119,15329,10397,3329,6375,8945,5159,8894,9417,3547,6744,3963,5189
Med15_61_124,9740,11203,4140,3937,4184,5202,9196,10076,4787,6248,5691,5667
Med15_66_129,20209,13529,9384,12002,15881,13006,15045,12259,11218,18588,13755,11371
Med15_71_134,25823,12706,9827,12470,16205,10415,12842,17043,8535,13097,13018,10382
Med15_76_139,19801,18718,12138,14858,21289,13128,12737,14963,13559,14991,12480,11447
Med15_81_144,10902,7935,5551,8044,8340,6614,8804,9408,8880,11439,8242,9054
Med15_86_149,12745,11892,8906,10282,14111,10273,8396,10605,9207,11430,9343,10740
Med15_91_154,16794,13526,7476,11838,21130,14385,16348,12141,10971,17026,18840,14554
Med15_96_159,6942,5380,2149,3509,3201,3330,4036,4535,2948,3964,2413,3653
Med15_101_164,5999,3859,1852,1928,5305,3138,1693,2246,2425,1995,2162,1969
Med15_106_169,5173,3741,1437,1756,4849,2910,2255,3589,1599,3864,5551,3741
Med15_111_174,17796,11823,8604,10980,16721,12342,9991,15402,9366,12834,12762,13600
Med15_116_179,1310,1705,774,910,2121,1518,1105,1375,792,673,1641,1379
Med15_121_184,7238,4395,2996,2245,5084,5912,2877,3602,4104,3275,6690,4585
Med15_126_189,15455,9790,5972,8094,10177,9320,9172,11874,8518,9616,10094,9021
Med15_131_194,13792,11695,6343,8156,6668,8288,8093,12202,7155,7348,4913,6035
Med15_136_199,31363,20748,18141,22415,39639,32883,17063,23229,27233,31728,40474,32990
Med15_141_204,14441,13621,8433,8626,14533,14187,10916,11629,9687,9842,13102,10139
Med15_146_209,7156,8071,3725,3082,6999,5567,5488,4891,2529,3878,4741,4893
Med15_151_214,16020,10461,5603,7831,13033,9024,7468,8483,5489,9124,9895,8139
Med15_156_219,23497,18719,11715,18948,22435,22162,14994,21284,18738,23914,28909,18355
Med15_161_224,19177,9981,6322,7180,14648,11765,9616,10193,9831,11602,12272,10847
Med15_166_229,13807,9596,7158,5398,9121,8272,4969,9050,7255,8348,12717,10297
Med15_171_234,22683,16515,10912,12913,20374,18313,17815,14115,10831,14683,17836,13674
Med15_176_239,26210,21896,16745,19541,26049,24704,16839,20142,21168,25483,26988,20988
Med15_181_244,30082,19029,13644,18245,25421,20932,13889,12830,13440,20365,19321,15415
Med15_186_249,20033,16244,11178,13233,27985,24495,17362,19881,18174,25536,27620,26482
Med15_191_254,26003,22624,19760,19603,38836,39220,18555,20302,24249,32505,39150,37643
Med15_196_259,11378,9452,4846,5679,11435,14285,5316,4577,6156,7612,14221,10706
Med15_201_264,16092,12424,8067,11442,19437,16698,14025,9652,10378,15328,14963,13469
Med15_206_269,4153,3368,2356,2954,3958,3147,2995,2817,2463,2856,4081,3700
Med15_211_274,12361,10046,6681,8464,9551,7076,9439,7366,7495,6746,8403,4316
Med15_216_279,20867,18678,13876,14195,20989,16491,14643,14030,16672,24546,25932,16454
Med15_221_284,21838,16883,14363,18476,23202,18240,15016,12786,16916,18282,19532,15916
Med15_226_289,15794,13957,7676,9576,20967,13905,8177,9249,6964,11368,17798,16829
Med15_231_294,16764,11988,9644,10322,17099,14645,8398,11692,8940,11889,12424,11865
Med15_236_299,13654,7992,6733,8881,13104,13350,7212,6086,6416,9253,13264,15887
Med15_241_304,16531,11281,8374,10443,21025,15232,12186,12007,12427,16173,13885,17192
Med15_246_309,17873,11493,10094,10608,21199,15904,9710,8188,11737,15033,18007,14828
Med15_251_314,13608,10790,6666,8029,14736,12203,6225,6480,8139,7706,17671,11806
Med15_256_319,4473,4130,2131,2302,5016,4097,4002,3178,2535,2546,4559,5544
Med15_261_324,5799,5289,2835,3213,5468,3980,3963,6079,2516,4794,5516,4257
Med15_266_329,13984,8630,5493,5563,8627,6578,6203,6324,6655,8809,9880,7994
Med15_271_334,17722,9628,6583,8815,8665,5522,10044,14282,7276,7352,6492,5803
Med15_276_339,6289,5092,2897,4166,2870,5004,4870,9543,5871,5885,6337,3383
Med15_281_344,7520,3610,2322,3559,4201,3575,5392,8351,3435,4685,3238,3436
Med15_286_349,5415,3742,1481,2106,3126,3034,2533,4739,1817,1893,2883,2332
Med15_291_354,6499,6382,4112,5024,6878,5748,2914,6802,5179,5397,6082,7330
Med15_296_359,8056,7473,3096,3620,4190,4922,3654,5415,3111,6322,4841,4844
Med15_301_364,10287,11973,6311,8092,11003,8338,9994,9096,5933,7998,5967,6184
Med15_306_369,6329,4891,3792,3935,3467,3757,3699,4432,2474,3154,5393,3056
Med15_311_374,11398,7624,4041,4650,5903,5635,7114,6695,4477,6193,4715,4872
Med15_316_379,5110,4233,2154,3320,4687,2062,3550,2547,3420,2729,2625,3248
Med15_321_384,3987,4438,1565,3008,4828,3414,3587,3046,3384,4312,5032,3829
Med15_326_389,12694,9213,5452,7779,9205,7438,10093,9153,6451,9205,8478,6435
Med15_331_394,5626,4258,3681,3265,8674,7526,4103,4303,2209,4307,6554,7683
Med15_336_399,8407,7644,4458,6235,13188,11567,7026,6733,7367,10191,15588,11841
Med15_341_404,28143,24448,16947,20623,27667,21078,17914,23944,17227,23604,21727,18687
Med15_346_409,18757,12941,11099,12264,17316,13935,13679,15190,13364,15294,19242,14501
Med15_351_414,14943,11505,10028,10821,20831,21009,13782,14728,12416,14132,19446,21430
Med15_356_419,18010,9338,4927,6093,7296,7111,7047,7432,6591,7360,9681,6708
Med15_361_424,22096,17674,14971,15679,24782,21241,13367,12066,13376,12464,19518,16061
Med15_366_429,20183,14680,12821,15194,23304,21169,14565,15630,15719,16467,30360,20615
Med15_371_434,15501,12855,10117,10373,22290,20871,7573,12181,9117,13911,21444,22252
Med15_376_439,7899,4952,2771,4502,8902,6452,6023,5479,3317,4927,4321,5991
Med15_381_444,25331,17451,12304,15474,21369,19723,15882,12310,15060,18775,23155,17169
Med15_386_449,13794,14811,11885,12229,23913,18352,11934,14964,11032,18004,23417,19762
Med15_391_454,22328,13720,11220,15025,28788,23103,11032,14236,12566,18765,34415,28025
Med15_396_459,25672,21015,15795,15813,24294,21130,15791,17842,19926,25509,22807,21940
Med15_401_464,14363,12113,8359,10370,13552,13680,13189,14847,11985,19973,18850,15680
Med15_406_469,19044,14274,9100,10965,8958,10284,16649,12181,13862,14616,14161,9437
Med15_411_474,2840,3087,1235,997,2503,1079,3575,2327,2646,1578,1851,3750
Med15_416_479,21803,19020,14351,13401,26479,20893,17303,16378,16115,19483,20863,18058
Med15_421_484,19345,13111,8755,11653,20818,19772,9046,11277,12118,16440,26995,20553
Med15_426_489,21180,10433,12446,11003,26354,27651,16563,16537,14503,20812,27390,30993
Med15_431_494,17254,14400,7908,11927,20786,21364,11709,15314,12189,20109,31943,26164
Med15_436_499,27037,15920,14241,17676,25695,24882,9384,12369,11105,15089,21228,18169
Med15_441_504,11971,10131,6223,9414,19738,16703,8192,8725,7675,8937,16656,18326
Med15_446_509,16449,13277,7860,8678,24800,24055,11040,11921,11351,17467,21853,19426
Med15_451_514,41394,34135,23316,26713,25975,29141,21215,27049,24528,26154,26929,20670
Med15_456_519,22393,16370,13938,18148,31981,27302,12033,13243,15182,17810,26004,27714
Med15_461_524,12136,8140,5978,8069,14063,13606,4286,5394,7757,8443,16252,12366
Med15_466_529,16456,13663,7793,8606,21468,20990,6830,7371,6393,12835,22424,17259
Med15_471_534,12253,8216,6824,7271,18423,18932,9308,10734,7852,15814,21945,20484
Med15_476_539,18189,11834,7281,10732,21483,17627,7896,9848,11833,16964,16659,20576
Med15_481_544,9065,6424,4999,6181,13874,10119,4536,5123,3871,6870,9127,8992
