,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF2_46_109,15020,14940,15703,7081,19354,11716,17048,13974,20571,13862,3735,6141
ABF2_118_181,10688,8832,8949,6106,10874,8807,10755,7896,10610,8179,2825,5051
ABF2_48_111,12851,12307,13414,6953,16368,10938,13864,11616,18025,12214,2649,4124
ABF2_117_180,13766,12111,13522,9086,20156,10851,16147,11477,16449,12965,3962,3816
ACA1_381_444,3716,2339,2872,1807,1401,1431,3865,3206,4892,2601,621,1213
ACA1_383_446,4212,3819,3838,1967,7026,3288,5650,3615,5468,4236,1103,1579
ACA1_382_445,3074,2641,2648,1716,3267,2579,2990,2164,3855,2663,864,1537
ACE2_601_664,20274,17525,19714,15077,24862,15859,23396,16670,23903,19054,4323,8691
ADR1_100_163,16005,13461,14521,10042,15142,9307,16251,12989,18211,13412,4296,5233
AFT2_42_105,18238,15185,16843,11701,15929,13140,18212,14587,23806,17161,3992,5180
AFT2_85_148,24091,20779,23338,20268,25608,19840,24907,18942,28953,23265,6116,8066
ARG80_79_142,14619,12197,13897,13388,11524,11906,16396,12249,15723,11432,2862,4896
ARG80_76_139,22547,22042,22673,20410,26359,16826,26281,18422,25915,22933,3518,6858
ARG80_88_151,12999,12090,14562,10575,18557,13680,14709,11114,17429,13073,3351,4835
ARR1_223_286,25084,22534,27789,15765,35883,23139,28019,21491,34906,25770,6492,10870
ARR1_15_78,9928,9147,10342,4304,11492,8574,12070,10072,13696,11245,3379,3331
ASG1_7_70,19538,14462,17250,11244,21050,12247,20594,16161,22022,16185,4422,7285
ASH1_488_551,7656,7084,8243,6954,10949,5862,7684,6776,8291,5961,1340,1997
AZF1_572_635,25873,22978,22976,19213,28912,21992,27651,21116,29798,23917,6563,9619
AZF1_600_663,10973,9387,10228,7606,13989,8923,11972,9810,11770,10151,1438,3920
AZF1_628_691,19590,16664,19191,9775,20869,16814,21076,16033,24222,18787,5740,7607
AZF1_658_721,14738,13462,12883,8905,15901,10341,16840,11916,15889,11931,4440,5338
AZF1_598_661,12474,12667,11461,8869,11671,8145,13270,11091,15069,14103,3397,3363
AZF1_638_701,9397,7191,8937,3687,8639,6036,9386,8262,10495,9178,1541,3151
BAS1_160_223,6808,5688,6727,4398,9426,5527,7783,5479,8494,4843,1801,2635
BAS1_106_169,8496,7475,8185,7339,9427,8156,11011,7742,11309,7381,2780,3110
BAS1_44_107,23474,19654,19859,16881,21893,16069,23510,17116,27669,17615,2809,7740
BAS1_107_170,8621,6915,8801,6427,8314,6892,9812,7564,9848,8177,1842,3182
BAS1_131_194,14959,11102,13420,11420,15080,9105,14573,12190,15961,13350,3309,4799
CAD1_36_99,12252,9810,12187,7482,13139,9535,14589,11577,15580,13061,3456,5167
CAD1_346_409,10253,9375,10786,7760,12528,7266,12392,9506,14225,9737,2462,2448
CAD1_42_105,9374,9459,10190,6669,13944,4885,10686,8323,12431,9264,2491,3754
CAD1_40_103,14463,11746,13167,9135,14712,11552,15008,11080,18022,12869,4132,4060
CBF1_215_278,21497,18664,20542,11088,23608,14782,22803,16421,25104,17652,6431,7683
CBF1_220_283,18742,17057,17672,8616,22898,11555,18621,14266,22696,18360,3728,6384
CBF1_216_279,16649,14694,17827,9784,19318,12146,18571,14311,22591,17887,3756,5425
CIN5_232_295,9870,9328,10066,4163,13787,9061,11685,9615,13113,9981,2643,3866
CMR3_251_314,12890,11976,12187,9387,14084,11549,14033,12132,15677,12440,2983,6151
COM2_380_443,17647,15975,17521,10794,23070,12925,20313,14636,21423,17617,5516,6282
CRZ1_548_611,9244,9026,9373,4421,10012,7518,10239,7354,10282,8550,1995,3395
CRZ1_576_639,18541,16588,17430,11561,19474,12522,19241,14829,23075,16316,4263,6396
CRZ1_562_625,7376,7148,6090,4135,10601,6522,8977,6585,8841,7503,1526,2471
CST6_422_485,5433,4538,5152,2495,5220,3740,6377,4675,5667,4578,850,2239
CST6_424_487,4914,4166,5470,2324,5452,4515,5403,4527,5445,4880,1577,2244
CST6_423_486,4357,4248,4418,1795,5423,3819,4640,4226,4912,4474,1369,2113
CTH1_186_249,8040,7617,7841,4099,11301,5281,8584,7266,11667,8040,2302,3136
CTH1_224_287,6049,5302,6657,3164,7013,3953,6713,5970,7395,5117,1190,825
CTH1_187_250,6927,7166,6780,3964,9524,5987,8348,6140,9498,6469,2526,2835
CUP2_1_64,27226,21986,25333,20254,30173,17878,30894,23961,32491,23198,5979,9233
CUP9_168_231,9370,8651,10341,5834,8838,8959,10204,7790,11342,9988,2138,3373
CUP9_164_227,7165,6735,7424,5265,11921,5530,8015,6098,9309,7287,1003,2623
CUP9_160_223,16342,13541,16915,12937,22877,16366,16584,13781,21245,13013,4672,8719
DAL80_16_79,13630,10881,11104,12125,15907,9384,14298,11325,14470,11768,2368,4034
DAL80_18_81,9565,7783,9218,8648,9414,7421,10178,8775,10874,9835,1829,2422
DAL80_25_88,8344,7158,7923,6857,9125,7291,7575,7435,9848,7891,1516,3312
DOT6_63_126,15109,11252,12582,11104,17390,10501,15419,11882,17055,12429,4810,5045
ECM23_120_183,12420,11125,12188,6483,18048,10613,13270,10880,13575,12038,3018,5183
ENV11_78_141,11378,9165,11095,4796,10492,8393,12057,8896,11889,9510,2021,4540
ENV11_77_140,10283,9169,9795,4451,14091,7589,11026,9023,12814,9406,2640,3768
FHL1_469_532,20261,17587,18600,13372,24032,14275,20975,16834,26235,18803,6033,6118
FHL1_307_370,8907,7626,8813,5614,12079,6639,8944,7096,8873,6595,1748,3310
FHL1_296_359,22996,20093,23841,17145,28039,17474,26516,19645,26819,22284,4874,8241
FHL1_472_535,19748,19353,18146,12151,21046,17653,23358,17261,23994,20229,5731,6381
FHL1_473_536,23099,19755,21423,12677,28169,14669,25641,20771,27476,24076,5387,8098
FKH1_314_377,23647,19713,22173,15452,26866,20332,24923,20237,30924,21899,6423,7320
FKH1_88_151,9633,8024,9434,6212,9324,6372,9962,7765,10331,9541,3588,2465
FKH1_78_141,18503,13667,16370,14030,22212,15120,19785,14318,22313,16602,4211,5560
FKH1_315_378,22046,20261,24414,15335,28133,18495,25459,22156,32054,23436,6733,9317
FKH1_316_379,22648,19143,21829,14899,24918,18460,22813,18792,30136,20490,5973,7546
FKH2_351_414,9847,8261,8861,5607,9950,6354,9914,8152,12969,8775,2661,3444
FKH2_97_160,17167,14328,16466,7709,19039,13945,18716,14888,21141,17292,5860,5313
FKH2_86_149,14006,10942,12013,7603,13415,11397,14867,11047,14503,12429,3718,5118
FKH2_353_416,6671,5705,6660,4586,5453,4749,8192,5790,7190,6402,2031,2631
FZF1_1_64,13111,9618,8370,4525,8352,5340,11333,6353,10964,7082,691,2238
FZF1_52_115,13009,10587,12188,6948,15281,10814,13879,10217,15430,11533,3297,4037
FZF1_22_85,1887,1513,1819,1518,1831,622,2231,1321,2978,1707,64,588
FZF1_51_114,14589,12362,10522,6023,14892,8689,14773,8608,15141,10858,2975,4039
FZF1_135_198,19682,18430,18458,15677,17332,17174,22509,17292,26681,19485,5960,7199
FZF1_228_291,14754,12434,11568,9474,16134,9593,14493,11999,15654,13588,3936,4929
FZF1_16_79,4835,3465,4379,3151,6048,2747,4744,3231,4984,3336,561,691
FZF1_45_108,6801,5327,5833,3313,5768,5999,6906,5907,8532,4994,1682,1715
GAT1_295_358,9609,7931,9188,7973,10448,5309,11893,8750,12732,8469,2116,3672
GAT1_40_103,27672,24141,25494,17700,26872,19993,30648,22838,30849,22602,5636,9160
GAT1_297_360,21904,17919,16520,16889,22874,10549,21400,16716,21528,17824,4114,5128
GAT1_300_363,20097,15562,16095,14191,18310,13671,23237,15051,21155,16871,4348,7140
GAT3_56_119,9747,8931,9035,6709,12049,6042,11371,8751,10529,8212,1763,4286
GAT3_62_125,14402,12821,15260,10820,15984,9593,15398,13302,15941,12615,4873,4218
GAT3_61_124,14408,13908,13120,9714,17739,10047,16700,11901,18019,13856,5240,4790
GAT4_46_109,13032,10228,12411,9743,11057,9825,13247,10230,15915,10638,2977,3873
GCN4_218_281,16832,14700,16720,11305,22086,14876,18528,13490,20939,14738,4383,6239
GCR1_643_706,13240,9739,11215,9003,12533,7953,12429,10110,11234,8756,3728,3569
GIS1_827_890,5405,4904,5573,2738,5750,3175,5643,4759,5776,3784,1661,1741
GLN3_291_354,16653,14822,18169,9034,24509,13580,20976,16656,22560,16194,5168,6081
GLN3_293_356,15877,14336,16468,7973,15619,13613,18069,14491,17344,16347,4181,4466
GLN3_296_359,13296,12348,13454,5710,16089,12106,14409,11943,16849,12486,4441,4621
GTS1_181_244,8802,7194,8860,5345,5324,5492,8265,7060,8503,6979,1527,2597
GTS1_182_245,8752,7872,9219,5995,7798,7526,9886,7029,8655,7253,2395,2799
GTS1_174_237,7508,6667,7825,4913,7357,5024,7591,5891,8712,5864,2245,3610
GZF3_116_179,11267,9349,10348,6382,12711,10305,11698,8825,12529,10113,1578,3598
GZF3_118_181,9490,8262,9200,6786,14444,6569,10651,8281,12274,7709,2110,2777
GZF3_123_186,7849,6256,8414,5312,12267,6408,7640,6014,7488,5737,1986,3803
HAA1_1_64,15213,13010,11713,9788,16615,12393,16701,12537,17684,12970,2538,4262
HAC1_26_89,11103,9273,10490,5481,16905,7931,10756,9119,12883,11142,3168,3345
HAP2_155_218,9356,7054,8952,5488,10583,4394,9292,6497,10838,8263,2006,3339
