,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Msn2_1_64,8346,26094,21541,24675,11668,17555,20689,65257,10709,18400,11979,10421
Msn2_6_69,2555,7461,4297,5977,3559,7406,7545,19801,4335,5871,5504,5815
Msn2_11_74,3696,7120,6994,8300,5350,8735,9487,24151,3724,6691,5674,5775
Msn2_16_79,4458,7584,8974,12718,5057,8840,12020,37339,5531,10376,9050,7615
Msn2_21_84,7888,11030,21748,27885,23706,34630,22639,64904,13149,24175,27429,23839
Msn2_26_89,8344,19190,25011,28952,14770,33467,22990,74295,13531,23792,22027,19632
Msn2_31_94,4430,8156,11074,12597,10169,21054,12492,34539,6582,11738,12642,9821
Msn2_36_99,3716,12003,11985,13587,13472,19634,13319,39822,7098,12980,14172,13540
Msn2_41_104,10605,22686,26234,26374,11981,17683,29826,93124,14525,25098,15547,13956
Msn2_46_109,4688,12737,12274,16083,10693,21131,15650,43731,8272,14625,14862,15587
Msn2_51_114,3835,14602,10917,12586,7899,17659,13039,42072,7861,13271,12973,12802
Msn2_56_119,7610,21086,18853,20984,11767,18682,26100,72433,11569,19822,12518,12370
Msn2_61_124,7425,19559,19057,24237,13389,21407,21097,65996,11729,20951,15295,13523
Msn2_66_129,5205,11910,12618,16925,16241,18449,14559,49299,8961,14936,15727,14931
Msn2_71_134,9961,29008,32041,32184,9127,23555,35514,100289,15745,26052,17775,16703
Msn2_76_139,5718,12056,19991,25269,15301,26430,23648,74724,13342,24928,18544,17421
Msn2_81_144,6315,15342,22023,23983,11715,23330,25895,71063,12346,22825,14898,13421
Msn2_86_149,7566,15378,20766,25628,7929,20443,26024,74398,11617,20240,13542,12739
Msn2_91_154,4867,13048,15280,19190,12846,20449,15329,50501,9781,17538,16250,13813
Msn2_96_159,4790,14216,15716,18231,12400,16098,15557,46500,8899,17554,12477,12507
Msn2_101_164,5417,12977,13711,18895,11294,21660,14907,46354,9186,16224,16241,16284
Msn2_106_169,4474,8680,12476,17953,10038,13154,14464,44885,8727,14155,10933,11337
Msn2_111_174,6886,12409,19380,20140,9769,18279,19405,59670,10989,18105,12386,11337
Msn2_116_179,7987,13264,25309,31939,21338,28816,27506,77058,15000,25412,20084,18241
Msn2_121_184,7947,9199,15058,18604,8411,14901,21452,62569,8717,14928,9952,9657
Msn2_126_189,2550,6555,2894,4324,1517,3451,5820,16453,1943,3248,2425,2557
Msn2_131_194,4283,7593,7343,8313,4761,7196,12654,40676,4922,7713,6848,7275
Msn2_136_199,4403,19896,7562,10790,4019,9320,15041,48154,4928,8630,6168,7234
Msn2_141_204,4467,7127,6735,8588,4566,9210,11971,39848,4161,7474,5743,6417
Msn2_146_209,13934,22140,20067,26080,7211,15284,33284,107069,12829,21513,12846,11531
Msn2_151_214,5902,13612,17737,21762,16341,27131,17558,57208,11747,19505,19410,17289
Msn2_156_219,6261,9877,20305,23936,16727,24029,20930,69136,13188,22155,22355,20706
Msn2_161_224,10950,22115,17006,21306,11588,15793,24510,74246,10300,17830,10583,10329
Msn2_166_229,8041,11810,19604,26468,9455,20163,25327,80482,12203,22110,14639,14373
Msn2_171_234,5686,11916,18382,23049,10758,25875,19110,60432,11905,19349,17163,14465
Msn2_176_239,5448,14940,17568,23413,13331,21291,19285,58237,11887,20220,19701,18008
Msn2_181_244,5242,15113,19082,24343,13847,27402,17780,58219,11190,18596,19275,18551
