,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
ABF1_1_64,504,552,427,708,743,1238,505,610,650,632,67,0
ABF1_12_75,1086,970,804,1126,710,1561,1395,1127,1141,1612,616,1150
ABF1_23_86,337,243,279,563,64,142,354,389,135,395,3,204
ABF1_34_97,591,417,262,540,0,604,459,498,681,323,1,76
ABF1_45_108,406,421,380,687,565,666,573,326,699,331,193,574
ABF1_56_119,794,831,791,780,691,799,693,524,748,369,403,152
ABF1_67_130,755,535,545,599,561,920,681,813,593,682,207,209
ABF1_78_141,390,321,283,623,292,1,410,251,363,125,1,0
ABF1_89_152,520,360,270,494,338,0,398,233,342,181,246,0
ABF1_100_163,9,27,102,79,0,0,104,56,116,0,5,0
ABF1_111_174,178,155,170,289,0,227,78,224,263,420,259,0
ABF1_122_185,346,301,366,196,121,556,408,291,680,246,46,285
ABF1_133_196,340,231,232,104,37,109,283,78,333,320,122,32
ABF1_144_207,169,418,222,226,361,105,638,408,728,307,2,1
ABF1_155_218,407,85,110,121,221,540,340,388,612,439,3,37
ABF1_166_229,326,176,360,576,180,240,444,487,462,605,374,164
ABF1_177_240,327,278,189,492,173,868,279,240,700,474,0,1
ABF1_188_251,504,521,552,589,169,556,410,403,883,364,128,601
ABF1_199_262,158,230,295,727,11,647,388,231,526,387,4,268
ABF1_210_273,666,360,434,592,401,138,645,253,545,418,274,0
ABF1_221_284,216,102,113,429,77,646,380,313,357,408,0,568
ABF1_232_295,322,432,218,595,343,245,328,261,168,633,168,0
ABF1_243_306,272,127,395,247,266,421,405,325,791,426,127,54
ABF1_254_317,200,311,176,282,0,312,490,319,450,1,2,0
ABF1_265_328,356,546,281,327,0,116,513,494,426,681,284,50
ABF1_276_339,637,679,300,464,222,311,522,478,699,890,182,279
ABF1_287_350,716,921,693,1445,680,851,992,773,1900,1141,375,234
ABF1_298_361,819,1052,964,1092,225,1143,1328,786,1578,949,5,565
ABF1_309_372,1224,673,1192,1134,253,519,1687,1039,2353,1480,371,864
ABF1_320_383,697,419,463,346,533,322,697,716,1112,814,41,427
ABF1_331_394,638,1021,785,681,759,450,857,848,813,669,342,312
ABF1_342_405,841,1103,808,1141,439,576,1139,734,1237,1585,539,734
ABF1_353_416,688,571,736,670,274,343,716,928,1446,707,235,616
ABF1_364_427,526,424,408,441,285,1016,639,654,1354,556,364,152
