,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ABF1_1_64,38,5,8,202,125,22
ABF1_12_75,259,22,24,189,116,61
ABF1_23_86,16,11,9,49,40,3
ABF1_34_97,44,11,50,134,81,0
ABF1_45_108,219,19,553,2483,3171,33
ABF1_56_119,433,104,355,246,364,52
ABF1_67_130,211,61,134,430,121,31
ABF1_78_141,41,17,6,11,12,6
ABF1_89_152,388,144,8,22,85,241
ABF1_100_163,8,1,7,131,94,0
ABF1_111_174,23,64,49,2,52,23
ABF1_122_185,118,16,682,719,701,23
ABF1_133_196,124,145,632,540,295,10
ABF1_144_207,16,17,188,36,5,4
ABF1_155_218,13,278,3,2,19,14
ABF1_166_229,85,51,130,129,29,1
ABF1_177_240,1530,1280,2465,2325,3187,753
ABF1_188_251,7,12,87,274,9,2
ABF1_199_262,55,3,2,0,27,15
ABF1_210_273,525,911,92,367,51,324
ABF1_221_284,1,3,0,3,16,6
ABF1_232_295,379,110,2,63,5,37
ABF1_243_306,8,8,5,1,2,0
ABF1_254_317,2967,897,13,129,8,1208
ABF1_265_328,737,269,56,359,115,478
ABF1_276_339,829,17,48,239,117,49
ABF1_287_350,464,80,298,517,542,44
ABF1_298_361,531,70,429,218,389,184
ABF1_309_372,947,254,565,1510,1824,598
ABF1_320_383,8,3,12,43,71,8
ABF1_331_394,143,6,23,46,21,14
ABF1_342_405,1378,68,375,2820,3471,664
ABF1_353_416,166,4,159,543,785,20
ABF1_364_427,22,9,6,2,24,11
ABF1_375_438,99,12,324,1827,2538,32
ABF1_386_449,284,17,22,201,160,32
ABF1_397_460,869,62,1388,4376,5802,332
ABF1_408_471,14,74,332,43,272,5
ABF1_419_482,5,10,38,287,83,12
ABF1_430_493,17,0,9,2,1,0
ABF1_441_504,1337,571,13,32,9,587
ABF1_452_515,162,62,8,23,1,71
ABF1_463_526,531,7,499,1190,1756,48
ABF1_474_537,46,14,3,57,14,22
ABF1_485_548,25,15,46,57,4,34
ABF1_496_559,451,125,11,324,100,186
ABF1_507_570,432,97,342,650,334,75
ABF1_518_581,678,274,599,346,436,227
ABF1_529_592,227,87,66,94,123,70
ABF1_540_603,392,257,34,89,84,160
ABF1_551_614,338,1087,1017,1185,1782,216
ABF1_562_625,250,19,2977,4126,6044,49
ABF1_573_636,256,78,9,22,10,62
ABF1_584_647,35,14,44,121,303,29
ABF1_595_658,1546,2505,30,40,1,912
ABF1_606_669,124,8,977,879,245,14
ABF1_617_680,63,27,5268,4416,6870,14
ABF1_628_691,125,79,199,74,43,24
ABF1_639_702,95,13,44,300,64,3
ABF1_650_713,17,8,4265,1925,2309,0
ABF1_661_724,4,5,434,943,937,2
ABF1_668_731,24,3,2,0,1,1
ABF2_1_64,115,28,16,51,68,40
ABF2_12_75,2622,908,42,76,52,1386
ABF2_23_86,37,5,24,66,48,10
ABF2_34_97,366,30,16,22,30,19
ABF2_45_108,1512,166,89,233,273,675
ABF2_56_119,33,17,22,141,113,8
ABF2_67_130,10,5,2,5,28,10
ABF2_78_141,113,6,6,19,24,21
ABF2_89_152,82,2,3,148,49,2
ABF2_100_163,359,31,202,956,452,47
ABF2_111_174,44,17,121,481,138,16
ABF2_120_183,105,18,18,86,6,29
ACA1_1_64,80,12,8,39,12,23
ACA1_12_75,40,2,2,11,24,10
ACA1_23_86,1217,173,73,616,182,517
ACA1_34_97,3245,1690,22,84,91,1656
ACA1_45_108,268,114,1020,1196,1884,100
ACA1_56_119,184,86,933,818,1217,58
ACA1_67_130,255,60,305,632,659,45
ACA1_78_141,23,47,661,695,820,45
ACA1_89_152,414,78,146,443,158,83
ACA1_100_163,3139,1098,156,880,205,1581
ACA1_111_174,6089,2488,116,302,201,2372
ACA1_122_185,410,47,145,90,34,112
ACA1_133_196,1014,3302,171,453,118,614
ACA1_144_207,275,47,738,787,596,47
ACA1_155_218,383,258,215,226,66,60
ACA1_166_229,372,44,2712,2385,3447,81
ACA1_177_240,145,88,43,206,95,107
ACA1_188_251,418,94,495,682,357,111
ACA1_199_262,463,144,1429,1419,783,91
ACA1_210_273,848,282,1085,1990,689,180
ACA1_221_284,340,81,1467,1785,1482,40
ACA1_232_295,259,42,2816,3771,4046,27
ACA1_243_306,41,26,243,697,266,21
ACA1_254_317,119,29,82,544,162,33
ACA1_265_328,888,137,303,1123,1489,377
ACA1_276_339,175,48,789,1614,957,10
ACA1_287_350,9,11,14,29,44,1
ACA1_298_361,1771,8381,23,35,42,1688
ACA1_309_372,14,1,13,12,3,10
ACA1_320_383,75,107,3,53,1,50
ACA1_331_394,430,34,10,36,8,61
ACA1_342_405,74,94,25,166,108,7
ACA1_353_416,162,21,11,55,16,31
ACA1_364_427,236,16,84,85,146,17
ACA1_375_438,0,1,15,119,85,0
ACA1_386_449,40,0,38,254,255,0
ACA1_397_460,59,0,8,124,15,12
ACA1_408_471,0,2,0,0,4,0
ACA1_419_482,7,536,2,1,0,583
ACA1_426_489,15,0,21,479,158,2
ACE2_1_64,1443,506,15,147,39,653
ACE2_12_75,1,7,184,98,47,1
ACE2_23_86,5,6,7,10,0,4
ACE2_34_97,59,8,1,8,3,19
ACE2_45_108,13,9,68,183,154,21
ACE2_56_119,138,4,18,277,146,29
ACE2_67_130,338,28,606,2100,1956,137
ACE2_78_141,93,5,37,61,45,34
ACE2_89_152,387,25,4,112,45,63
ACE2_100_163,817,54,1301,2754,3474,124
ACE2_111_174,66,2,1,44,28,8
ACE2_122_185,705,94,36,204,144,401
ACE2_133_196,622,51,470,1724,1846,318
ACE2_144_207,39,4,197,602,1081,29
ACE2_155_218,51,1,28,94,27,4
ACE2_166_229,21,1,0,1,0,10
ACE2_177_240,68,7,21,1,1,7
ACE2_188_251,159,5,17,77,23,22
ACE2_199_262,4,5,104,191,76,0
ACE2_210_273,57,5,701,1836,2049,1
ACE2_221_284,714,120,1516,2219,2843,376
