,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Ste12_1_64,9258,15363,14109,17426,20722,31646,17242,10948,26158,19631,28812,26858
Ste12_6_69,2737,4290,3367,4314,5923,10974,4170,2805,5492,4087,8791,7153
Ste12_11_74,6731,12156,10554,14436,15678,28772,13329,8345,19124,15346,22820,22525
Ste12_16_79,5050,7617,6759,9043,12427,20616,8656,5441,10318,8820,14744,16251
Ste12_21_84,3144,5221,4302,5072,8773,13354,4994,3978,6831,5822,9324,8574
Ste12_26_89,11556,17904,16567,22468,28346,50796,20808,15005,30485,25325,38399,40359
Ste12_31_94,4638,7453,6037,7261,9690,19299,8998,5545,9054,7493,16241,14137
Ste12_36_99,3469,5121,4365,5166,9718,14054,5788,3165,7267,6448,11997,9964
Ste12_41_104,8486,13283,11860,13938,20091,38890,16964,11048,21128,18587,31661,33957
Ste12_46_109,6637,7143,8491,10653,15130,19167,11565,7978,16678,11926,17442,16641
Ste12_51_114,2583,3441,4081,4868,6699,10736,4636,1894,7176,5335,8263,7979
Ste12_56_119,6209,9007,7149,9109,11038,15940,9601,6376,14521,10127,14669,14003
Ste12_61_124,8328,13478,13877,16071,20190,36630,16926,13562,25040,21128,29995,29333
Ste12_66_129,5693,7587,8376,9738,9109,20327,9638,4944,13954,12716,14130,16691
Ste12_71_134,5986,9734,8483,10208,9607,18669,10743,9568,15687,12546,15691,16138
Ste12_76_139,9766,15387,14145,18124,21038,35483,18586,14005,26474,22064,30207,34303
Ste12_81_144,9665,15890,13618,18850,25481,43512,20313,14368,25892,23428,38194,40310
Ste12_86_149,5521,9373,6793,8716,11052,22676,9672,5030,12099,9917,19183,16590
Ste12_91_154,8475,11325,9120,10448,17174,23105,14557,11005,15837,12743,18584,18305
Ste12_96_159,14454,19896,20052,23430,31038,50773,27000,19245,35765,29017,41850,43493
Ste12_101_164,15239,25544,21027,28569,37973,64472,28417,21207,39432,33181,55717,52834
Ste12_106_169,12502,21594,14290,21509,26930,52920,21855,18178,27118,22781,47254,49832
Ste12_111_174,7710,12189,9298,11059,18662,33840,12901,8528,15762,13819,26553,27689
Ste12_116_179,9028,13721,10503,13813,19778,36618,16102,13610,18743,16724,30030,32355
Ste12_121_184,7211,11658,10657,12681,18485,28532,12679,9602,17644,14399,23733,24360
Ste12_126_189,12689,20396,16100,18189,23078,33964,22992,14795,28749,21290,27815,27870
Ste12_131_194,11466,20643,15800,20403,23794,40206,20583,15588,31081,22874,31981,31378
Ste12_136_199,17102,23509,23905,29170,34943,54920,28867,22726,41052,33750,50681,47889
Ste12_141_204,14190,23496,18568,24649,24287,42845,26241,21721,37763,29112,38731,36157
Ste12_146_209,6191,8830,7777,10467,17617,22764,10204,6895,12810,10524,19938,20708
Ste12_151_214,16784,30486,22973,31489,39886,73375,29482,20126,41508,34195,66616,62781
Ste12_156_219,7141,12236,9323,11452,16933,29178,10341,7582,14782,13022,22562,22048
Ste12_161_224,3846,5854,4664,5712,6160,13257,5810,4214,7180,5832,9761,7847
Ste12_166_229,4301,5290,5631,7022,8320,16996,6412,4770,8373,6553,13133,11298
Ste12_171_234,11176,15966,8130,9948,13302,22346,20557,15593,14977,10018,21214,19994
Ste12_176_239,6882,7615,10386,14567,10646,24766,12500,7662,18484,14788,18906,19736
Ste12_181_244,6498,11732,9598,11854,10811,22335,12090,6049,17102,13026,14613,17702
