,1_0_1,1_0_2
ABF1_1_64,309,437
ABF1_12_75,173,206
ABF1_23_86,596,554
ABF1_34_97,510,512
ABF1_45_108,591,624
ABF1_56_119,525,547
ABF1_67_130,458,453
ABF1_78_141,407,413
ABF1_89_152,359,287
ABF1_100_163,405,364
ABF1_111_174,424,405
ABF1_122_185,405,463
ABF1_133_196,316,309
ABF1_144_207,554,471
ABF1_155_218,515,466
ABF1_166_229,564,480
ABF1_177_240,432,391
ABF1_188_251,770,760
ABF1_199_262,652,505
ABF1_210_273,433,379
ABF1_221_284,336,326
ABF1_232_295,207,209
ABF1_243_306,478,392
ABF1_254_317,406,480
ABF1_265_328,322,399
ABF1_276_339,387,433
ABF1_287_350,543,547
ABF1_298_361,503,435
ABF1_309_372,347,363
ABF1_320_383,300,327
ABF1_331_394,224,215
ABF1_342_405,263,289
ABF1_353_416,293,403
ABF1_364_427,171,236
ABF1_375_438,185,217
ABF1_386_449,321,340
ABF1_397_460,268,302
ABF1_408_471,395,402
ABF1_419_482,327,354
ABF1_430_493,234,237
ABF1_441_504,268,295
ABF1_452_515,253,268
ABF1_463_526,293,298
ABF1_474_537,246,316
ABF1_485_548,272,306
ABF1_496_559,320,305
ABF1_507_570,539,482
ABF1_518_581,488,419
ABF1_529_592,598,513
ABF1_540_603,477,412
ABF1_551_614,539,463
ABF1_562_625,449,438
ABF1_573_636,342,421
ABF1_584_647,239,261
ABF1_595_658,374,373
ABF1_606_669,318,331
ABF1_617_680,369,309
ABF1_628_691,276,256
ABF1_639_702,494,458
ABF1_650_713,350,373
ABF1_661_724,226,243
ABF1_668_731,208,260
ABF2_1_64,399,408
ABF2_12_75,385,446
ABF2_23_86,344,329
ABF2_34_97,147,182
ABF2_45_108,209,246
ABF2_56_119,254,274
ABF2_67_130,167,215
ABF2_78_141,250,269
ABF2_89_152,193,312
ABF2_100_163,427,400
ABF2_111_174,354,325
ABF2_120_183,395,389
ACA1_1_64,299,320
ACA1_12_75,357,406
ACA1_23_86,326,368
ACA1_34_97,550,475
ACA1_45_108,867,729
ACA1_56_119,741,552
ACA1_67_130,595,481
ACA1_78_141,584,488
ACA1_89_152,609,507
ACA1_100_163,423,416
ACA1_111_174,406,349
ACA1_122_185,411,320
ACA1_133_196,653,473
ACA1_144_207,599,455
ACA1_155_218,986,744
ACA1_166_229,946,720
ACA1_177_240,685,645
ACA1_188_251,591,608
ACA1_199_262,714,481
ACA1_210_273,775,616
ACA1_221_284,785,678
ACA1_232_295,932,844
ACA1_243_306,616,581
ACA1_254_317,643,632
ACA1_265_328,303,326
ACA1_276_339,546,496
ACA1_287_350,475,470
ACA1_298_361,468,424
ACA1_309_372,364,350
ACA1_320_383,202,275
ACA1_331_394,276,361
ACA1_342_405,391,370
ACA1_353_416,379,358
ACA1_364_427,198,257
ACA1_375_438,218,189
ACA1_386_449,136,132
ACA1_397_460,162,182
ACA1_408_471,145,166
ACA1_419_482,240,311
ACA1_426_489,190,212
ACE2_1_64,366,375
ACE2_12_75,236,226
ACE2_23_86,408,433
ACE2_34_97,248,313
ACE2_45_108,413,360
ACE2_56_119,255,247
ACE2_67_130,280,307
ACE2_78_141,302,321
ACE2_89_152,327,423
ACE2_100_163,526,562
ACE2_111_174,307,341
ACE2_122_185,230,223
ACE2_133_196,266,279
ACE2_144_207,196,233
ACE2_155_218,252,303
ACE2_166_229,271,273
ACE2_177_240,151,181
ACE2_188_251,313,298
ACE2_199_262,292,337
ACE2_210_273,277,317
ACE2_221_284,337,342
ACE2_232_295,529,475
ACE2_243_306,419,476
ACE2_254_317,338,352
ACE2_265_328,345,390
ACE2_276_339,392,375
ACE2_287_350,263,349
ACE2_298_361,320,340
ACE2_309_372,235,306
ACE2_320_383,168,226
ACE2_331_394,165,203
ACE2_342_405,226,306
ACE2_353_416,245,331
ACE2_364_427,247,331
ACE2_375_438,578,533
ACE2_386_449,475,534
ACE2_397_460,693,540
ACE2_408_471,420,411
ACE2_419_482,1025,896
ACE2_430_493,744,616
ACE2_441_504,697,597
ACE2_452_515,713,657
ACE2_463_526,480,489
ACE2_474_537,455,416
ACE2_485_548,309,306
ACE2_496_559,385,351
ACE2_507_570,509,461
ACE2_518_581,358,361
ACE2_529_592,459,447
ACE2_540_603,587,507
ACE2_551_614,572,461
ACE2_562_625,314,384
ACE2_573_636,516,429
ACE2_584_647,581,515
ACE2_595_658,543,439
ACE2_606_669,336,364
ACE2_617_680,367,315
ACE2_628_691,405,357
ACE2_639_702,397,468
ACE2_650_713,214,235
ACE2_661_724,194,190
ACE2_672_735,281,317
ACE2_683_746,328,327
ACE2_694_757,357,325
ACE2_705_768,734,594
ACE2_707_770,663,567
ADR1_1_64,472,407
ADR1_12_75,269,255
ADR1_23_86,213,252
ADR1_34_97,268,306
ADR1_45_108,322,355
ADR1_56_119,288,300
ADR1_67_130,229,288
ADR1_78_141,361,344
ADR1_89_152,404,400
ADR1_100_163,311,280
ADR1_111_174,353,383
ADR1_122_185,363,415
ADR1_133_196,397,337
ADR1_144_207,417,428
ADR1_155_218,382,412
ADR1_166_229,267,302
ADR1_177_240,617,583
ADR1_188_251,486,468
ADR1_199_262,546,478
ADR1_210_273,626,599
ADR1_221_284,587,546
ADR1_232_295,470,467
ADR1_243_306,549,528
ADR1_254_317,454,467
ADR1_265_328,440,518
ADR1_276_339,297,388
ADR1_287_350,394,484
ADR1_298_361,390,456
ADR1_309_372,547,579
ADR1_320_383,482,518
ADR1_331_394,349,378
ADR1_342_405,502,508
ADR1_353_416,370,433
ADR1_364_427,440,512
ADR1_375_438,268,314
ADR1_386_449,330,311
ADR1_397_460,552,583
ADR1_408_471,485,542
ADR1_419_482,453,527
ADR1_430_493,262,367
ADR1_441_504,423,503
ADR1_452_515,380,404
ADR1_463_526,412,472
ADR1_474_537,247,255
ADR1_485_548,430,479
ADR1_496_559,190,193
ADR1_507_570,306,330
ADR1_518_581,337,339
ADR1_529_592,319,349
ADR1_540_603,352,380
ADR1_551_614,311,337
ADR1_562_625,301,349
ADR1_573_636,417,372
ADR1_584_647,399,369
ADR1_595_658,526,557
ADR1_606_669,662,607
ADR1_617_680,564,609
ADR1_628_691,411,392
ADR1_639_702,282,272
ADR1_650_713,657,577
ADR1_661_724,558,628
ADR1_672_735,533,539
ADR1_683_746,433,431
ADR1_694_757,353,408
ADR1_705_768,351,308
ADR1_716_779,343,353
ADR1_727_790,349,457
ADR1_738_801,555,641
ADR1_749_812,620,628
ADR1_760_823,385,382
ADR1_771_834,455,362
ADR1_782_845,452,453
ADR1_793_856,604,620
ADR1_804_867,357,418
ADR1_815_878,475,535
ADR1_826_889,376,415
ADR1_837_900,365,353
ADR1_848_911,271,371
ADR1_859_922,170,237
ADR1_870_933,272,367
ADR1_881_944,248,417
ADR1_892_955,215,317
ADR1_903_966,193,161
ADR1_914_977,189,302
ADR1_925_988,154,183
ADR1_936_999,237,276
ADR1_947_1010,265,252
ADR1_958_1021,252,317
ADR1_969_1032,255,341
ADR1_980_1043,309,392
ADR1_991_1054,478,543
ADR1_1002_1065,509,599
ADR1_1013_1076,333,335
ADR1_1024_1087,312,463
ADR1_1035_1098,492,476
ADR1_1046_1109,360,441
ADR1_1057_1120,260,275
ADR1_1068_1131,325,356
ADR1_1079_1142,368,457
ADR1_1090_1153,221,342
ADR1_1101_1164,296,362
ADR1_1112_1175,488,491
ADR1_1123_1186,334,366
ADR1_1134_1197,315,397
ADR1_1145_1208,371,400
ADR1_1156_1219,452,457
ADR1_1167_1230,609,623
ADR1_1178_1241,546,620
ADR1_1189_1252,495,558
ADR1_1200_1263,694,687
ADR1_1211_1274,502,432
ADR1_1222_1285,519,431
ADR1_1233_1296,430,416
ADR1_1244_1307,398,377
ADR1_1255_1318,440,464
ADR1_1260_1323,335,370
AFT1_1_64,671,625
AFT1_12_75,828,765
AFT1_23_86,466,415
AFT1_34_97,495,447
AFT1_45_108,686,533
AFT1_56_119,490,428
AFT1_67_130,397,421
AFT1_78_141,562,511
AFT1_89_152,339,315
AFT1_100_163,244,216
AFT1_111_174,238,210
AFT1_122_185,273,260
AFT1_133_196,457,443
AFT1_144_207,222,269
AFT1_155_218,294,275
AFT1_166_229,396,359
AFT1_177_240,437,362
AFT1_188_251,477,477
AFT1_199_262,325,372
AFT1_210_273,239,267
AFT1_221_284,251,270
AFT1_232_295,224,308
AFT1_243_306,250,346
AFT1_254_317,319,405
AFT1_265_328,860,800
AFT1_276_339,790,728
AFT1_287_350,702,610
AFT1_298_361,333,339
AFT1_309_372,398,396
AFT1_320_383,392,399
AFT1_331_394,385,391
AFT1_342_405,425,460
AFT1_353_416,550,548
AFT1_364_427,548,544
AFT1_375_438,651,542
AFT1_386_449,620,687
AFT1_397_460,465,471
AFT1_408_471,704,546
AFT1_419_482,401,396
AFT1_430_493,567,471
AFT1_441_504,715,713
AFT1_452_515,573,559
AFT1_463_526,335,400
AFT1_474_537,454,427
AFT1_485_548,347,341
AFT1_496_559,460,460
AFT1_507_570,421,549
AFT1_518_581,405,486
AFT1_529_592,329,337
AFT1_540_603,455,396
AFT1_551_614,464,422
AFT1_562_625,393,343
AFT1_573_636,612,568
AFT1_584_647,511,487
AFT1_595_658,439,395
AFT1_606_669,411,377
AFT1_617_680,407,332
