,1_0_1,1_0_2,1_120_1,1_120_2,1_360_1,1_360_2,2_0_1,2_0_2,2_120_1,2_120_2,2_360_1,2_360_2
Cyc8_1_64,13604,11732,10524,12470,4629,4554,14994,17149,10299,10208,6694,7236
Cyc8_6_69,4795,2921,2709,3378,2423,2941,2765,3050,2335,1787,1285,3272
Cyc8_11_74,19655,17805,23573,23389,11643,12083,24291,32543,15002,23313,11449,18893
Cyc8_16_79,10896,7501,5273,6994,6289,9402,8728,12592,4211,6604,4111,7315
Cyc8_21_84,11662,10529,11164,8745,4138,5445,20764,21386,9729,8868,5478,5607
Cyc8_26_89,19637,16512,23599,30372,20335,20116,23377,26088,19148,24612,18258,28706
Cyc8_31_94,9785,5557,11252,13020,10574,15546,9290,8913,8037,8822,9892,13586
Cyc8_36_99,3360,2810,5273,5953,2787,4581,2693,3553,5736,5952,4972,4362
Cyc8_41_104,13907,10916,19046,18270,23734,28078,20525,25468,16857,18039,35724,40178
Cyc8_46_109,7794,7026,8265,10651,10682,18950,10429,15346,8338,7981,12981,15579
Cyc8_51_114,8854,8656,8658,11354,11427,17697,11212,12914,6862,9753,17353,17019
Cyc8_56_119,9148,7555,8546,12110,12230,15410,10334,13323,7183,8835,12382,20609
Cyc8_61_124,4729,2760,2581,1920,3317,6498,4519,4098,2318,3311,2996,3975
Cyc8_66_129,7328,6198,3911,7144,8352,9736,7940,6765,6288,5971,6550,12022
Cyc8_71_134,24563,19652,19520,30208,24713,40648,27762,31703,20738,20435,35006,37103
Cyc8_76_139,7295,8105,10638,10597,10858,13378,8139,14472,10728,12690,19238,34508
Cyc8_81_144,13473,12098,10993,17021,16743,26895,18495,19635,19052,18864,29739,39387
Cyc8_86_149,20872,16051,17896,24886,20856,27334,18060,25713,19092,22664,31031,40674
Cyc8_91_154,17252,13637,16258,19989,27856,40775,22748,28206,19476,20439,34088,47844
Cyc8_96_159,10669,9375,9724,15526,11081,16048,10641,11458,8405,10574,9785,12182
Cyc8_101_164,10217,8149,7368,10825,10483,20638,11165,14688,7999,8082,13485,13377
Cyc8_106_169,11699,7553,5263,9575,8871,10092,10609,8884,6960,8300,10253,14128
Cyc8_111_174,6156,5964,5338,9523,10126,13743,8580,12396,7325,7767,10858,13278
Cyc8_116_179,8808,9564,7973,12474,12770,18555,6641,12218,9030,10772,11655,14695
Cyc8_121_184,21013,17467,15580,21989,25189,42783,25871,29961,21453,19594,32818,47644
Cyc8_126_189,12572,9877,11409,17453,13322,26635,17801,20942,12211,8811,19317,32617
Cyc8_131_194,11732,11424,8322,14942,17964,25390,17990,15001,11704,12424,16878,25247
Cyc8_136_199,5921,5779,6203,7943,5522,11890,6147,6355,5410,4271,6742,12631
Cyc8_141_204,12020,11291,8009,13836,12392,19603,16105,19860,9375,11995,19520,29885
Cyc8_146_209,9535,8717,8237,8637,11746,15443,14071,7853,12211,12262,10301,24669
Cyc8_151_214,6686,6563,5567,9160,6128,13261,6854,6951,3139,4626,6890,12878
